,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD
2011-11-18,1.3172455,1.325676,1.3386612,1.3570099,1.3412094,1.3410416,1.3363571
2011-11-20,1.3374252,1.3414078,1.3371048,1.3401413,1.3355179,1.3433609,1.3326721
2011-11-21,1.3380737,1.3239212,1.3387909,1.3322678,1.328392,1.3384552,1.3324661
2011-11-22,1.3139572,1.336174,1.3371048,1.3410416,1.3346176,1.3460846,1.3376465
2011-11-23,1.3467026,1.3352432,1.3389206,1.3394012,1.3351974,1.3600235,1.3431396
2011-11-24,1.3316193,1.3360825,1.3371048,1.3221664,1.3351517,1.3560257,1.3221893
2011-11-25,1.324852,1.3352509,1.3390503,1.341362,1.3423157,1.342659,1.340477
2011-11-27,1.3306427,1.3356323,1.3371048,1.3380966,1.3477783,1.3237762,1.3231049
2011-11-28,1.3344879,1.3146896,1.33918,1.335083,1.3284149,1.335823,1.3340225
2011-11-29,1.3386688,1.3410721,1.3288727,1.3515854,1.3386002,1.3247375,1.3412094
2011-11-30,1.3376312,1.3416519,1.3177795,1.3263397,1.343544,1.3469467,1.3340759
2011-12-01,1.340477,1.3371964,1.3211288,1.3450089,1.3395615,1.3339844,1.3380508
2011-12-02,1.3397751,1.3358917,1.3302383,1.3331375,1.3178177,1.3236771,1.334137
2011-12-04,1.3257141,1.3484039,1.3402023,1.3306274,1.3446579,1.3338776,1.3305511
2011-12-05,1.335228,1.3272476,1.3196487,1.3292542,1.3205643,1.3313904,1.3312149
2011-12-06,1.339386,1.3304749,1.3451996,1.3358383,1.3472214,1.3303528,1.338562
2011-12-07,1.340683,1.3317032,1.3147736,1.3297424,1.3313522,1.3253326,1.3236771
2011-12-08,1.3327255,1.3466339,1.3468323,1.3419342,1.330658,1.3368073,1.3343201
2011-12-09,1.3344421,1.3249054,1.3270645,1.3239746,1.3399048,1.3566818,1.3402557
2011-12-11,1.331253,1.3411713,1.3324966,1.3385849,1.3219833,1.330101,1.3367844
2011-12-12,1.3313217,1.329277,1.3266754,1.3322296,1.3342438,1.3250885,1.3247375
2011-12-13,1.331253,1.3260651,1.3319626,1.3368454,1.3278198,1.3288956,1.3496475
2011-12-14,1.3346863,1.3331451,1.3395538,1.332962,1.3315964,1.3345795,1.3472214
2011-12-15,1.3290482,1.324501,1.3289719,1.3280792,1.3251266,1.3251572,1.325798
