,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK
2011-07-31,6.405182,6.3917313,6.396988,6.367592,6.393898,6.353218,6.3682556
2011-08-01,6.3918686,6.407135,6.3715973,6.379135,6.3682632,6.376236,6.3625717
2011-08-02,6.3957443,6.354149,6.355095,6.396744,6.374939,6.365074,6.368454
2011-08-03,6.3625946,6.402649,6.333893,6.367279,6.362877,6.363373,6.362442
2011-08-04,6.337631,6.376335,6.4393463,6.355324,6.3463364,6.3624725,6.3687744
2011-08-05,6.35598,6.3492126,6.349991,6.367798,6.3637543,6.341835,6.3623123
2011-08-07,6.3682327,6.3831863,6.3690033,6.362976,6.36512,6.3721237,6.3693466
2011-08-08,6.3859634,6.3655014,6.3398056,6.358757,6.361313,6.378456,6.368309
2011-08-09,6.367508,6.342331,6.3398895,6.35305,6.38163,6.3799286,6.4091873
2011-08-10,6.3612823,6.3782043,6.355446,6.374626,6.3792343,6.418358,6.4298477
2011-08-11,6.375046,6.346199,6.3655777,6.3733444,6.399719,6.425453,6.4369354
2011-08-12,6.3773346,6.347992,6.3721924,6.4111176,6.4262238,6.4399567,6.4295197
2011-08-14,6.3633957,6.3770447,6.4014587,6.4261017,6.426674,6.431923,6.437195
2011-08-15,6.3600006,6.407608,6.436615,6.4273148,6.4379044,6.4258423,6.429451
2011-08-16,6.3914566,6.4241333,6.435272,6.4376373,6.425125,6.4454117,6.4372635
2011-08-17,6.4343643,6.4276123,6.4250107,6.426033,6.425911,6.4390793,6.4291916
2011-08-18,6.4175186,6.426895,6.4368134,6.427063,6.438614,6.4346924,6.412964
2011-08-19,6.4486084,6.4236755,6.4357758,6.4386673,6.424736,6.415497,6.419853
2011-08-21,6.4129333,6.4332504,6.4241714,6.425644,6.4102554,6.4137573,6.383713
2011-08-22,6.424904,6.440727,6.437332,6.393654,6.414009,6.39769,6.375984
2011-08-23,6.42601,6.432213,6.4381714,6.4171524,6.4066467,6.4041977,6.368698
2011-08-24,6.438263,6.4317093,6.4070663,6.406563,6.393799,6.3612823,6.3618774
2011-08-25,6.399109,6.412628,6.4012527,6.392189,6.3620224,6.3697357,6.369072
2011-08-26,6.406288,6.4128265,6.3849487,6.36158,6.348091,6.3743668,6.354965
2011-08-28,6.3995895,6.3852005,6.366478,6.3808746,6.431679,6.358864,6.351799
2011-08-29,6.3795776,6.372078,6.3828735,6.375839,6.3595657,6.343155,6.352516
2011-08-30,6.3677063,6.3631744,6.384781,6.3603363,6.355812,6.3489304,6.35791
2011-08-31,6.365906,6.3564835,6.3485336,6.3688354,6.353424,6.366081,6.382454
2011-09-01,6.371681,6.353157,6.3667145,6.359314,6.354515,6.37146,6.3699265
2011-09-02,6.344116,6.355377,6.353821,6.3589783,6.3758163,6.3727264,6.3744965
2011-09-04,6.360565,6.353424,6.3611526,6.378563,6.380043,6.37323,6.393097
2011-09-05,6.349945,6.3629837,6.366577,6.3788147,6.394783,6.397972,6.395462
2011-09-06,6.365738,6.385025,6.384384,6.375786,6.3902664,6.399811,6.3971405
2011-09-07,6.363449,6.3786926,6.3802032,6.3792267,6.3912964,6.3908997,6.404831
2011-09-08,6.375496,6.3818207,6.3971252,6.386116,6.395546,6.392479,6.423424
2011-09-09,6.3965073,6.394615,6.391968,6.391983,6.3976746,6.4337997,6.412529
2011-09-11,6.3790054,6.411316,6.3988876,6.3895187,6.4268875,6.417282,6.4294357
2011-09-12,6.3939133,6.391327,6.4002457,6.426285,6.422226,6.415741,6.42437
2011-09-13,6.405609,6.429535,6.414337,6.420822,6.425972,6.4240646,6.4110413
2011-09-14,6.3966217,6.420395,6.4183273,6.42437,6.397629,6.429947,6.4242477
2011-09-15,6.401886,6.413498,6.4183273,6.431389,6.4311523,6.4145203,6.4113464
2011-09-16,6.404152,6.4246216,6.4183273,6.4171295,6.4165726,6.423874,6.4295425
2011-09-18,6.417404,6.4304886,6.4182587,6.425461,6.4254684,6.430725,6.4243774
2011-09-19,6.4132156,6.4154587,6.4182587,6.4321136,6.4321136,6.430313,6.4211426
2011-09-20,6.420021,6.424362,6.4182587,6.416359,6.4159164,6.4216843,6.425789
2011-09-21,6.411911,6.4309464,6.418129,6.425461,6.425209,6.4146957,6.4070816
2011-09-22,6.4239044,6.414421,6.4179993,6.454483,6.4322357,6.4416122,6.4243546
2011-09-23,6.425789,6.4297333,6.4179993,6.431381,6.405159,6.4245987,6.434395
2011-09-25,6.4454803,6.424797,6.4179993,6.4230423,6.446968,6.4620895,6.4490967
2011-09-26,6.4380493,6.431328,6.4179993,6.433365,6.449623,6.4845276,6.4841003
2011-09-27,6.416916,6.4247284,6.4179993,6.4323807,6.4410095,6.484764,6.5692825
2011-09-28,6.4112625,6.458481,6.4720917,6.4401016,6.4688034,6.5770187,6.634163
2011-09-29,6.426552,6.4595337,6.455467,6.454399,6.5696716,6.619934,6.6320877
2011-09-30,6.425537,6.4358444,6.483429,6.5747604,6.622017,6.6485825,6.6412964
2011-10-02,6.464264,6.489128,6.5699463,6.639778,6.6427383,6.6462555,6.655113
2011-10-03,6.4893875,6.5725555,6.614731,6.637085,6.651016,6.6560364,6.675972
2011-10-04,6.5665894,6.622383,6.6383743,6.650116,6.651619,6.669586,6.692566
2011-10-05,6.627571,6.6218033,6.6531525,6.626709,6.6700134,6.678421,6.6812515
2011-10-06,6.6434937,6.6441116,6.6640167,6.6920547,6.6716614,6.702095,6.689499
2011-10-07,6.6445847,6.6535873,6.667824,6.64505,6.7038574,6.6876373,6.6819687
2011-10-09,6.658104,6.6642914,6.6701508,6.6825943,6.6791534,6.6949615,6.66893
