,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR
2011-07-25,2738.6865,2738.2224,2738.6929,2739.4827,2738.6863,2738.7014,2738.6968
2011-07-26,2738.2222,2738.69,2739.4849,2738.6787,2738.6985,2738.7,2737.2751
2011-07-27,2738.7048,2739.4932,2738.7046,2738.6958,2738.6995,2737.1814,2735.62
2011-07-28,2739.4858,2738.7039,2738.6956,2738.6958,2737.1638,2735.464,2730.889
2011-07-29,2738.7085,2738.6968,2738.6934,2737.1287,2735.3887,2730.5547,2723.8696
2011-07-31,2738.7034,2738.693,2737.0872,2735.2905,2730.315,2723.4695,2717.6904
2011-08-01,2738.6953,2737.0151,2735.164,2730.0342,2723.146,2717.2651,2708.7148
2011-08-02,2736.8962,2735.0251,2729.6692,2722.77,2716.8916,2707.9573,2697.7778
2011-08-03,2734.8315,2729.3376,2722.3115,2716.5134,2707.2778,2697.2046,2694.368
2011-08-04,2728.932,2722.0125,2716.0376,2706.5632,2696.656,2694.5115,2692.7676
2011-08-05,2721.708,2715.6956,2705.642,2696.1326,2694.4397,2692.349,2686.8638
2011-08-07,2715.2654,2704.9438,2695.4001,2694.4236,2692.295,2686.2283,2677.1667
2011-08-08,2704.1223,2694.8467,2694.4414,2692.4766,2685.9712,2676.522,2673.2607
2011-08-09,2694.322,2694.4092,2692.2017,2685.9316,2676.1895,2673.1895,2666.7744
2011-08-10,2694.4424,2692.1826,2685.3633,2675.9404,2673.1511,2666.4614,2659.5354
2011-08-11,2692.063,2685.1106,2675.734,2673.1382,2666.2014,2659.1138,2655.6504
2011-08-12,2684.73,2675.668,2673.2573,2665.9504,2658.8577,2655.5493,2648.4941
2011-08-14,2675.6948,2673.2402,2665.7515,2658.5933,2655.4336,2648.1284,2639.3513
2011-08-15,2673.3215,2665.4802,2658.3389,2655.3323,2647.772,2638.8706,2629.5908
2011-08-16,2665.2805,2658.1804,2655.2837,2647.4097,2638.3682,2628.9812,2616.2556
2011-08-17,2658.1428,2655.377,2647.015,2637.9253,2628.398,2615.1719,2602.0186
2011-08-18,2655.3901,2646.833,2637.2847,2627.863,2614.1597,2600.4497,2582.6821
2011-08-19,2646.5425,2636.951,2627.1272,2613.1602,2598.9998,2580.4988,2558.8386
2011-08-21,2636.488,2626.6348,2611.811,2597.5293,2578.496,2556.5178,2534.679
2011-08-22,2626.0806,2610.8352,2595.5618,2576.4355,2554.3584,2531.7449,2507.924
2011-08-23,2609.748,2594.101,2573.6985,2552.21,2529.0156,2504.8782,2480.5178
2011-08-24,2592.482,2571.6404,2549.316,2526.2466,2502.0732,2476.843,2455.062
2011-08-25,2569.3696,2547.1467,2522.5476,2499.2065,2473.4834,2451.5562,2429.4695
2011-08-26,2544.8176,2519.756,2495.4792,2470.0256,2448.3923,2425.445,2400.4902
2011-08-28,2516.8928,2492.6343,2465.5293,2445.0596,2421.8145,2395.955,2371.5427
2011-08-29,2489.6243,2462.2686,2440.7031,2417.9958,2391.9312,2367.1414,2341.5017
