,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD
2011-06-07,2.0575325,2.051783,2.0508728,2.0494454,2.0492582,2.0443099,2.043394
2011-06-08,2.0530696,2.04936,2.0478234,2.0459363,2.0454693,2.0418363,2.0398407
2011-06-09,2.047562,2.0535038,2.048119,2.0440183,2.0399551,2.0390139,2.0341394
2011-06-10,2.0526867,2.0465817,2.0463533,2.0428255,2.0403206,2.038028,2.0273907
2011-06-12,2.048047,2.0443375,2.0410094,2.0405421,2.037016,2.0264027,2.018945
2011-06-13,2.0485153,2.043918,2.0423198,2.035266,2.028239,2.02078,2.0087867
2011-06-14,2.0376816,2.0321026,2.0358498,2.0214748,2.0165968,2.0089834,2.012689
2011-06-15,2.0412943,2.0369947,2.0306287,2.0184162,2.0167305,2.0236254,2.0166173
2011-06-16,2.036751,2.0325818,2.0194225,2.0081205,2.0136456,2.0121953,2.0129468
2011-06-17,2.0299475,2.0039582,2.0237467,2.0075233,2.005938,2.0077822,2.0081482
2011-06-19,2.0264559,2.0187495,2.0149388,1.9898013,2.010298,1.9945898,2.00919
2011-06-20,2.0197482,2.0165753,2.0087671,2.0170388,1.9941142,2.004489,2.0032918
2011-06-21,2.0223346,2.000365,2.0243988,2.005597,2.005691,2.0026283,2.0430179
2011-06-22,2.0125802,2.014004,2.0077927,2.010856,2.0096772,2.0033903,2.0104892
2011-06-23,2.001129,2.011652,1.9939027,2.0074396,1.9998381,1.9918878,1.9996343
2011-06-24,2.0246096,2.0169632,2.001008,2.00782,2.0171669,2.0199926,2.013033
2011-06-26,2.0066838,2.008955,2.015974,2.0011907,2.0065622,2.0089488,2.0014095
2011-06-27,2.0125606,2.0082903,2.0097816,2.0088239,2.0119607,2.004102,2.0084941
2011-06-28,2.0020115,1.9900951,2.0012405,2.004656,2.0121331,2.0094576,1.9998066
2011-06-29,2.0066004,1.997077,2.0043273,1.9939522,2.0115967,1.9972693,2.005765
2011-06-30,2.0042138,1.9979982,2.0069277,2.001396,1.9990159,1.9969192,1.9976268
2011-07-01,1.988506,2.0118883,2.0128198,2.0034995,1.99804,1.9944166,1.9949971
2011-07-03,1.9999096,2.0119934,2.0105016,2.0069418,1.9952277,2.0017312,1.9953268
2011-07-04,2.006838,2.008959,2.001905,1.9976602,2.001559,1.997631,1.9955773
2011-07-05,1.99692,1.9988636,1.9913704,2.0010839,1.9961536,1.9928854,1.9894937
