,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR
2011-09-05,2715.8877,2701.1382,2693.331,2736.3425,2737.372,2743.3154,2743.387
2011-09-06,2728.7993,2714.9153,2707.229,2750.2258,2751.2405,2757.1787,2756.2966
2011-09-07,2742.5762,2728.813,2721.1123,2764.0945,2765.1038,2770.088,2770.073
2011-09-08,2756.4739,2742.6958,2734.981,2777.957,2778.0132,2783.8647,2783.9692
2011-09-09,2770.3567,2756.5647,2748.8435,2790.867,2791.7898,2797.761,2797.852
2011-09-11,2784.2256,2770.4275,2761.7534,2804.6433,2805.686,2811.6438,2811.7188
2011-09-12,2798.0886,2783.3372,2775.5298,2818.5396,2819.5688,2825.5105,2825.5806
2011-09-13,2810.998,2797.1135,2789.426,2832.4224,2833.4355,2839.372,2838.4895
2011-09-14,2824.7744,2811.0098,2803.309,2846.2896,2847.297,2852.2808,2852.2654
2011-09-15,2838.6707,2824.8926,2817.1758,2860.1511,2860.206,2866.0574,2866.1606
2011-09-16,2852.5537,2838.7593,2831.037,2873.0596,2873.9822,2879.9526,2880.0437
2011-09-18,2866.4207,2852.621,2843.9463,2886.8362,2887.8772,2893.8354,2893.9094
2011-09-19,2880.282,2865.5298,2857.7224,2900.731,2901.7603,2907.701,2907.7698
2011-09-20,2893.1907,2879.306,2871.6174,2914.6138,2915.626,2921.5615,2920.6787
2011-09-21,2906.967,2893.201,2885.5005,2928.4795,2929.4866,2934.4702,2934.4543
2011-09-22,2920.862,2907.084,2899.366,2942.34,2942.3953,2948.246,2948.3489
2011-09-23,2934.745,2920.9497,2913.2268,2955.249,2956.1711,2962.1404,2962.2317
2011-09-25,2948.6108,2934.8103,2926.1353,2969.0247,2970.0652,2976.0234,2976.097
2011-09-26,2962.4714,2947.719,2939.9111,2982.9192,2983.9482,2989.8884,2989.9573
2011-09-27,2975.3801,2961.495,2953.8054,2996.8022,2997.8137,3003.7485,3002.8657
2011-09-28,2989.1562,2975.389,2967.6885,3010.6672,3011.6733,3016.6572,3016.641
2011-09-29,3003.0503,2989.272,2981.5535,3024.5273,3024.5823,3030.4321,3030.535
2011-09-30,3016.9333,3003.1375,2995.4136,3037.436,3038.3574,3044.3264,3044.418
2011-10-02,3030.798,3016.9973,3008.3223,3051.2107,3052.2517,3058.2092,3058.285
2011-10-03,3044.6582,3029.9058,3022.0974,3065.0962,3066.1348,3072.0886,3072.1287
2011-10-04,3057.567,3043.6812,3035.9917,3078.9795,3080.0142,3085.9324,3085.0361
2011-10-05,3071.3318,3057.5742,3049.8745,3092.859,3093.858,3098.84,3098.8013
2011-10-06,3085.215,3071.457,3063.7527,3106.7021,3106.7654,3112.6047,3112.6846
2011-10-07,3099.098,3085.3364,3077.5964,3119.61,3120.53,3126.4883,3126.5676
2011-10-09,3112.9775,3099.1802,3090.5044,3133.375,3134.4138,3140.3713,3140.446
2011-10-10,3126.8213,3112.0876,3104.269,3147.2583,3148.2969,3154.2495,3154.29
2011-10-11,3139.729,3125.8525,3118.1523,3161.141,3162.1758,3168.0925,3167.197
2011-10-12,3153.4934,3139.736,3132.0354,3175.0208,3176.0186,3181.0,3180.9617
2011-10-13,3167.3765,3153.6191,3145.9138,3188.8633,3188.9263,3194.7644,3194.8445
2011-10-14,3181.2595,3167.498,3159.7568,3201.771,3202.6904,3208.6475,3208.7278
2011-10-16,3195.1387,3181.341,3172.6646,3215.5354,3216.5737,3222.5305,3222.607
2011-10-17,3208.9817,3194.2488,3186.4292,3229.4182,3230.4565,3236.4097,3236.4497
2011-10-18,3221.8892,3208.013,3200.3125,3243.3013,3244.3354,3250.2524,3249.357
2011-10-19,3235.6536,3221.896,3214.1953,3257.1802,3258.1785,3263.1602,3263.1216
2011-10-20,3249.5364,3235.779,3228.0742,3271.0234,3271.0864,3276.9246,3277.0046
2011-10-21,3263.4194,3249.6582,3241.9172,3283.9307,3284.8506,3290.8076,3290.8877
2011-10-23,3277.2986,3263.5012,3254.8247,3297.6953,3298.7334,3304.6904,3304.766
2011-10-24,3291.1416,3276.4084,3268.5889,3311.5781,3312.6167,3318.569,3318.6094
2011-10-25,3304.0493,3290.173,3282.4722,3325.4614,3326.4954,3332.4116,3331.5166
2011-10-26,3317.8132,3304.056,3296.355,3339.3396,3340.338,3345.3196,3345.2812
2011-10-27,3331.6965,3317.939,3310.2336,3353.1826,3353.245,3359.0837,3359.1643
2011-10-28,3345.5793,3331.8174,3324.0767,3366.0906,3367.01,3372.9666,3373.047
2011-10-30,3359.4583,3345.6604,3336.9841,3379.8547,3380.893,3386.8499,3386.9258
2011-10-31,3373.301,3358.568,3350.7485,3393.738,3394.7761,3400.7285,3400.7686
2011-11-01,3386.2085,3372.3323,3364.6313,3407.6206,3408.6545,3414.5713,3413.6763
2011-11-02,3399.973,3386.2153,3378.5144,3421.4993,3422.4976,3427.4788,3427.4404
2011-11-03,3413.856,3400.0984,3392.393,3435.3423,3435.405,3441.2432,3441.3232
2011-11-04,3427.739,3413.9768,3406.2363,3448.2498,3449.1697,3455.1262,3455.2063
2011-11-06,3441.6177,3427.8198,3419.1438,3462.0142,3463.0522,3469.0093,3469.0852
2011-11-07,3455.4604,3440.7275,3432.9077,3475.8975,3476.9353,3482.888,3482.9277
2011-11-08,3468.3682,3454.492,3446.791,3489.7803,3490.814,3496.731,3495.8354
2011-11-09,3482.1323,3468.3748,3460.674,3503.6587,3504.657,3509.6384,3509.5999
2011-11-10,3496.0154,3482.2578,3474.5522,3517.5017,3517.5645,3523.4028,3523.483
