,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD
2011-08-23,2341.977,2339.4194,2335.5488,2328.147,2315.7869,2303.2136,2288.9353
2011-08-24,2339.409,2335.5215,2327.911,2315.3965,2302.6528,2288.354,2271.6997
2011-08-25,2335.4539,2327.7673,2315.0176,2302.0708,2287.7173,2270.8389,2250.96
2011-08-26,2327.5874,2314.8042,2301.4846,2287.0173,2269.8862,2250.0317,2232.8103
2011-08-28,2314.5688,2301.1194,2286.381,2268.8984,2248.9956,2231.8386,2217.3022
2011-08-29,2300.7288,2285.9639,2267.9631,2247.964,2230.7842,2216.518,2201.7524
2011-08-30,2285.4563,2267.3179,2246.9224,2229.755,2215.528,2200.8127,2190.5022
2011-08-31,2266.6,2246.2498,2228.7139,2214.5884,2199.7537,2190.1316,2186.4368
2011-09-01,2245.4587,2227.9766,2213.6465,2198.8206,2189.829,2186.442,2184.0786
2011-09-02,2227.199,2213.0073,2197.9214,2189.6484,2186.3955,2184.0486,2181.5635
2011-09-04,2212.2764,2197.3462,2189.3984,2186.3804,2183.9905,2181.4893,2181.3342
2011-09-05,2196.8315,2189.2576,2186.3657,2183.98,2181.3787,2181.3086,2181.3125
2011-09-06,2189.1921,2186.3547,2184.0095,2181.3196,2181.3145,2181.318,2178.858
2011-09-07,2186.3655,2184.0256,2181.3018,2181.318,2181.3157,2178.8074,2170.9087
2011-09-08,2184.0496,2181.2822,2181.315,2181.3196,2178.7905,2170.7212,2165.9739
2011-09-09,2181.2766,2181.3088,2181.3218,2178.6772,2170.5488,2165.8638,2164.1377
2011-09-11,2181.305,2181.3184,2178.5312,2170.2864,2165.7612,2164.104,2164.1555
2011-09-12,2181.3125,2178.5547,2169.9922,2165.5825,2164.1343,2164.1497,2164.13
2011-09-13,2178.5872,2169.906,2165.3735,2164.1323,2164.1365,2164.1543,2164.1597
2011-09-14,2169.827,2165.3118,2164.1394,2164.1453,2164.1501,2164.1406,2167.314
2011-09-15,2165.261,2164.1501,2164.1516,2164.1536,2164.144,2167.303,2172.692
2011-09-16,2164.1382,2164.1575,2164.145,2164.1348,2167.3035,2172.7695,2182.52
2011-09-18,2164.14,2164.14,2164.1306,2167.4275,2172.7742,2182.6091,2187.191
2011-09-19,2164.1428,2164.1316,2167.6152,2172.8901,2182.7188,2187.235,2187.2412
2011-09-20,2164.1377,2167.6729,2173.0667,2182.9204,2187.2644,2187.2495,2190.821
2011-09-21,2167.6438,2173.087,2183.0903,2187.2808,2187.237,2190.8103,2194.6572
2011-09-22,2173.1238,2183.1467,2187.2935,2187.2454,2190.8516,2194.7493,2195.0796
2011-09-23,2183.2104,2187.3188,2187.2551,2190.8413,2194.6335,2195.0903,2197.4907
2011-09-25,2187.306,2187.2441,2190.8813,2194.7725,2195.0837,2197.477,2201.6484
2011-09-26,2187.2456,2190.8337,2194.7583,2195.0874,2197.4905,2201.763,2201.6633
2011-09-27,2190.8625,2194.7268,2195.0815,2197.4841,2201.791,2201.6777,2201.6633
2011-09-28,2194.7805,2195.072,2197.5122,2201.6548,2201.682,2201.6665,2201.664
2011-09-29,2195.0828,2197.4473,2201.8088,2201.6548,2201.6597,2201.6794,2201.6697
2011-09-30,2197.51,2201.8223,2201.6865,2201.6729,2201.6543,2201.6663,2201.6616
2011-10-02,2201.895,2201.6697,2201.6538,2201.6472,2201.6785,2201.6633,2201.6646
2011-10-03,2201.6633,2201.6682,2201.6726,2201.665,2201.6836,2201.6719,2202.2751
2011-10-04,2201.6458,2201.658,2201.6812,2201.685,2201.6582,2202.2727,2202.7568
2011-10-05,2201.659,2201.6653,2201.6763,2201.6719,2202.252,2202.7837,2202.939
2011-10-06,2201.6672,2201.6562,2201.6536,2202.2788,2202.811,2202.9165,2208.0278
2011-10-07,2201.6675,2201.6716,2202.2817,2202.7908,2202.923,2207.9333,2207.8206
2011-10-09,2201.68,2202.2866,2202.8257,2202.9429,2207.9714,2207.7974,2207.8208
2011-10-10,2202.2915,2202.7866,2202.885,2207.9756,2207.7993,2207.8276,2207.8213
2011-10-11,2202.785,2202.94,2207.8982,2207.8252,2207.8013,2207.8345,2209.8943
2011-10-12,2202.9387,2207.951,2207.844,2207.8152,2207.8198,2209.9197,2211.9336
2011-10-13,2207.8953,2207.7961,2207.7825,2207.784,2209.9277,2211.9126,2218.4355
2011-10-14,2207.816,2207.8076,2207.8303,2209.9202,2211.9158,2218.4817,2220.5623
2011-10-16,2207.7869,2207.827,2209.9077,2211.898,2218.6748,2220.4932,2227.5527
2011-10-17,2207.801,2209.9238,2211.9172,2218.8135,2220.5518,2227.6975,2240.0562
2011-10-18,2209.956,2211.88,2218.728,2220.5376,2227.4119,2240.123,2248.752
2011-10-19,2211.8997,2218.9758,2220.5361,2228.0732,2240.2354,2248.7075,2251.9502
2011-10-20,2219.0286,2220.5015,2228.0747,2240.6104,2248.939,2251.9407,2259.3804
2011-10-21,2220.546,2228.0032,2240.6982,2248.7922,2252.0093,2259.4497,2274.4797
2011-10-23,2227.945,2240.7268,2248.75,2252.033,2259.192,2274.6965,2278.38
2011-10-24,2240.815,2248.6838,2252.0151,2259.4075,2274.671,2278.368,2280.8618
2011-10-25,2248.861,2251.959,2259.446,2274.861,2278.4343,2280.8235,2280.8574
2011-10-26,2251.9456,2259.705,2275.0059,2278.4043,2280.8477,2280.877,2281.5742
2011-10-27,2259.7808,2275.1692,2278.38,2280.925,2280.8464,2281.546,2289.3726
2011-10-28,2275.1912,2278.3079,2280.8682,2280.858,2281.5432,2289.267,2298.2195
2011-10-30,2278.4324,2280.883,2280.832,2281.5723,2289.6272,2298.1787,2307.3984
2011-10-31,2280.8506,2280.8743,2281.5356,2289.5679,2298.6084,2307.4194,2308.783
2011-11-01,2280.8552,2281.587,2289.5464,2298.68,2307.482,2308.7537,2310.9727
2011-11-02,2281.5798,2289.3743,2298.6772,2307.3718,2308.7683,2310.9688,2312.1252
2011-11-03,2289.5466,2298.5964,2307.3394,2308.7195,2310.9568,2312.1545,2317.353
2011-11-04,2298.8516,2307.3394,2308.7766,2310.994,2312.1753,2317.2207,2325.621
2011-11-06,2307.4766,2308.7673,2310.9736,2312.1392,2317.387,2326.5215,2329.2278
2011-11-07,2308.769,2310.9832,2312.0884,2317.3848,2326.2048,2329.178,2331.4856
2011-11-08,2311.0034,2312.146,2317.4338,2326.3667,2329.2356,2331.4573,2331.5393
2011-11-09,2312.0918,2317.3687,2326.1052,2329.232,2331.4993,2331.5596,2331.9011
2011-11-10,2317.429,2326.039,2329.23,2331.4434,2331.5645,2331.9146,2333.8745
2011-11-11,2326.6516,2329.1934,2331.4646,2331.5469,2331.9172,2333.8677,2334.735
2011-11-13,2329.2063,2331.484,2331.5579,2331.9387,2333.8562,2334.7075,2334.7192
2011-11-14,2331.5076,2331.5964,2331.938,2333.9263,2334.718,2334.7231,2334.7354
2011-11-15,2331.5916,2331.8962,2333.8933,2334.6956,2334.7417,2334.7305,2334.7192
2011-11-16,2331.8894,2333.901,2334.7324,2334.7336,2334.706,2334.75,2334.7358
2011-11-17,2333.8745,2334.7166,2334.7288,2334.6877,2334.705,2334.7139,2334.7192
2011-11-18,2334.7097,2334.7456,2334.718,2334.713,2334.7625,2334.6968,2334.7358
2011-11-20,2334.736,2334.7388,2334.743,2334.6985,2334.7803,2334.7224,2334.7188
2011-11-21,2334.7358,2334.6987,2334.7363,2334.7295,2334.736,2334.7014,2334.7358
2011-11-22,2334.7239,2334.7393,2334.6953,2334.7507,2334.7502,2334.7163,2333.8867
2011-11-23,2334.7244,2334.7136,2334.7278,2334.7178,2334.7104,2333.8591,2331.9373
2011-11-24,2334.7288,2334.7146,2334.7197,2334.742,2333.8452,2331.8984,2331.5857
2011-11-25,2334.7234,2334.714,2334.7197,2333.9038,2331.9175,2331.5347,2331.4731
2011-11-27,2334.7368,2334.72,2333.9023,2331.8967,2331.6677,2331.4363,2329.1423
2011-11-28,2334.728,2333.843,2331.9604,2331.5593,2331.4612,2329.2483,2329.1406
2011-11-29,2333.8767,2331.853,2331.5374,2331.482,2329.2227,2329.2263,2329.2
2011-11-30,2331.907,2331.5425,2331.4817,2329.2393,2329.1985,2329.1726,2325.5815
2011-12-01,2331.513,2331.454,2329.2192,2329.212,2329.233,2325.608,2325.5693
2011-12-02,2331.4731,2329.232,2329.1914,2329.2234,2325.5156,2325.5027,2323.9858
2011-12-04,2329.243,2329.2253,2329.2,2325.6018,2325.5503,2323.9778,2323.4128
2011-12-05,2329.1934,2329.1824,2325.4746,2325.497,2323.9585,2323.462,2316.0635
2011-12-06,2329.2192,2325.589,2325.585,2323.971,2323.3389,2315.8916,2316.026
2011-12-07,2325.5964,2325.5376,2323.959,2323.4294,2315.9453,2315.957,2315.5447
2011-12-08,2325.556,2323.9827,2323.3718,2315.921,2315.987,2315.5618,2312.1392
2011-12-09,2323.967,2323.4016,2315.8423,2316.0127,2315.589,2312.112,2310.9807
2011-12-11,2323.3987,2315.944,2315.9275,2315.5972,2312.155,2310.9258,2303.8076
2011-12-12,2315.893,2315.993,2315.5833,2312.1013,2310.9897,2303.8274,2302.5308
2011-12-13,2315.997,2315.5215,2312.1658,2310.9883,2304.029,2302.5251,2298.771
2011-12-14,2315.6025,2312.1487,2311.0105,2304.0967,2302.468,2298.7375,2297.9524
2011-12-15,2312.1958,2311.0027,2304.0798,2302.5508,2298.7698,2297.9304,2292.5146
2011-12-16,2310.957,2303.88,2302.5132,2298.8389,2297.9424,2292.4514,2290.6213
2011-12-18,2303.8801,2302.4707,2298.7205,2297.9463,2292.4966,2290.5637,2279.0322
2011-12-19,2302.5093,2298.6497,2297.9404,2292.574,2290.597,2278.7744,2267.1606
2011-12-20,2298.7861,2297.9854,2292.4858,2290.5925,2279.019,2267.3276,2267.3762
2011-12-21,2297.9343,2292.4836,2290.5996,2279.3816,2267.2998,2267.3193,2267.3499
2011-12-22,2292.464,2290.5596,2278.7283,2267.2642,2267.3235,2267.3428,2267.3257
2011-12-23,2290.5842,2278.9915,2267.3877,2267.3706,2267.382,2267.3923,2267.3394
2011-12-27,2279.1472,2267.319,2267.3215,2267.3342,2267.399,2267.3684,2260.414
