,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY
2011-12-30,121.37033,121.32189,121.30262,121.23056,121.086586,121.02433,120.93717
2012-01-02,121.329025,121.249084,121.2611,121.10904,121.03294,120.93572,120.903046
2012-01-03,121.26275,121.289825,121.15156,121.02781,120.91166,120.9134,120.95055
2012-01-04,121.29307,121.08744,121.00868,120.927765,120.93243,120.92597,120.96362
2012-01-05,121.11825,121.037766,120.948074,120.91241,120.93923,120.936584,120.90112
2012-01-06,121.039566,120.93244,120.93153,120.92766,120.92618,120.9127,120.95152
2012-01-08,120.91451,120.926834,120.90971,120.91209,120.93888,120.92613,120.93987
2012-01-09,120.92284,120.91875,120.9319,120.92815,120.922516,120.937584,120.93673
2012-01-10,120.98578,120.94323,120.92386,120.91188,120.897675,120.91213,120.86998
2012-01-11,120.97768,120.93196,120.93463,120.928665,120.922165,120.93093,120.843254
2012-01-12,120.91029,120.92568,120.90893,120.9117,120.89314,120.802536,120.774345
2012-01-13,120.9189,120.91737,120.91371,120.91231,120.813,120.88781,120.75428
2012-01-15,120.9839,120.89529,120.80939,120.852936,120.796326,120.70637,120.73607
2012-01-16,120.918045,120.86955,120.81551,120.76723,120.7284,120.71481,119.761406
2012-01-17,120.84188,120.78035,120.87203,120.657684,120.68907,119.87742,119.76364
2012-01-18,120.788246,120.80086,120.73375,120.70107,119.80923,119.8055,119.77151
2012-01-19,120.754005,120.71247,120.690025,119.7735,119.7968,119.71248,119.79941
2012-01-20,120.73407,120.7327,119.91446,119.730736,119.78123,119.75604,119.76235
2012-01-22,120.684296,119.83689,119.797066,119.79564,119.79307,119.7986,119.75793
2012-01-23,119.88245,119.81891,119.801834,119.75051,119.77111,119.74454,119.74996
2012-01-24,119.77015,119.77165,119.78852,119.79227,119.78356,119.70095,119.77405
2012-01-25,119.75499,119.663475,119.77305,119.72783,119.794174,119.82952,119.75485
2012-01-26,119.7718,119.78763,119.76301,119.732155,119.76989,119.76674,119.760574
2012-01-27,119.78348,119.76883,119.765976,119.791016,119.755295,119.75411,119.77361
2012-01-29,119.79345,119.78674,119.782425,119.75341,119.78547,119.79162,119.72641
2012-01-30,119.77144,119.77036,119.798325,119.76075,119.81134,119.738556,119.7923
2012-01-31,119.78835,119.80022,119.75245,119.76078,119.78382,119.803185,119.7752
2012-02-01,119.81114,119.77108,119.74939,119.792595,119.76797,119.772446,119.79222
2012-02-02,119.777405,119.80377,119.75494,119.75599,119.78178,119.791824,119.75409
2012-02-03,119.75093,119.7222,119.76371,119.79494,119.78509,119.76257,119.72829
2012-02-05,119.77003,119.80543,119.81773,119.79142,119.79203,119.77869,119.808975
2012-02-06,119.78023,119.77316,119.75185,119.76518,119.78241,119.79605,119.77094
