,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD
2011-11-08,1.6091995,1.6044846,1.6052246,1.6241608,1.6141739,1.6066208,1.6174927
2011-11-09,1.6178818,1.6062241,1.6094818,1.6262054,1.6025848,1.6098328,1.6024017
2011-11-10,1.6062546,1.6112518,1.6120834,1.6110306,1.6288986,1.6230469,1.617897
2011-11-11,1.6031723,1.607605,1.6295471,1.6080475,1.6111298,1.6107635,1.6094589
2011-11-13,1.6174469,1.6293259,1.6088562,1.6090393,1.6107712,1.6088562,1.6098251
2011-11-14,1.6112671,1.6081619,1.6079636,1.6097794,1.6101913,1.6090012,1.6121521
2011-11-15,1.6102371,1.6095581,1.611702,1.6109238,1.6096115,1.6102219,1.60952
2011-11-16,1.6102371,1.6013794,1.6091843,1.6120758,1.6098709,1.615303,1.6130371
2011-11-17,1.6104279,1.618515,1.611702,1.602768,1.6126328,1.613411,1.6155243
2011-11-18,1.6104279,1.6097565,1.6129379,1.6136246,1.615181,1.6053696,1.6160355
2011-11-20,1.6104279,1.6128311,1.6126022,1.6127319,1.6136322,1.607132,1.6036377
2011-11-21,1.6118851,1.6119385,1.6107864,1.614212,1.6192017,1.6049652,1.6059647
2011-11-22,1.6090164,1.6143951,1.6202011,1.6235733,1.6126404,1.612915,1.615387
2011-11-23,1.623703,1.6161575,1.5813522,1.6101379,1.6044312,1.6113434,1.6112366
2011-11-24,1.609108,1.614624,1.6158371,1.6165466,1.5935059,1.6079254,1.6317215
2011-11-25,1.6175537,1.6266632,1.6003723,1.5840912,1.601448,1.6078568,1.6214752
2011-11-27,1.61837,1.6204071,1.6146469,1.6090012,1.6203079,1.6160126,1.6089478
2011-11-28,1.6299667,1.6288376,1.6236038,1.616539,1.608429,1.6186371,1.6212234
2011-11-29,1.5945053,1.6233749,1.6258698,1.6197128,1.6187057,1.6059799,1.6177292
2011-11-30,1.60923,1.6257629,1.6120987,1.6248016,1.6082153,1.5974884,1.6196136
2011-12-01,1.6233368,1.6085663,1.6138153,1.6065445,1.6221771,1.6175613,1.6178741
2011-12-02,1.6105194,1.606453,1.6185913,1.6111679,1.6136627,1.6223068,1.6196823
2011-12-04,1.6094589,1.6162872,1.6127472,1.608551,1.6146698,1.6288452,1.6196823
2011-12-05,1.6164856,1.6249924,1.6179428,1.6220627,1.6193542,1.6221466,1.619873
2011-12-06,1.6083603,1.6214371,1.6031036,1.5998917,1.6201935,1.6100235,1.619873
2011-12-07,1.6142044,1.6018295,1.5861893,1.6347656,1.618988,1.6256332,1.6199417
2011-12-08,1.6191635,1.6361847,1.6418457,1.6407776,1.6168976,1.6111526,1.6199417
2011-12-09,1.6101913,1.6332245,1.602478,1.6259384,1.5778885,1.615593,1.6067505
2011-12-11,1.6285324,1.6070404,1.5813217,1.6198807,1.5852356,1.6259995,1.5947189
2011-12-12,1.6036148,1.5944748,1.6038971,1.6184845,1.6309814,1.6187134,1.615654
2011-12-13,1.6065292,1.6139908,1.6111221,1.6193161,1.6175995,1.613884,1.6117554
2011-12-14,1.6206589,1.579071,1.618248,1.6177979,1.6129913,1.6116943,1.6112366
2011-12-15,1.6077423,1.612709,1.6165695,1.615509,1.6071243,1.6124649,1.6114807
