,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR
2011-10-12,7.6447806,7.684821,7.8553305,7.850274,7.81958,7.8420677,7.850262
2011-10-13,7.681134,7.7896914,7.8634596,7.889634,7.8353033,7.8423104,7.8771358
2011-10-14,7.771018,7.8492017,7.796756,7.885559,7.8368244,7.8366656,7.8717017
2011-10-16,7.818448,7.8564076,7.8179154,7.829999,7.834617,7.8743443,7.876747
2011-10-17,7.779318,7.848205,7.8561587,7.886608,7.8631134,7.8653297,7.9248557
2011-10-18,7.7962217,7.8738894,7.873711,7.8744006,7.8723054,7.8986483,7.896088
2011-10-19,7.8422313,7.8502994,7.8786693,7.876018,7.8934746,7.910597,7.907024
2011-10-20,7.8823795,7.8927536,7.8751593,7.9076333,7.9006414,7.9224453,7.9029965
2011-10-21,7.894435,7.882868,7.901818,7.911315,7.9268565,7.943817,7.9442835
2011-10-23,7.9061666,7.895989,7.9236865,7.9191837,7.9472547,7.947909,7.933171
2011-10-24,7.899858,7.897419,7.9221897,7.93076,7.9595356,7.9278436,7.9244714
2011-10-25,7.899021,7.901251,7.9094787,7.9166102,7.9568405,7.9161515,7.945839
2011-10-26,7.909734,7.9301944,7.9240303,7.925349,7.913862,7.9104857,7.9328156
2011-10-27,7.9161124,7.918448,7.9232454,7.9214416,7.918578,7.931116,7.9758005
2011-10-28,7.9372573,7.906296,7.922634,7.9213734,7.9298043,7.9527073,7.948258
2011-10-30,7.9136815,7.9376726,7.938797,7.9212894,7.944575,7.9233904,7.9223785
2011-10-31,7.9345737,7.944865,7.9334755,7.9484754,7.9096675,7.934884,7.937049
2011-11-01,7.9378653,7.9410276,7.9550686,7.942991,7.954342,7.923345,7.9287105
2011-11-02,7.9121017,7.9635563,7.938825,7.9539685,7.9430594,7.949007,7.9104495
2011-11-03,7.933845,7.9534674,7.955227,7.9596853,7.92245,7.906383,7.9339657
2011-11-04,7.945104,7.9564004,7.940181,7.924168,7.922823,7.9309845,7.91243
2011-11-06,8.018266,7.932749,7.9263706,7.9267364,7.9266963,7.928149,7.9523926
2011-11-07,7.9188566,7.928997,7.9622307,7.9225974,7.9375467,7.922262,7.9641523
2011-11-08,7.923146,7.941139,7.918185,7.9314356,7.9334183,7.954169,7.9232044
2011-11-09,7.94414,7.9297333,7.9388404,7.945343,7.953906,7.937138,7.963283
2011-11-10,7.920031,7.93907,7.965036,7.9575944,7.9294224,7.9375157,7.9374104
2011-11-11,7.9434924,7.9512973,7.912901,7.9506435,7.953625,7.956265,7.9080205
