,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD
2011-08-05,1.0300798,1.0296662,1.0307821,1.0312879,1.0288516,1.030055,1.0303206
2011-08-07,1.0302081,1.0308574,1.0306939,1.0310737,1.0308895,1.0299408,1.0288241
2011-08-08,1.0291011,1.0301218,1.0310638,1.0309892,1.0296297,1.0290796,1.0311153
2011-08-09,1.028993,1.0307369,1.0297427,1.0278072,1.027384,1.0283935,1.0278187
2011-08-10,1.0299114,1.0299734,1.0287477,1.0294806,1.0275021,1.028233,1.0282638
2011-08-11,1.0295144,1.0299747,1.0287155,1.0291889,1.0299008,1.0287737,1.0285964
2011-08-12,1.0301449,1.0283761,1.0278858,1.029938,1.0284863,1.0287868,1.0277406
2011-08-14,1.0293336,1.0271075,1.0290556,1.0278074,1.030783,1.0265801,1.0277468
2011-08-15,1.028902,1.0296464,1.0290053,1.029366,1.027201,1.0258507,1.0301166
2011-08-16,1.0239496,1.0237328,1.0236275,1.0251272,1.0228817,1.0241349,1.031133
2011-08-17,1.0251665,1.0305924,1.027755,1.0295163,1.0251137,1.027241,1.0233089
2011-08-18,1.0289177,1.0281086,1.0285088,1.026603,1.0254096,1.0249816,1.030912
2011-08-19,1.0264156,1.0254362,1.030328,1.0248275,1.0241349,1.0244589,1.0286741
2011-08-21,1.028102,1.0243723,1.0274019,1.0274079,1.027588,1.0273964,1.0259855
2011-08-22,1.0283978,1.0304816,1.0281938,1.0319688,1.0276406,1.0284046,1.0274284
2011-08-23,1.0254563,1.0248655,1.0256166,1.0334767,1.0290445,1.029307,1.0284388
2011-08-24,1.0280526,1.0281774,1.025717,1.0284669,1.0262495,1.0336244,1.0258944
2011-08-25,1.0314633,1.0265895,1.0315317,1.0246488,1.0254369,1.0264086,1.0266105
2011-08-26,1.027554,1.0294173,1.0249449,1.0289943,1.0307331,1.03031,1.029175
2011-08-28,1.0286809,1.029168,1.0308862,1.025949,1.0302727,1.0292742,1.0326316
2011-08-29,1.0256169,1.0286473,1.0285836,1.028981,1.0298415,1.0311767,1.0310374
2011-08-30,1.0220937,1.0257524,1.0296682,1.0292252,1.0325193,1.0330983,1.031067
