,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK
2012-01-23,8.941626,8.923635,8.892663,8.911539,8.910804,8.871499,8.884837
2012-01-24,8.940087,8.912734,8.8959055,8.879275,8.890188,8.880822,8.864944
2012-01-25,8.920541,8.901454,8.877263,8.928766,8.877539,8.870653,8.882058
2012-01-26,8.891509,8.8601885,8.880572,8.868006,8.868838,8.879708,8.886715
2012-01-27,8.875078,8.867621,8.878999,8.895712,8.877562,8.847717,8.872156
2012-01-29,8.861329,8.867509,8.880295,8.875554,8.899102,8.826506,8.896412
2012-01-30,8.85998,8.898671,8.880932,8.880876,8.845499,8.852647,8.887356
2012-01-31,8.901593,8.86957,8.880273,8.885189,8.875951,8.899436,8.872091
2012-02-01,8.869479,8.881766,8.86896,8.8461685,8.85794,8.843426,8.862278
2012-02-02,8.894317,8.866991,8.844983,8.882297,8.885941,8.87594,8.842607
2012-02-03,8.840663,8.866239,8.86986,8.857849,8.847017,8.848579,8.8535595
