,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN
2011-10-21,4.367011,4.356174,4.380749,4.384912,4.394869,4.376834,4.3657975
2011-10-23,4.3682675,4.370468,4.364285,4.3625135,4.394911,4.353507,4.3649406
2011-10-24,4.3781753,4.369017,4.3658195,4.3737636,4.3947515,4.3514986,4.366072
2011-10-25,4.409026,4.372048,4.3418326,4.3784003,4.383287,4.3598986,4.3816276
2011-10-26,4.376361,4.3874216,4.390202,4.3605595,4.356684,4.338899,4.3758135
2011-10-27,4.372581,4.370716,4.3510456,4.377469,4.3529797,4.3590336,4.3981776
2011-10-28,4.374842,4.3819203,4.3798575,4.3574386,4.383065,4.358966,4.376083
2011-10-30,4.4163947,4.4082484,4.357323,4.3778543,4.380541,4.3774395,4.361124
2011-10-31,4.3383017,4.392252,4.3826523,4.3927107,4.388009,4.3758373,4.3665757
2011-11-01,4.358387,4.3540215,4.3711195,4.37861,4.371142,4.3837204,4.369006
2011-11-02,4.385049,4.365216,4.380227,4.372664,4.372885,4.368271,4.366179
2011-11-03,4.364496,4.3775067,4.373674,4.3597407,4.3620615,4.378068,4.3636756
2011-11-04,4.3689995,4.3780174,4.359994,4.372299,4.3660774,4.3614774,4.3723373
2011-11-06,4.373624,4.3647447,4.3807926,4.3711247,4.363467,4.3702574,4.364241
2011-11-07,4.3687983,4.3727765,4.357356,4.3714604,4.364374,4.3585677,4.3728046
2011-11-08,4.3683343,4.371881,4.3710256,4.3726215,4.357784,4.3646517,4.3727684
2011-11-09,4.373363,4.3656735,4.370421,4.3725033,4.3758173,4.3709345,4.3683186
2011-11-10,4.363916,4.3633637,4.3704634,4.372612,4.364684,4.351524,4.3633432
2011-11-11,4.3708606,4.367457,4.37057,4.370508,4.3628554,4.359639,4.376379
2011-11-13,4.3637943,4.375637,4.370643,4.367296,4.3642173,4.370552,4.377047
2011-11-14,4.371008,4.359009,4.370682,4.361108,4.3781614,4.357811,4.3726463
2011-11-15,4.3635597,4.3674774,4.3707495,4.3743258,4.3726497,4.36614,4.3617935
2011-11-16,4.3588643,4.3760395,4.3708477,4.38173,4.3638287,4.3696833,4.3701105
2011-11-17,4.366471,4.378631,4.3709397,4.3578577,4.377935,4.371208,4.369702
2011-11-18,4.3735566,4.3771224,4.371045,4.3731346,4.36723,4.3742976,4.3774214
2011-11-20,4.3712664,4.370389,4.3711553,4.3734703,4.37755,4.369029,4.375856
2011-11-21,4.3674073,4.366067,4.3639207,4.372575,4.36509,4.377618,4.3822527
2011-11-22,4.364074,4.3610644,4.3714366,4.370269,4.3781886,4.3933263,4.385683
2011-11-23,4.3728213,4.376282,4.373517,4.378655,4.3806386,4.383789,4.383829
2011-11-24,4.3685923,4.3761144,4.3774323,4.3767233,4.382432,4.3862853,4.3927183
