,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY
2011-08-18,66.80817,66.76437,66.76301,66.70648,66.6079,66.560745,66.59467
2011-08-19,66.73978,66.707726,66.69983,66.643814,66.6028,66.65206,66.61302
2011-08-21,66.72297,66.72043,66.69579,66.61553,66.59975,66.596214,66.59893
2011-08-22,66.69669,66.66916,66.642044,66.52935,66.61382,66.6211,65.82862
2011-08-23,66.68109,66.68293,66.58478,66.565094,66.59715,65.79387,65.41908
2011-08-24,66.62268,66.599754,66.61614,66.60235,65.855064,65.42876,64.97285
2011-08-25,66.59876,66.59801,66.62998,65.80887,65.431526,64.99291,65.000885
2011-08-26,66.59581,66.60191,65.80211,65.426155,65.001625,64.99102,64.96972
2011-08-28,66.59472,65.831314,65.37634,65.00782,64.99042,65.00717,65.0079
2011-08-29,65.86748,65.40777,64.9545,64.98934,65.00741,64.98996,65.00648
2011-08-30,65.429146,65.01844,64.98193,65.00588,64.989624,65.00615,64.77766
2011-08-31,65.02814,64.994225,65.0038,65.011856,65.00633,64.776955,64.5958
2011-09-01,65.00148,64.99859,65.02796,64.99093,64.82756,64.55371,64.24596
2011-09-02,65.00385,64.99692,64.94868,64.72427,64.52695,64.25102,64.19149
2011-09-04,65.02887,64.993546,64.8119,64.48574,64.287415,64.16678,64.18155
2011-09-05,65.03025,64.75294,64.52887,64.262314,64.21196,64.19695,64.14505
2011-09-06,64.76196,64.534485,64.22607,64.11442,64.15357,64.15004,64.16638
2011-09-07,64.47142,64.25641,64.12674,64.11834,64.17291,64.16845,64.09077
2011-09-08,64.25364,64.159355,64.20805,64.16889,64.17029,64.12034,64.06598
2011-09-09,64.20962,64.15582,64.15507,64.143845,64.095634,64.09141,64.03177
2011-09-11,64.20475,64.188515,64.170784,64.100204,64.07843,64.04171,64.00334
2011-09-12,64.17178,64.10401,64.08729,64.09808,64.03295,64.06451,63.96471
2011-09-13,64.12151,64.12929,64.04698,64.08742,63.983997,63.97007,63.95219
2011-09-14,64.11122,64.059975,64.06844,63.984276,63.922157,63.931118,63.894794
2011-09-15,64.07448,64.07321,64.01002,63.91604,63.95837,63.897907,63.802624
2011-09-16,64.04153,64.010735,63.953053,63.86964,63.767395,63.752296,63.709923
2011-09-18,64.01484,64.01232,63.88932,63.909653,63.762726,63.75373,63.783733
2011-09-19,63.937023,64.019264,63.943546,63.75966,63.75788,63.757484,63.768494
2011-09-20,63.905098,63.895412,63.757023,63.666756,63.762207,63.745094,63.718346
2011-09-21,63.901764,63.754623,63.748188,63.802845,63.76368,63.7494,63.634377
2011-09-22,63.759224,63.72298,63.728107,63.83165,63.757843,63.606014,63.59506
2011-09-23,63.742252,63.759357,63.765747,63.671715,63.598087,63.579376,63.40901
2011-09-25,63.75869,63.744217,63.748753,63.633583,63.5444,63.430813,63.423626
2011-09-26,63.741364,63.752434,63.582375,63.57196,63.433167,63.401123,63.421585
2011-09-27,63.75872,63.617012,63.57875,63.443565,63.390812,63.396248,63.422066
2011-09-28,63.61074,63.59186,63.420006,63.411217,63.396088,63.396225,63.422493
2011-09-29,63.621815,63.419567,63.374252,63.38476,63.378887,63.41129,63.364716
2011-09-30,63.42257,63.411324,63.412003,63.366623,63.41188,63.42403,63.315945
2011-10-02,63.39291,63.373238,63.364155,63.413692,63.406956,63.306923,63.21432
2011-10-03,63.3855,63.364777,63.382095,63.386852,63.355312,63.25164,62.939404
2011-10-04,63.40927,63.390766,63.355297,63.33073,63.220123,63.008938,62.95446
2011-10-05,63.36488,63.378883,63.287163,63.18722,62.980003,62.956482,62.973946
2011-10-06,63.35433,63.292015,63.150208,62.9871,62.926376,62.790234,62.905594
2011-10-07,63.281006,63.19265,62.95818,62.92714,62.87166,62.84956,62.025246
2011-10-09,63.12896,63.011745,62.958088,62.867165,62.818085,62.06646,61.041485
2011-10-10,62.992,62.96035,62.94264,62.91919,62.081387,61.038425,61.03548
2011-10-11,62.932217,62.916397,62.691765,62.083637,61.04841,61.040848,61.04648
2011-10-12,62.835876,62.87361,62.077354,61.047615,61.05841,61.061527,61.041275
2011-10-13,62.892612,62.08185,61.03372,61.068043,61.055817,61.072056,60.98636
2011-10-14,62.03257,61.022614,61.034878,61.015343,61.005196,60.964985,60.987083
2011-10-16,61.0368,61.06912,61.069458,61.05852,60.997776,60.95249,60.93737
2011-10-17,61.075924,61.05705,61.041973,60.949787,60.94267,60.948784,60.876266
2011-10-18,61.03812,61.032486,60.973495,60.981052,60.888527,60.86121,60.9001
2011-10-19,61.080452,60.957443,61.00719,60.93085,60.91,60.908573,60.820934
2011-10-20,60.97715,60.947598,60.93865,60.848732,60.906784,60.878998,60.80522
2011-10-21,60.963703,60.916553,60.898064,60.89729,60.86838,60.800106,60.794304
2011-10-23,60.92156,60.868122,60.885567,60.904305,60.806004,60.782772,60.75376
2011-10-24,60.874443,60.90338,60.91283,60.81059,60.685448,60.7244,60.744724
2011-10-25,60.883118,60.866383,60.78114,60.73129,60.719933,60.758522,60.75065
2011-10-26,60.877083,60.82269,60.724094,60.756252,60.76805,60.73748,60.751595
2011-10-27,60.763657,60.782192,60.71233,60.761303,60.744076,60.785576,60.770664
2011-10-28,60.75495,60.760498,60.77596,60.732822,60.72966,60.761936,60.799984
2011-10-30,60.794334,60.77548,60.7912,60.784805,60.75652,60.755127,60.797585
2011-10-31,60.753143,60.756714,60.727818,60.749313,60.727295,60.748455,60.834843
2011-11-01,60.74172,60.728115,60.717392,60.785706,60.782764,60.828987,60.917686
2011-11-02,60.75164,60.754826,60.749123,60.761642,60.79924,60.82962,60.93006
2011-11-03,60.742188,60.773228,60.77233,60.82552,60.933414,60.91829,60.954983
2011-11-04,60.760593,60.72874,60.876305,60.88185,60.93251,60.97728,60.991142
2011-11-06,60.75578,60.87414,60.889095,60.931602,60.97529,61.010227,60.995335
2011-11-07,60.817783,60.8828,60.944576,60.96437,60.98,61.03147,60.99781
2011-11-08,60.868046,60.95946,60.954502,61.05649,61.031002,60.980118,60.996433
2011-11-09,60.881283,60.98192,60.963627,61.019325,60.9664,61.011055,60.999035
2011-11-10,61.000042,60.960213,61.07939,61.002342,61.023293,61.032463,60.99805
2011-11-11,60.99236,61.069572,60.975468,60.994984,60.97085,60.980915,60.99923
2011-11-13,60.993706,60.959,60.99344,61.065105,60.98374,61.010147,60.99702
2011-11-14,60.99134,61.0013,60.99341,60.97471,60.99709,61.029972,60.99836
2011-11-15,60.99266,61.029816,60.99672,60.982853,60.972084,60.979362,60.99616
2011-11-16,60.99045,60.995728,60.983845,60.983437,61.008766,61.00825,60.997574
2011-11-17,60.991882,60.97279,60.994205,60.977535,60.982586,61.02794,60.995533
2011-11-18,60.990086,61.05801,60.986687,61.037025,61.027546,60.97828,60.997272
2011-11-20,60.991165,60.9694,60.98336,60.99057,60.99531,61.0066,60.901974
2011-11-21,60.989483,61.004787,60.978443,60.98725,60.971558,60.92809,60.908062
2011-11-22,60.99085,60.9994,60.968765,60.984497,60.94615,60.927307,60.92095
2011-11-23,60.988888,60.990997,61.026443,60.937347,60.942947,60.869286,60.86009
2011-11-24,60.990498,60.981762,60.9443,60.95065,60.924843,60.898903,60.752502
2011-11-25,60.98849,60.98765,60.99289,60.91628,60.81768,60.800514,60.772568
2011-11-27,60.900467,60.923935,60.88701,60.859844,60.829693,60.759415,60.658585
2011-11-28,60.9453,60.942684,60.835125,60.841473,60.712475,60.63739,60.63156
2011-11-29,60.95144,60.848564,60.798954,60.74244,60.645813,60.59785,60.62205
2011-11-30,60.857933,60.806313,60.746902,60.658226,60.635292,60.601147,60.612637
2011-12-01,60.796528,60.745495,60.62815,60.634583,60.59362,60.636803,60.53142
2011-12-02,60.77357,60.652313,60.643414,60.583633,60.628727,60.53004,60.464603
2011-12-04,60.582203,60.639454,60.62175,60.607883,60.509094,60.547077,60.44351
2011-12-05,60.64225,60.646507,60.62409,60.508263,60.49055,60.439663,60.305603
2011-12-06,60.590057,60.672245,60.50114,60.491814,60.458015,60.362694,60.285355
2011-12-07,60.633503,60.514587,60.52072,60.456055,60.40359,60.252537,60.23526
2011-12-08,60.538315,60.51525,60.441444,60.433258,60.308353,60.164387,60.10627
2011-12-09,60.480427,60.410027,60.342636,60.312466,60.213078,60.093143,60.061874
2011-12-11,60.414352,60.363487,60.301414,60.192482,60.122463,59.97855,59.899834
2011-12-12,60.371353,60.273174,60.198284,60.083813,60.011913,60.05353,59.794647
2011-12-13,60.26268,60.192356,60.04824,59.992336,60.03103,59.79447,59.4568
2011-12-14,60.140743,60.05753,60.082928,59.99466,59.81163,59.529892,59.32129
2011-12-15,60.14449,60.015133,59.952976,59.822536,59.490696,59.292343,59.296913
2011-12-16,60.06579,60.02397,59.840885,59.52802,59.31884,59.30625,59.323704
2011-12-18,60.051685,59.787693,59.516262,59.319332,59.31553,59.32305,59.333218
2011-12-19,59.790733,59.504974,59.32431,59.298885,59.346542,59.304386,59.294823
2011-12-20,59.521957,59.33304,59.291756,59.300785,59.316658,59.322002,59.32835
2011-12-21,59.377815,59.293224,59.285072,59.335884,59.297714,59.30349,59.32134
2011-12-22,59.314747,59.32488,59.343292,59.29664,59.301266,59.322502,59.266308
2011-12-23,59.299877,59.317852,59.328148,59.301838,59.33776,59.30489,59.519634
2011-12-27,59.369934,59.281322,59.34344,59.34042,59.29959,59.55594,59.630188
2011-12-28,59.36828,59.34862,59.28589,59.300232,59.535473,59.687885,59.800915
2011-12-29,59.310467,59.33741,59.3279,59.535587,59.63141,59.796467,59.799313
2011-12-30,59.296677,59.2968,59.52083,59.699986,59.738895,59.813206,59.894287
2012-01-02,59.363853,59.57519,59.645763,59.82877,59.82323,59.90041,59.911682
2012-01-03,59.52864,59.70606,59.695805,59.874577,59.915318,59.905186,59.93306
2012-01-04,59.672935,59.77363,59.858116,59.892384,59.901936,59.992188,59.977837
2012-01-05,59.81137,59.802834,59.86317,59.905273,59.941956,59.98703,60.03887
2012-01-06,59.792423,59.913067,59.970634,59.986027,59.92653,60.04289,60.060802
2012-01-08,59.880226,59.92775,59.964912,59.95532,60.054604,60.068336,60.025414
2012-01-09,59.92168,59.96538,59.94065,60.006916,60.03726,60.02598,60.130924
2012-01-10,59.978935,60.065956,59.995953,60.091606,60.026196,60.167824,60.19125
2012-01-11,60.005608,59.980694,60.037945,60.044537,60.17775,60.197014,60.219772
2012-01-12,60.067303,59.9876,60.03471,60.191174,60.21184,60.211082,60.21426
2012-01-13,59.99334,60.07636,60.171185,60.17246,60.198174,60.20985,60.19255
2012-01-15,60.03366,60.1667,60.22748,60.21042,60.206833,60.193455,60.22264
2012-01-16,60.20081,60.19559,60.219772,60.213215,60.19797,60.201996,60.202896
2012-01-17,60.164783,60.215397,60.23376,60.16374,60.19545,60.20771,60.209568
2012-01-18,60.22058,60.156467,60.16703,60.221527,60.214115,60.213547,60.191223
2012-01-19,60.196224,60.195316,60.176632,60.193504,60.20973,60.197346,60.284073
2012-01-20,60.22192,60.21679,60.22291,60.210396,60.20702,60.231216,60.389503
2012-01-22,60.19699,60.195354,60.221233,60.208134,60.291813,60.38527,60.38294
2012-01-23,60.223236,60.218037,60.190742,60.23358,60.36933,60.411545,60.404736
2012-01-24,60.19774,60.195797,60.241524,60.376404,60.390457,60.39457,60.414017
2012-01-25,60.224613,60.247406,60.402416,60.390278,60.4263,60.412506,60.44184
2012-01-26,60.24791,60.357594,60.428295,60.39299,60.40841,60.4672,60.823948
2012-01-27,60.310757,60.376957,60.434288,60.459175,60.44268,60.87289,60.9554
2012-01-29,60.344387,60.409363,60.42742,60.415268,60.87387,60.942257,60.976635
2012-01-30,60.38531,60.40456,60.45132,60.861893,60.91543,60.98931,60.988728
2012-01-31,60.42248,60.464222,60.84932,60.914383,60.957047,60.979877,61.020702
2012-02-01,60.45762,60.88548,60.944393,60.980545,60.94137,61.008614,61.127094
2012-02-02,60.85547,60.94347,60.9738,60.961655,61.075363,61.14999,61.460278
2012-02-03,60.927612,60.971973,60.98788,61.087543,61.121193,61.39308,61.65198
2012-02-05,60.953495,60.971138,61.11813,61.122086,61.427795,61.68486,61.788445
2012-02-06,60.92418,61.06533,61.191883,61.40564,61.702557,61.733154,61.965714
