,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF
2011-06-07,265.96274,266.01828,265.98615,266.0791,265.93927,266.03113,265.9575
2011-06-08,266.02744,266.02338,266.0141,265.93988,266.0467,266.02658,266.05347
2011-06-09,266.03778,265.9687,266.01447,266.04773,266.02335,265.9834,266.01437
2011-06-10,266.0072,266.0231,266.05078,266.02426,265.9517,266.0317,266.0224
2011-06-12,266.0215,266.02737,266.03217,265.95233,266.08136,266.0269,266.20642
2011-06-13,265.9934,265.9421,265.99512,266.08246,265.93616,266.15808,266.33112
2011-06-14,266.05527,265.9871,265.99207,265.93674,266.1519,266.3914,266.77548
2011-06-15,266.0611,265.9903,265.9949,266.16788,266.2779,266.84366,267.3229
2011-06-16,265.97955,266.00525,266.25885,266.29553,266.8556,267.32834,267.32422
2011-06-17,265.9583,266.1143,266.36603,266.83368,267.35016,267.32123,267.37857
2011-06-19,266.13892,266.38718,266.83096,267.3731,267.33838,267.30624,267.67166
2011-06-20,266.314,266.7655,267.42938,267.30914,267.37112,267.63226,267.8186
2011-06-21,266.83087,267.34357,267.28436,267.34808,267.66867,267.78882,267.8767
2011-06-22,267.37967,267.31418,267.40015,267.68777,267.79,267.86435,267.88705
2011-06-23,267.40356,267.37845,267.6402,267.79395,267.86716,267.82465,267.81433
2011-06-24,267.32675,267.64023,267.83917,267.78378,267.76166,267.86304,267.7798
2011-06-26,267.67493,267.802,267.86575,267.82242,267.82672,267.8309,267.6561
2011-06-27,267.7736,267.85355,267.76553,267.86105,267.80664,267.7213,267.30737
2011-06-28,267.84177,267.8681,267.84647,267.80164,267.6429,267.27255,267.15497
2011-06-29,267.80865,267.87875,267.80804,267.6648,267.25876,267.1863,266.8677
2011-06-30,267.88614,267.80847,267.63895,267.28085,267.10587,266.83838,266.69473
2011-07-01,267.77103,267.6623,267.2266,267.18576,266.7975,266.71524,266.35907
2011-07-03,267.7044,267.2512,267.12137,266.84634,266.6321,266.36002,265.9708
2011-07-04,267.28494,267.13803,266.84714,266.73346,266.3483,266.0275,265.72073
2011-07-05,267.193,266.82452,266.6708,266.34787,266.02423,265.7264,265.5908
2011-07-06,266.84018,266.71484,266.40833,266.04678,265.67395,265.65912,265.63156
2011-07-07,266.6679,266.3207,266.0068,265.63672,265.64456,265.61154,265.65115
2011-07-08,266.38376,266.01352,265.69672,265.66858,265.6019,265.6652,265.631
2011-07-10,266.05283,265.68954,265.60098,265.6643,265.70053,265.62457,265.65152
2011-07-11,265.69122,265.64496,265.6311,265.6235,265.64203,265.63092,265.63068
2011-07-12,265.63385,265.6618,265.68317,265.66928,265.60425,265.63528,265.69193
2011-07-13,265.6319,265.63235,265.60373,265.6648,265.63608,265.67407,266.10114
2011-07-14,265.63098,265.6395,265.63184,265.62262,265.72586,266.09244,266.70044
2011-07-15,265.66522,265.64548,265.68176,265.6789,266.10223,266.69482,267.1692
2011-07-17,265.66357,265.61517,265.69928,266.1316,266.69937,267.1829,267.27853
2011-07-18,265.61133,265.65033,266.12473,266.6858,267.18176,267.3117,267.31015
2011-07-19,265.69727,266.11118,266.6775,267.15005,267.2577,267.28033,267.45856
2011-07-20,266.11108,266.65442,267.16742,267.30112,267.3044,267.5244,267.80066
2011-07-21,266.7212,267.2198,267.2806,267.2552,267.54984,268.02863,267.9532
2011-07-22,267.0845,267.34732,267.23013,267.56165,268.00165,267.97034,268.02747
2011-07-24,267.3593,267.24426,267.48315,268.03983,268.01877,268.00702,268.2085
2011-07-25,267.30212,267.5441,267.9697,268.00888,268.0049,268.0729,268.1439
2011-07-26,267.55655,267.96582,268.01932,268.11487,268.11685,268.10718,268.22617
2011-07-27,267.8942,267.9585,268.12817,268.18344,268.18375,268.1618,268.26797
2011-07-28,268.04694,268.02618,268.17426,268.08292,268.18753,268.27603,268.32394
2011-07-29,268.0648,268.1129,268.13696,268.1706,268.2724,268.27945,268.3565
2011-07-31,268.16284,268.17136,268.14957,268.28552,268.30405,268.31497,268.45718
2011-08-01,268.1628,268.08398,268.27386,268.34473,268.35037,268.4624,268.48486
2011-08-02,268.16278,268.25772,268.34558,268.29443,268.45755,268.5243,268.4785
2011-08-03,268.34247,268.32907,268.385,268.47055,268.51926,268.41168,268.46652
2011-08-04,268.26962,268.3538,268.48093,268.47772,268.5364,268.53867,268.48987
2011-08-05,268.34857,268.4851,268.56876,268.48322,268.4833,268.4399,268.5226
2011-08-07,268.4403,268.4538,268.57175,268.49377,268.4061,268.4614,268.7309
2011-08-08,268.48837,268.5057,268.50275,268.50107,268.41125,268.68198,269.22604
2011-08-09,268.4952,268.5074,268.4104,268.46884,268.66312,269.18408,269.2741
2011-08-10,268.50284,268.47095,268.40717,268.6934,269.19778,269.19568,269.32547
2011-08-11,268.4557,268.479,268.64252,269.2052,269.30225,269.2945,269.51315
2011-08-12,268.52106,268.69052,269.21625,269.26028,269.306,269.47723,269.63202
2011-08-14,268.71677,269.20404,269.2556,269.31747,269.4949,269.6378,269.74625
2011-08-15,269.07858,269.3024,269.3316,269.48712,269.60983,269.7911,269.898
2011-08-16,269.19946,269.30228,269.50262,269.6602,269.74472,269.96008,270.06943
2011-08-17,269.2861,269.44727,269.63367,269.73535,269.81653,269.92444,270.12643
2011-08-18,269.44785,269.619,269.76215,269.91714,269.9394,270.08453,270.4322
2011-08-19,269.63593,269.70715,269.90057,269.9704,270.1264,270.47684,270.7054
2011-08-21,269.7059,269.9378,270.00772,270.1633,270.5173,270.71066,271.3275
2011-08-22,269.8902,269.9091,270.12976,270.46677,270.77686,271.31168,271.58182
