,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY
2011-06-17,2.2715073,2.2616348,2.2697678,2.273407,2.269226,2.279808,2.2781372
2011-06-19,2.2646637,2.260727,2.2699738,2.277092,2.2864914,2.279808,2.2830582
2011-06-20,2.2624512,2.2669144,2.267044,2.2792282,2.2850113,2.288971,2.286621
2011-06-21,2.264122,2.27417,2.2814178,2.2771683,2.2799683,2.2901154,2.2873154
2011-06-22,2.2732697,2.2868118,2.2788467,2.283348,2.2820816,2.3015137,2.2918167
2011-06-23,2.2661667,2.2767563,2.2790527,2.2883835,2.2820969,2.2852478,2.2734528
2011-06-24,2.281746,2.2779617,2.2873688,2.2904282,2.2760391,2.2855072,2.2936707
2011-06-26,2.2841187,2.2899399,2.2869797,2.2787476,2.2700348,2.2628937,2.2928696
2011-06-27,2.2799454,2.2814255,2.2911072,2.2881851,2.2958221,2.2992172,2.2994308
2011-06-28,2.2968903,2.2757263,2.3025742,2.2849503,2.284172,2.2817764,2.3066483
2011-06-29,2.283989,2.2912827,2.291954,2.290062,2.287857,2.286621,2.2911606
2011-06-30,2.2906036,2.294281,2.2928314,2.2888794,2.305191,2.2909088,2.3061676
2011-07-01,2.2859497,2.2811432,2.3049698,2.2940903,2.2915802,2.3087082,2.2910385
2011-07-03,2.2881546,2.3074646,2.3035736,2.2890396,2.2999954,2.302658,2.3094254
2011-07-04,2.2816162,2.2954865,2.298851,2.303009,2.2918777,2.2989044,2.312584
2011-07-05,2.2945023,2.3089752,2.2998505,2.3220596,2.3097382,2.3010254,2.3146286
2011-07-06,2.3027725,2.3004913,2.3018417,2.3080978,2.2970428,2.3085556,2.3086853
2011-07-07,2.2948914,2.2919388,2.3128052,2.302971,2.3063965,2.3134842,2.3160477
2011-07-08,2.3040771,2.30365,2.3126144,2.3191757,2.3316803,2.2865906,2.315071
2011-07-10,2.3050232,2.2969818,2.3135529,2.3167572,2.307434,2.3034744,2.291542
2011-07-11,2.3002853,2.3199844,2.3070374,2.297081,2.3133774,2.3182602,2.332634
2011-07-12,2.315361,2.3059082,2.3007355,2.3096771,2.3248596,2.3195648,2.323021
2011-07-13,2.310707,2.3061218,2.3136978,2.3047714,2.3115234,2.2988815,2.3068314
2011-07-14,2.3064575,2.3214264,2.3235855,2.326065,2.3089752,2.341339,2.3254166
2011-07-15,2.3086243,2.3081818,2.304123,2.3289337,2.3266754,2.3238678,2.3218307
2011-07-17,2.3154602,2.322113,2.3291779,2.320961,2.3253098,2.3274307,2.3296814
2011-07-18,2.304718,2.3155975,2.3186264,2.322258,2.3207932,2.322441,2.3238983
2011-07-19,2.326645,2.319458,2.3117752,2.323372,2.3405075,2.3295975,2.3337784
2011-07-20,2.32061,2.3280487,2.3258286,2.3323364,2.3376846,2.328186,2.3415222
2011-07-21,2.3104095,2.3224258,2.314949,2.3222275,2.3288803,2.3400116,2.33609
2011-07-22,2.3163376,2.3185349,2.3328857,2.3184738,2.335846,2.3272705,2.3389435
2011-07-24,2.336441,2.3332748,2.3394318,2.3316956,2.3330994,2.3287811,2.3283615
2011-07-25,2.327896,2.333664,2.315567,2.3323898,2.3339005,2.3347473,2.3363419
2011-07-26,2.3298645,2.3214417,2.3268356,2.3429108,2.337059,2.3429031,2.3468094
2011-07-27,2.3303223,2.3181076,2.3266602,2.329605,2.341385,2.3417282,2.3347626
2011-07-28,2.3390808,2.3338013,2.3359299,2.3387833,2.337288,2.3390503,2.3448563
2011-07-29,2.3331375,2.328476,2.3459473,2.347313,2.3339157,2.3457184,2.3487778
2011-07-31,2.3355942,2.327942,2.3476486,2.3462982,2.349701,2.3475342,2.3491135
2011-08-01,2.3363724,2.3437195,2.3396301,2.3442535,2.3454285,2.3431473,2.3326187
2011-08-02,2.3369904,2.3461838,2.344452,2.3476791,2.3452988,2.346115,2.3516235
2011-08-03,2.3483505,2.3445435,2.3441849,2.341217,2.3482437,2.351036,2.3520737
2011-08-04,2.3399734,2.342392,2.3458328,2.3410416,2.3579407,2.3481064,2.3452835
2011-08-05,2.3453445,2.3360977,2.3548355,2.3488007,2.3760376,2.3478088,2.367447
2011-08-07,2.3451385,2.3544006,2.3515778,2.3584213,2.3582764,2.361496,2.3911667
2011-08-08,2.348854,2.3496552,2.357895,2.3552933,2.3574066,2.3892593,2.4029465
