,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN
2012-01-02,13.807401,13.795832,13.830168,13.821776,13.790219,13.810177,13.786373
2012-01-03,13.822177,13.8126335,13.820351,13.8236265,13.828585,13.82879,13.771157
2012-01-04,13.818978,13.809398,13.821958,13.818998,13.818378,13.840031,13.82322
2012-01-05,13.817945,13.834555,13.840824,13.865006,13.789735,13.831091,13.7924185
2012-01-06,13.812948,13.818041,13.837668,13.786524,13.824365,13.800494,13.772641
2012-01-08,13.810581,13.781333,13.820615,13.803496,13.775116,13.776016,13.727422
2012-01-09,13.829157,13.815149,13.7957,13.788467,13.783831,13.737687,13.72867
2012-01-10,13.796705,13.800602,13.803988,13.768715,13.743896,13.737757,13.719208
2012-01-11,13.809493,13.847313,13.776408,13.749769,13.732607,13.712628,13.728395
2012-01-12,13.796437,13.781579,13.748545,13.749673,13.749356,13.7155695,13.738509
2012-01-13,13.789903,13.752085,13.75476,13.715262,13.756793,13.715357,13.717611
2012-01-15,13.726488,13.7130375,13.714188,13.738255,13.721501,13.743203,13.728432
2012-01-16,13.734026,13.717193,13.705805,13.718447,13.732133,13.726605,13.739148
2012-01-17,13.72188,13.7409315,13.727522,13.727191,13.714208,13.718774,13.717032
2012-01-18,13.716598,13.7354,13.746581,13.736628,13.748862,13.719926,13.728481
2012-01-19,13.760928,13.741857,13.738084,13.745576,13.703873,13.740177,13.734499
2012-01-20,13.742756,13.752396,13.726705,13.752308,13.741617,13.718656,13.718975
2012-01-22,13.708906,13.72616,13.71969,13.727518,13.733231,13.731276,13.71529
2012-01-23,13.722587,13.703037,13.7235985,13.718926,13.693887,13.737029,13.699238
2012-01-24,13.766735,13.740912,13.746913,13.718495,13.768366,13.678431,13.700798
2012-01-25,13.693148,13.748799,13.750569,13.737462,13.689648,13.707183,13.688304
2012-01-26,13.721589,13.707969,13.725448,13.7153635,13.698299,13.698076,13.618266
2012-01-27,13.786161,13.7529335,13.727743,13.704433,13.688495,13.631863,13.620374
2012-01-29,13.700721,13.738979,13.70026,13.700216,13.623129,13.5857315,13.605279
2012-01-30,13.710778,13.66308,13.667998,13.617777,13.610883,13.624074,13.592946
2012-01-31,13.718247,13.688417,13.616515,13.618059,13.593505,13.551076,13.577748
2012-02-01,13.690146,13.688639,13.596058,13.630987,13.571301,13.567389,13.55154
2012-02-02,13.623625,13.620045,13.590383,13.56308,13.581413,13.52653,13.47109
2012-02-03,13.640264,13.629461,13.576904,13.532,13.536254,13.47071,13.35394
