,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK
2011-11-02,5.6635027,5.662898,5.666076,5.6457853,5.6575265,5.6199374,5.6354313
2011-11-03,5.6765523,5.6867895,5.6456475,5.636603,5.64291,5.647081,5.6233993
2011-11-04,5.6078057,5.658249,5.622137,5.639563,5.7288313,5.604044,5.6401677
2011-11-06,5.657882,5.65398,5.62919,5.644562,5.612029,5.6240683,5.605462
2011-11-07,5.6177707,5.629364,5.602028,5.642451,5.6118183,5.61436,5.633285
2011-11-08,5.627567,5.651723,5.637089,5.628987,5.631554,5.6202416,5.6273756
2011-11-09,5.6382065,5.630336,5.637062,5.62409,5.622418,5.635443,5.6157155
2011-11-10,5.6163898,5.62112,5.6223106,5.60474,5.59684,5.604813,5.6263356
2011-11-11,5.627057,5.6395206,5.622723,5.6253605,5.641904,5.624175,5.639029
2011-11-13,5.62013,5.609133,5.6219335,5.617838,5.609222,5.608545,5.637488
2011-11-14,5.653888,5.624457,5.6190495,5.6241,5.629412,5.6289005,5.625862
2011-11-15,5.6393633,5.632613,5.619345,5.609482,5.6382484,5.6223226,5.602566
2011-11-16,5.6105103,5.607283,5.6300945,5.604663,5.6362143,5.607087,5.623978
2011-11-17,5.5935974,5.631308,5.619916,5.6094866,5.631733,5.643657,5.6246853
2011-11-18,5.6179476,5.6265597,5.619546,5.616732,5.6287174,5.6065106,5.6172466
2011-11-20,5.613416,5.6117587,5.6308684,5.604902,5.606223,5.6201587,5.6104016
2011-11-21,5.609303,5.6255336,5.644442,5.611257,5.6205955,5.6234736,5.6180115
2011-11-22,5.641314,5.636603,5.624652,5.609247,5.625237,5.6274853,5.6217356
2011-11-23,5.6434336,5.619127,5.635616,5.5949507,5.6097317,5.618295,5.6289396
2011-11-24,5.612257,5.6038537,5.631932,5.62416,5.6187167,5.635093,5.6549845
2011-11-25,5.6175375,5.6196795,5.6485844,5.625396,5.624688,5.6407733,5.654778
2011-11-27,5.619837,5.6103826,5.6180778,5.6321282,5.6510134,5.654015,5.654173
2011-11-28,5.640297,5.6374717,5.6242046,5.646924,5.660933,5.6483645,5.6722007
2011-11-29,5.6162744,5.6435723,5.644584,5.6474643,5.662262,5.6837053,5.697632
2011-11-30,5.6331553,5.65185,5.6606894,5.6713095,5.688088,5.686637,5.693605
2011-12-01,5.65108,5.654643,5.666711,5.6932187,5.6936812,5.6940036,5.7541246
2011-12-02,5.653512,5.668973,5.6849556,5.7014656,5.71216,5.7638426,5.754278
2011-12-04,5.6556597,5.6960206,5.6963987,5.7083797,5.75144,5.7502866,5.761738
2011-12-05,5.6826396,5.698869,5.6898785,5.7631016,5.7458463,5.7584357,5.7639995
2011-12-06,5.6936784,5.7021356,5.749743,5.74234,5.724122,5.749927,5.761097
2011-12-07,5.710885,5.7598944,5.7691813,5.768552,5.777873,5.742347,5.765131
2011-12-08,5.7538724,5.755715,5.764669,5.759571,5.777404,5.7263846,5.7698574
2011-12-09,5.7516747,5.751273,5.7043104,5.777763,5.7748327,5.7706046,5.7647276
2011-12-11,5.7654953,5.7690697,5.7616863,5.77183,5.7534785,5.78766,5.782303
2011-12-12,5.7588,5.727978,5.696902,5.7737236,5.784917,5.8017735,5.7781677
2011-12-13,5.6989727,5.7945733,5.783802,5.7672677,5.7882094,5.7752395,5.748163
2011-12-14,5.8108726,5.758678,5.772146,5.7719827,5.791585,5.778682,5.789522
2011-12-15,5.7695646,5.757488,5.7710285,5.790788,5.7914166,5.8144064,5.801244
2011-12-16,5.7816725,5.7607565,5.787708,5.787879,5.775137,5.7727823,5.7967753
2011-12-18,5.7769732,5.784698,5.758237,5.7922506,5.7656536,5.7989507,5.7879157
2011-12-19,5.773673,5.791193,5.7727027,5.7985945,5.7905827,5.790191,5.8102994
2011-12-20,5.797806,5.774076,5.7995143,5.7945986,5.81755,5.7914743,5.805145
2011-12-21,5.7925005,5.788312,5.8067684,5.7876377,5.804584,5.817161,5.8284035
2011-12-22,5.783441,5.7889185,5.7868915,5.8027153,5.7976627,5.8228106,5.8402944
2011-12-23,5.802128,5.7927423,5.7961097,5.7883635,5.8121004,5.832068,5.8606954
2011-12-27,5.7837605,5.813381,5.80687,5.8092113,5.835366,5.859217,5.863682
2011-12-28,5.7898912,5.80973,5.8233585,5.842353,5.863853,5.8693857,5.8937063
2011-12-29,5.812162,5.822535,5.840162,5.8533516,5.8739896,5.8936167,5.874621
2011-12-30,5.8220696,5.847555,5.8597426,5.881716,5.871935,5.9019904,5.8915806
2012-01-02,5.846349,5.8576803,5.86634,5.881784,5.8840528,5.882848,5.9056644
2012-01-03,5.8548884,5.87277,5.8923025,5.8762116,5.8928614,5.8932147,5.9097247
2012-01-04,5.8791656,5.889481,5.8845835,5.9124446,5.9034986,5.9211326,5.928691
2012-01-05,5.8812094,5.902625,5.9035034,5.906256,5.9120207,5.8940434,5.9204383
2012-01-06,5.8679194,5.9083467,5.893851,5.92232,5.9137797,5.942959,5.9404855
