,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD
2011-08-30,1.5498931,1.5479474,1.550665,1.5520295,1.5521234,1.5530558,1.5510159
2011-08-31,1.5541595,1.5549917,1.5529186,1.5518527,1.5501318,1.5494072,1.5505708
2011-09-01,1.5506307,1.5467374,1.5511591,1.5489595,1.5499883,1.5530031,1.5543826
2011-09-02,1.5499061,1.5530081,1.5481011,1.5519782,1.5503389,1.5531368,1.5523036
2011-09-04,1.5525624,1.5513766,1.5462899,1.5515277,1.5532374,1.5478117,1.5474042
2011-09-05,1.5539811,1.54681,1.5523708,1.5485117,1.5505663,1.548719,1.5494556
2011-09-06,1.5494348,1.5550753,1.547684,1.551874,1.5483549,1.5515262,1.5542716
2011-09-07,1.5479429,1.546248,1.5528233,1.5512387,1.5512211,1.5483805,1.551382
2011-09-08,1.5524052,1.5516093,1.5506091,1.5477352,1.5498966,1.5497975,1.5457739
2011-09-09,1.5533191,1.5511825,1.5499208,1.5513805,1.5496004,1.5495687,1.5480229
2011-09-11,1.5482006,1.5503905,1.5528188,1.551153,1.5632002,1.5533522,1.5471578
2011-09-12,1.5464098,1.5517871,1.5528173,1.5512565,1.5527431,1.5537066,1.5498583
2011-09-13,1.5509913,1.5568774,1.5507863,1.5476471,1.5498967,1.5543895,1.5456301
2011-09-14,1.5506952,1.5525736,1.5530956,1.550436,1.5561949,1.5449543,1.550625
2011-09-15,1.5516559,1.5501109,1.5532017,1.5533075,1.5483679,1.5380663,1.5377073
2011-09-16,1.557854,1.5496054,1.5496453,1.545467,1.5395036,1.5260375,1.5363009
2011-09-18,1.5484282,1.5508806,1.5425014,1.5392845,1.5351417,1.5449712,1.5372771
2011-09-19,1.5529404,1.5438042,1.5474802,1.549138,1.5511693,1.5402491,1.543786
2011-09-20,1.5548596,1.5424155,1.5450157,1.5491625,1.5373971,1.537506,1.5354137
