,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP
2011-10-16,1125.9705,1110.4403,1081.8965,1068.2362,1067.5798,1067.4536,1065.7585
2011-10-17,1109.4423,1082.1254,1068.4541,1067.6364,1067.3906,1065.7906,1063.803
2011-10-18,1081.4254,1068.3307,1067.6201,1067.372,1065.7568,1063.7118,1063.4526
2011-10-19,1068.3972,1067.6046,1067.4324,1065.708,1063.7999,1063.4427,1063.0609
2011-10-20,1067.5939,1067.3749,1065.7278,1063.8083,1063.4503,1063.0549,1062.7705
2011-10-21,1067.371,1065.7328,1063.7856,1063.4923,1062.9928,1062.7675,1062.751
2011-10-23,1065.7332,1063.7358,1063.4875,1062.9872,1062.801,1062.7806,1062.722
2011-10-24,1063.7504,1063.491,1063.0084,1062.8395,1062.744,1062.7397,1062.7711
2011-10-25,1063.475,1063.0217,1062.7719,1062.723,1062.7635,1062.7654,1062.7072
2011-10-26,1062.9895,1062.7661,1062.7775,1062.6709,1062.7443,1062.7374,1062.7224
2011-10-27,1062.7435,1062.763,1062.796,1062.7126,1062.7212,1062.791,1062.7996
2011-10-28,1062.7421,1062.7946,1062.762,1062.8319,1062.803,1062.768,1062.7205
2011-10-30,1062.7806,1062.7625,1062.7266,1062.8851,1062.8103,1062.7332,1062.7052
2011-10-31,1062.7723,1062.7572,1062.7819,1062.8425,1062.7544,1062.7499,1062.7806
2011-11-01,1062.7651,1062.8119,1062.7537,1062.7206,1062.7043,1062.7715,1062.7958
2011-11-02,1062.8003,1062.7561,1062.7698,1062.6664,1062.7255,1062.7849,1062.7194
2011-11-03,1062.7421,1062.7783,1062.7821,1062.7098,1062.8204,1062.7483,1063.436
2011-11-04,1062.7406,1062.8109,1062.762,1062.8344,1062.774,1063.5201,1063.7458
2011-11-06,1062.7809,1062.7362,1062.7784,1062.8895,1063.4044,1063.7966,1065.7241
2011-11-07,1062.7723,1062.762,1062.7599,1063.4078,1063.7498,1065.7426,1067.3705
2011-11-08,1062.7649,1062.8127,1063.414,1063.7485,1065.7406,1067.3867,1067.6077
2011-11-09,1062.8011,1063.455,1063.7545,1065.7686,1067.4681,1067.6025,1068.2745
2011-11-10,1063.44,1063.7538,1065.7761,1067.4265,1067.6237,1068.4026,1069.2632
2011-11-11,1063.7097,1065.7015,1067.4039,1067.6449,1068.3301,1069.2383,1070.164
2011-11-13,1065.6628,1067.3334,1067.6027,1068.2805,1069.284,1070.1395,1071.9949
2011-11-14,1067.3701,1067.5836,1068.313,1069.3191,1070.1808,1072.0568,1074.9454
2011-11-15,1067.5565,1068.3323,1069.2147,1070.0723,1072.0677,1074.9464,1076.9307
2011-11-16,1068.3251,1069.335,1070.1063,1072.0461,1074.8966,1077.042,1078.8519
2011-11-17,1069.2534,1070.263,1072.0995,1074.9181,1077.0046,1078.9037,1080.5269
2011-11-18,1070.2616,1072.0974,1074.9089,1077.0562,1078.9487,1080.5953,1081.8998
2011-11-20,1072.0985,1074.9677,1077.037,1078.8566,1080.5443,1081.8293,1084.7649
2011-11-21,1074.9293,1077.004,1078.898,1080.566,1081.8595,1084.73,1084.919
2011-11-22,1077.1189,1078.8738,1080.4595,1081.8214,1084.6667,1084.9369,1088.0135
2011-11-23,1078.9114,1080.565,1081.8749,1084.765,1084.8668,1087.9983,1088.4445
2011-11-24,1080.495,1081.8499,1084.7136,1084.9224,1088.0068,1088.4819,1091.3108
2011-11-25,1081.8201,1084.7123,1084.8531,1087.9489,1088.5099,1091.3425,1091.4172
2011-11-27,1084.687,1084.9385,1088.0149,1088.4501,1091.2853,1091.4286,1093.1157
2011-11-28,1084.8411,1087.9338,1088.4806,1091.2537,1091.4075,1093.0952,1094.8542
2011-11-29,1088.0846,1088.5103,1091.2615,1091.5017,1093.0813,1094.8916,1096.89
2011-11-30,1088.4111,1091.2405,1091.4575,1093.1222,1094.8737,1096.8893,1097.7354
2011-12-01,1091.272,1091.4666,1093.1448,1094.8617,1096.879,1097.7676,1099.9106
2011-12-02,1091.4653,1093.0471,1094.893,1096.8198,1097.8157,1099.9252,1100.8014
2011-12-04,1093.093,1094.8296,1096.9196,1097.7924,1099.8463,1100.7997,1100.8107
2011-12-05,1094.8269,1096.8623,1097.9054,1099.9285,1100.8485,1100.8809,1100.8584
2011-12-06,1096.9155,1097.7999,1099.9254,1100.893,1100.8643,1100.8994,1100.8475
2011-12-07,1097.7571,1099.8757,1100.8298,1100.9496,1100.8116,1100.8224,1100.7812
2011-12-08,1099.8745,1100.8137,1100.9462,1100.9038,1100.8147,1100.8081,1100.8328
2011-12-09,1100.8607,1100.7812,1100.9487,1100.7742,1100.8157,1100.8401,1100.8773
2011-12-11,1100.8903,1100.804,1100.8588,1100.7175,1100.8259,1100.8226,1100.8186
2011-12-12,1100.7927,1100.7936,1100.7413,1100.7635,1100.768,1100.8523,1100.8112
2011-12-13,1100.8286,1100.7542,1100.7388,1100.8942,1100.8264,1100.8325,1100.8066
2011-12-14,1100.7601,1100.8416,1100.8298,1100.9513,1100.832,1100.8163,1099.8276
2011-12-15,1100.8053,1100.8829,1100.948,1100.9047,1100.8346,1099.9257,1098.9922
2011-12-16,1100.8337,1100.8341,1100.9508,1100.773,1099.8751,1098.9927,1097.7788
2011-12-18,1100.8356,1100.8287,1100.8593,1099.8767,1098.9662,1097.7676,1094.4059
2011-12-19,1100.8708,1100.9401,1099.7534,1098.971,1097.7996,1094.4572,1093.1013
2011-12-20,1100.8129,1099.8643,1098.9856,1097.8029,1094.3276,1093.0802,1091.4226
2011-12-21,1099.8412,1098.8976,1097.8102,1094.459,1093.133,1091.4523,1091.2479
2011-12-22,1098.9686,1097.8275,1094.393,1093.1158,1091.529,1091.2406,1090.5818
2011-12-23,1097.8511,1094.4647,1093.1549,1091.4646,1091.2496,1090.5839,1088.5148
2011-12-27,1094.3768,1093.1771,1091.4395,1091.3412,1090.5533,1088.5092,1088.0618
2011-12-28,1093.1962,1091.4426,1091.2384,1090.5005,1088.5038,1087.984,1084.8483
2011-12-29,1091.546,1091.2683,1090.5632,1088.5438,1088.0203,1084.8492,1081.8716
2011-12-30,1091.2258,1090.5463,1088.5046,1088.0148,1084.9465,1081.9397,1070.9235
2012-01-02,1090.5491,1088.4844,1088.0382,1084.8427,1081.8438,1070.8591,1061.6752
2012-01-03,1088.4922,1087.9786,1084.8029,1081.7919,1070.8783,1061.5912,1047.5583
2012-01-04,1088.0095,1084.7687,1081.8884,1070.9946,1061.6844,1047.394,1044.9873
2012-01-05,1084.8612,1081.8871,1070.8737,1061.6216,1047.6428,1045.0077,1044.9916
2012-01-06,1081.8005,1070.9043,1061.5983,1047.446,1044.9807,1045.0372,1044.9501
2012-01-08,1070.9193,1061.6758,1047.3276,1044.9939,1045.0486,1045.0101,1045.0587
2012-01-09,1061.7085,1047.4431,1044.999,1045.024,1045.0149,1045.0372,1045.0134
2012-01-10,1047.6039,1044.9694,1044.9768,1045.0082,1044.9801,1045.0101,1045.0674
2012-01-11,1044.9341,1045.0676,1045.0074,1045.0388,1044.9858,1045.0374,1044.9872
2012-01-12,1045.0487,1045.0281,1045.0496,1044.9714,1045.0068,1045.0101,1044.9912
2012-01-13,1045.0011,1045.0359,1045.0367,1044.9658,1045.0216,1045.0374,1044.9492
2012-01-15,1045.0104,1045.0222,1045.0131,1045.0538,1044.9828,1045.01,1045.059
2012-01-16,1045.0624,1044.9895,1045.0474,1045.0764,1045.0444,1045.0375,1045.0127
2012-01-17,1045.0111,1045.0253,1045.0369,1045.0015,1045.0131,1045.01,1045.0284
