,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD
2011-08-12,7.819298,7.792122,7.7935715,7.7853165,7.8020935,7.8004303,7.8030014
2011-08-14,7.7911606,7.7835083,7.803154,7.792473,7.786583,7.7967377,7.779854
2011-08-15,7.7906494,7.8047256,7.777733,7.8012695,7.796776,7.7975845,7.7834854
2011-08-16,7.782799,7.7860107,7.798256,7.7920685,7.7879105,7.8094254,7.800255
2011-08-17,7.8028107,7.801277,7.7868958,7.805298,7.782501,7.784668,7.852562
2011-08-18,7.783989,7.7818985,7.8064423,7.792038,7.8036346,7.7974167,7.821724
2011-08-19,7.800804,7.7865753,7.785057,7.8206787,7.8087845,7.7948303,7.7559814
2011-08-21,7.799103,7.802223,7.7866516,7.7805405,7.788925,7.7748184,7.7878494
2011-08-22,7.807892,7.786026,7.8094177,7.7853317,7.819916,7.8144836,7.8518524
2011-08-23,7.8053665,7.8099594,7.749443,7.827011,7.8183365,7.8094482,7.821213
2011-08-24,7.767105,7.796173,7.788887,7.7807465,7.776146,7.7670593,7.7586975
2011-08-25,7.789627,7.7862244,7.8535385,7.7853317,7.82222,7.8137817,7.7892075
2011-08-26,7.8273697,7.829132,7.82283,7.8262253,7.817436,7.809265,7.8502502
2011-08-28,7.781685,7.782097,7.7492447,7.7808228,7.7768555,7.7682266,7.809677
2011-08-29,7.7862625,7.786873,7.7796326,7.7853394,7.813095,7.813408,7.7498093
2011-08-30,7.8265305,7.828102,7.8409805,7.8253326,7.8125763,7.8089523,7.7787094
2011-08-31,7.7819443,7.782364,7.81118,7.7768555,7.7689056,7.7688293,7.8378143
2011-09-01,7.786461,7.786949,7.751175,7.7829895,7.814316,7.813339,7.8094254
2011-09-02,7.826004,7.78701,7.7799606,7.7917175,7.811226,7.8089523,7.750717
2011-09-04,7.8034286,7.803093,7.8395157,7.8019333,7.7699356,7.76947,7.7787857
2011-09-05,7.7844696,7.7863846,7.81118,7.7982864,7.8130264,7.813141,7.8366547
2011-09-06,7.7905273,7.8148575,7.752533,7.805771,7.808243,7.808876,7.8087845
2011-09-07,7.7854843,7.8044662,7.780792,7.784683,7.7732925,7.7699814,7.751175
2011-09-08,7.7883987,7.7723465,7.83873,7.8050766,7.817482,7.8128815,7.7789764
2011-09-09,7.8072815,7.813881,7.8109207,7.7902374,7.810501,7.8084946,7.836075
2011-09-11,7.7868576,7.8087845,7.753372,7.8056946,7.7715225,7.7702484,7.808655
2011-09-12,7.808029,7.7692413,7.781044,7.785019,7.8167953,7.8127594,7.7521896
2011-09-13,7.7870483,7.812973,7.8381424,7.8073425,7.808113,7.8083725,7.779297
2011-09-14,7.8080215,7.808777,7.8107758,7.7832108,7.774864,7.7702484,7.835739
2011-09-15,7.7885513,7.7695084,7.7540665,7.8082275,7.815178,7.812439,7.8084564
2011-09-16,7.8098907,7.81279,7.781105,7.7891083,7.8092422,7.8083725,7.752388
2011-09-18,7.788872,7.808403,7.837738,7.804947,7.7716293,7.770569,7.779228
2011-09-19,7.790718,7.770073,7.810707,7.787384,7.8115463,7.8125,7.8350983
2011-09-20,7.8092117,7.812401,7.7544556,7.806473,7.807289,7.808113,7.80838
2011-09-21,7.7873383,7.8082047,7.7812347,7.780342,7.769554,7.770569,7.7525787
2011-09-22,7.8054123,7.7702026,7.8374176,7.807846,7.811226,7.8122406,7.779297
2011-09-23,7.782318,7.812332,7.8105774,7.8085938,7.8070984,7.808113,7.8349686
2011-09-25,7.806473,7.8082047,7.754654,7.802902,7.769745,7.7707596,7.808258
2011-09-26,7.7805023,7.7704086,7.781494,7.763397,7.811226,7.8122406,7.752655
2011-09-27,7.789276,7.81234,7.837288,7.8071976,7.8070984,7.808113,7.779297
2011-09-28,7.8045044,7.8081436,7.810707,7.8027496,7.769745,7.7709503,7.83477
2011-09-29,7.7845764,7.7705994,7.7549133,7.7639694,7.811226,7.8122406,7.8081207
2011-09-30,7.8043137,7.812332,7.781494,7.807129,7.8070984,7.8080444,7.752907
2011-10-02,7.7845764,7.8082047,7.8370285,7.802681,7.7699966,7.7711945,7.779297
2011-10-03,7.804245,7.770668,7.810318,7.7777405,7.811226,7.808853,7.8345795
2011-10-04,7.7845764,7.812271,7.7549133,7.8129883,7.8070908,7.8073196,7.8081284
2011-10-05,7.8041153,7.8081436,7.781372,7.800232,7.770241,7.768936,7.752907
2011-10-06,7.7840652,7.7706757,7.8366547,7.766136,7.8099747,7.8099213,7.779358
2011-10-07,7.801697,7.809784,7.8103256,7.8121796,7.805969,7.805908,7.834572
2011-10-09,7.7849197,7.8004303,7.754982,7.7842026,7.769127,7.79821,7.8087006
2011-10-10,7.7982407,7.7845993,7.781494,7.799309,7.791504,7.795166,7.791046
