,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK
2011-08-14,5.2104826,5.217456,5.215626,5.2198267,5.2190275,5.2165747,5.2182164
2011-08-15,5.2161236,5.217292,5.2165737,5.2157946,5.2172174,5.216362,5.214294
2011-08-16,5.212322,5.2114735,5.214986,5.2111797,5.213342,5.2123175,5.2091246
2011-08-17,5.220028,5.2142506,5.2172,5.219084,5.2178116,5.211689,5.2093916
2011-08-18,5.2175307,5.2147126,5.2152777,5.2120156,5.2118874,5.208061,5.201911
2011-08-19,5.2161183,5.222127,5.213441,5.214959,5.20967,5.2043114,5.197307
2011-08-21,5.2029905,5.204388,5.2151995,5.1970167,5.1990547,5.1947546,5.1886263
2011-08-22,5.2208347,5.2167745,5.2098455,5.2084227,5.2099295,5.202963,5.2046227
2011-08-23,5.2137904,5.2051034,5.2087746,5.2087812,5.200121,5.206224,5.1988854
2011-08-24,5.20597,5.2090487,5.206705,5.198012,5.188625,5.191224,5.188545
2011-08-25,5.205847,5.1992655,5.1970487,5.1874685,5.1908603,5.1814604,5.1765585
2011-08-26,5.192043,5.1882944,5.187396,5.191307,5.183463,5.174823,5.177405
2011-08-28,5.204278,5.2034044,5.2006345,5.199494,5.199703,5.195204,5.194063
2011-08-29,5.1877146,5.1906147,5.1870346,5.179758,5.177427,5.1818132,5.178348
2011-08-30,5.1958957,5.1963634,5.190486,5.180787,5.1884685,5.1902685,5.1875772
2011-08-31,5.1864076,5.187742,5.187435,5.190505,5.190789,5.1810412,5.1896033
2011-09-01,5.187402,5.186675,5.1851344,5.1877584,5.1924057,5.1930466,5.1965256
2011-09-02,5.1898417,5.1886888,5.1809397,5.1869707,5.1895294,5.1919737,5.2009916
2011-09-04,5.185258,5.187395,5.1847086,5.185216,5.192216,5.1924024,5.189888
2011-09-05,5.1858044,5.186425,5.1921654,5.196015,5.1996374,5.1988134,5.1996303
2011-09-06,5.1888084,5.194297,5.198407,5.1992826,5.201243,5.2035847,5.210658
2011-09-07,5.1945763,5.1966844,5.2003098,5.203262,5.2042484,5.212143,5.2126746
2011-09-08,5.198227,5.197672,5.2008123,5.2033935,5.2140126,5.21091,5.2082405
2011-09-09,5.19695,5.198496,5.1999965,5.2026243,5.2025537,5.2083015,5.2073536
2011-09-11,5.2020054,5.205578,5.2134175,5.212019,5.216355,5.2227907,5.2275963
2011-09-12,5.2076035,5.207362,5.2179213,5.218302,5.219963,5.22095,5.2197685
2011-09-13,5.2057753,5.2108126,5.211322,5.210023,5.2259054,5.224182,5.2157135
2011-09-14,5.2103806,5.212538,5.2114635,5.2158895,5.2213917,5.213296,5.223754
2011-09-15,5.212102,5.2126346,5.2156744,5.212293,5.2161336,5.226822,5.225316
2011-09-16,5.2125897,5.2224636,5.212922,5.217824,5.226041,5.230474,5.226401
2011-09-18,5.226786,5.22233,5.215665,5.222226,5.2241898,5.2389603,5.234431
2011-09-19,5.2172346,5.2149663,5.2312245,5.228297,5.22999,5.234331,5.236814
2011-09-20,5.2171416,5.225814,5.229105,5.2307024,5.2392755,5.243388,5.2571745
2011-09-21,5.230979,5.2346706,5.236764,5.240433,5.2397404,5.261648,5.276245
2011-09-22,5.227036,5.2367554,5.2391243,5.239992,5.2632613,5.279562,5.296524
2011-09-23,5.2324576,5.2330513,5.2354064,5.2622137,5.286061,5.2926664,5.3037033
2011-09-25,5.22966,5.237567,5.263628,5.2826653,5.2980547,5.303754,5.333259
2011-09-26,5.2522397,5.262727,5.278281,5.295599,5.303052,5.33041,5.3833413
2011-09-27,5.256835,5.284249,5.2921233,5.2983084,5.326373,5.386821,5.3918977
2011-09-28,5.2776575,5.291432,5.296303,5.323835,5.3859835,5.399247,5.4035106
2011-09-29,5.2901583,5.309207,5.3278866,5.3805823,5.3944273,5.4064875,5.429782
2011-09-30,5.2994537,5.32975,5.3864737,5.3928165,5.405573,5.4338293,5.4432535
2011-10-02,5.3321953,5.3908443,5.399736,5.410098,5.4372063,5.447857,5.443989
2011-10-03,5.3868966,5.3998218,5.403546,5.4348373,5.4434223,5.4493904,5.4534435
2011-10-04,5.3882084,5.406746,5.4304304,5.4247465,5.4431047,5.447523,5.454029
2011-10-05,5.4003825,5.431919,5.4429374,5.4478426,5.4439144,5.4413843,5.462138
2011-10-06,5.438149,5.442317,5.453617,5.459121,5.4561267,5.4597244,5.470008
2011-10-07,5.4283323,5.4325957,5.4517817,5.4457865,5.452362,5.4561663,5.457405
2011-10-09,5.4411073,5.4495106,5.4501863,5.45823,5.456314,5.461033,5.459406
2011-10-10,5.447547,5.452192,5.4643836,5.456898,5.4538736,5.4579973,5.458873
2011-10-11,5.4550776,5.461262,5.4642563,5.4620523,5.459361,5.4607725,5.462928
2011-10-12,5.4529266,5.460252,5.455743,5.4620566,5.4622107,5.4619026,5.461259
2011-10-13,5.4643235,5.463456,5.4604473,5.462797,5.458191,5.463868,5.462501
2011-10-14,5.455515,5.456376,5.4553804,5.4616528,5.4541683,5.4554873,5.4584775
2011-10-16,5.46214,5.4617743,5.464679,5.4621487,5.459429,5.4608564,5.460954
2011-10-17,5.45609,5.4595966,5.461524,5.460308,5.4592576,5.455412,5.46149
2011-10-18,5.4448996,5.441081,5.450857,5.4511204,5.4458804,5.443458,5.4459996
2011-10-19,5.459111,5.4570813,5.459991,5.4623404,5.461014,5.461319,5.4580345
2011-10-20,5.463353,5.459977,5.463498,5.4654284,5.464615,5.4617863,5.460524
2011-10-21,5.457843,5.4638577,5.4613056,5.4587145,5.4592986,5.4518547,5.452388
2011-10-23,5.466972,5.4593744,5.46657,5.457755,5.442863,5.4533997,5.4561167
2011-10-24,5.461341,5.461852,5.457172,5.456826,5.448768,5.453837,5.450604
2011-10-25,5.458124,5.45195,5.453946,5.4435406,5.452457,5.4471846,5.448163
2011-10-26,5.47364,5.4576654,5.4516172,5.446819,5.4581957,5.4651175,5.4594913
2011-10-27,5.4532366,5.445736,5.4537296,5.4504714,5.4537373,5.4592533,5.447423
2011-10-28,5.446133,5.4509997,5.4507265,5.4497986,5.452057,5.4463677,5.4284344
2011-10-30,5.455929,5.4551945,5.4499044,5.451123,5.4464684,5.4348965,5.4278975
2011-10-31,5.452142,5.4482794,5.4526587,5.4425592,5.4222107,5.4156446,5.4100013
2011-11-01,5.460565,5.4469776,5.4399347,5.428417,5.4216022,5.4179115,5.421889
2011-11-02,5.4618573,5.454728,5.428998,5.4251986,5.423913,5.422262,5.4191685
2011-11-03,5.442823,5.4276676,5.4281893,5.4243836,5.4179583,5.4174757,5.4112625
2011-11-04,5.4389877,5.4308157,5.4334,5.4243417,5.418956,5.420706,5.420436
2011-11-06,5.428744,5.4126353,5.401678,5.4064856,5.413422,5.4139423,5.4141545
2011-11-07,5.4355454,5.4256406,5.4312224,5.42412,5.418268,5.4227734,5.426944
2011-11-08,5.4116936,5.4184694,5.4074287,5.414237,5.4096346,5.4112434,5.407773
2011-11-09,5.4102793,5.410877,5.4173684,5.410345,5.4159174,5.404542,5.400222
2011-11-10,5.4181967,5.420662,5.4215813,5.4205227,5.418792,5.415961,5.414507
2011-11-11,5.4164863,5.407714,5.419973,5.4129353,5.412448,5.412489,5.411237
2011-11-13,5.4172406,5.410232,5.411153,5.409667,5.418701,5.4085846,5.412744
2011-11-14,5.404372,5.410339,5.4094067,5.4026823,5.409997,5.404525,5.407028
2011-11-15,5.4133267,5.4050756,5.4141436,5.4101324,5.408325,5.413747,5.408701
