,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY
2011-07-17,82.24086,82.27048,82.35962,82.40482,82.317474,82.46151,82.47207
2011-07-18,82.30944,82.33725,82.36589,82.38619,82.426796,82.41831,82.61933
2011-07-19,82.29701,82.426956,82.38266,82.479126,82.422195,82.56268,82.59602
2011-07-20,82.34381,82.34765,82.47437,82.4419,82.55762,82.591896,82.60315
2011-07-21,82.40103,82.40475,82.46245,82.590996,82.579,82.654175,82.67859
2011-07-22,82.387726,82.44897,82.572075,82.609505,82.64151,82.65689,82.62378
2011-07-24,82.44092,82.59013,82.59584,82.641495,82.638336,82.60833,82.56966
2011-07-25,82.57251,82.57938,82.599884,82.667984,82.62772,82.61963,82.56889
2011-07-26,82.58257,82.61141,82.69374,82.58426,82.54083,82.48949,82.56844
2011-07-27,82.6144,82.65919,82.611496,82.563576,82.61395,82.5561,82.567085
2011-07-28,82.68012,82.57556,82.57557,82.60283,82.564354,82.57342,82.586914
2011-07-29,82.62719,82.546425,82.59662,82.5249,82.490265,82.547554,82.492485
2011-07-31,82.57451,82.47742,82.58303,82.5186,82.58481,82.56643,82.5031
2011-08-01,82.57278,82.53389,82.5831,82.57012,82.53286,82.48197,82.58855
2011-08-02,82.58447,82.579796,82.559006,82.60945,82.58395,82.63047,82.57033
2011-08-03,82.6009,82.524086,82.57,82.53179,82.57016,82.57362,82.588005
2011-08-04,82.58015,82.56968,82.56018,82.525345,82.59228,82.48953,82.57008
2011-08-05,82.56093,82.58037,82.50776,82.57652,82.56815,82.55923,82.588776
2011-08-07,82.57477,82.58751,82.558846,82.61541,82.54882,82.58886,82.40476
2011-08-08,82.55318,82.562874,82.53033,82.537605,82.495094,82.414696,82.384735
2011-08-09,82.578156,82.5786,82.58503,82.53128,82.404076,82.41361,82.307495
2011-08-10,82.51115,82.57882,82.58361,82.40047,82.39807,82.39307,82.3241
2011-08-11,82.511284,82.57959,82.46479,82.45808,82.40669,82.37834,82.22931
2011-08-12,82.51029,82.369865,82.36451,82.3666,82.37022,82.26711,82.17913
2011-08-14,82.41608,82.37507,82.40563,82.31055,82.32376,82.19092,81.90212
2011-08-15,82.38637,82.37971,82.34155,82.26121,82.19888,81.919975,81.365295
2011-08-16,82.38476,82.29853,82.27447,82.19188,81.92206,81.313255,81.19338
2011-08-17,82.35582,82.26788,82.160545,81.89582,81.36627,81.25889,81.09768
2011-08-18,82.25205,82.14397,81.94195,81.33497,81.2511,81.11994,80.90735
2011-08-19,82.134285,81.88019,81.26088,81.27925,81.0929,80.92193,80.54701
2011-08-21,81.92109,81.36296,81.29371,81.06286,80.90265,80.47399,80.29155
2011-08-22,81.34468,81.282104,81.14309,80.93151,80.52124,80.34343,80.08611
2011-08-23,81.257454,81.1137,80.90002,80.506874,80.322136,80.11263,79.5511
2011-08-24,81.088554,80.902626,80.4794,80.31135,80.09494,79.61321,78.56871
2011-08-25,80.979195,80.49746,80.340515,80.06542,79.5488,78.62073,78.530655
2011-08-26,80.534424,80.32478,80.119774,79.55625,78.63221,78.46633,78.33674
2011-08-28,80.29794,80.07651,79.54532,78.567795,78.48164,78.38676,78.37924
2011-08-29,80.08516,79.57772,78.56551,78.51417,78.34153,78.33828,78.3504
2011-08-30,79.57715,78.5781,78.53764,78.44166,78.3667,78.33721,78.29187
2011-08-31,78.572235,78.48554,78.359886,78.38041,78.34153,78.33231,78.22836
2011-09-01,78.55896,78.32162,78.46443,78.31542,78.31547,78.24896,78.14139
2011-09-02,78.35607,78.35579,78.3693,78.3265,78.25326,78.2423,78.24913
2011-09-04,78.40041,78.35295,78.31616,78.267654,78.12182,78.18574,78.166275
2011-09-05,78.32898,78.32539,78.24989,78.20371,78.17142,78.22607,78.096375
2011-09-06,78.27038,78.315445,78.18764,78.24729,78.19873,78.14345,78.02403
2011-09-07,78.27695,78.18104,78.19287,78.158394,78.17475,78.06543,78.030594
2011-09-08,78.20684,78.18226,78.22023,78.08637,78.01756,78.070786,78.03024
2011-09-09,78.21693,78.22359,78.08322,78.0602,78.059875,78.05375,78.004364
2011-09-11,78.19201,78.11558,78.08342,78.03701,78.01804,78.013306,77.96523
2011-09-12,78.1099,78.15657,78.04439,78.065956,77.9983,77.9478,77.958885
2011-09-13,78.056465,78.03994,77.99403,78.027756,77.95596,77.93256,77.95194
2011-09-14,78.06463,78.04682,77.999596,77.95578,77.96174,77.93848,77.909134
2011-09-15,78.04442,77.97517,77.94224,77.95589,77.96389,77.88943,77.81624
2011-09-16,78.00268,77.9667,77.94782,77.95636,77.911415,77.83375,77.78043
2011-09-18,77.96356,77.93386,77.98859,77.91098,77.84413,77.75999,77.83404
2011-09-19,77.95638,77.932434,77.883514,77.84355,77.80247,77.75321,77.78825
2011-09-20,77.93855,77.9019,77.86045,77.80041,77.78191,77.80408,77.78211
2011-09-21,77.86325,77.81722,77.75497,77.78159,77.80834,77.77951,77.69701
2011-09-22,77.876434,77.76176,77.82162,77.80905,77.83276,77.70538,77.75866
2011-09-23,77.79322,77.79067,77.78361,77.833496,77.68275,77.70423,77.662926
2011-09-25,77.83074,77.8197,77.79939,77.711525,77.65902,77.70548,77.65096
2011-09-26,77.75644,77.81037,77.84017,77.69788,77.65316,77.66022,77.65815
2011-09-27,77.750626,77.68191,77.66355,77.72499,77.684456,77.640945,77.64505
2011-09-28,77.67722,77.6916,77.66289,77.69586,77.62686,77.67669,77.63149
2011-09-29,77.67278,77.725555,77.6506,77.672455,77.62518,77.6373,77.65337
2011-09-30,77.68386,77.667046,77.64558,77.6332,77.67278,77.655106,77.67064
2011-10-02,77.6705,77.676445,77.684326,77.6478,77.68237,77.661674,77.611664
2011-10-03,77.649895,77.67276,77.61997,77.59104,77.61422,77.62778,77.54417
2011-10-04,77.64781,77.67392,77.63946,77.63572,77.626434,77.545654,77.4079
2011-10-05,77.66581,77.64574,77.64057,77.620514,77.54737,77.423805,77.40004
2011-10-06,77.612015,77.64408,77.62561,77.53978,77.41363,77.408646,77.03241
2011-10-07,77.650536,77.62601,77.56767,77.43916,77.41052,77.0503,76.41131
2011-10-09,77.56255,77.55016,77.4487,77.39014,77.04925,76.404686,75.537415
2011-10-10,77.53798,77.49352,77.396164,77.02868,76.39637,75.56896,75.621956
2011-10-11,77.41199,77.40605,77.00206,76.3753,75.57354,75.55396,75.55202
2011-10-12,77.404106,77.04087,76.40594,75.55254,75.570564,75.61717,75.56806
2011-10-13,77.032295,76.36466,75.59351,75.57321,75.613434,75.587456,75.32941
2011-10-14,76.347916,75.58934,75.57143,75.56459,75.55666,75.308044,75.30239
2011-10-16,75.57044,75.55708,75.57828,75.56344,75.332085,75.33864,75.33487
2011-10-17,75.57479,75.558235,75.55903,75.30462,75.315506,75.36933,75.328804
2011-10-18,75.58755,75.583855,75.28189,75.318214,75.33106,75.30852,75.3341
2011-10-19,75.57733,75.33475,75.319786,75.31875,75.31795,75.339775,75.32768
2011-10-20,75.28346,75.30197,75.280975,75.30565,75.337776,75.37327,75.29819
2011-10-21,75.31998,75.33346,75.316536,75.32542,75.37453,75.27048,75.31803
2011-10-23,75.310585,75.30599,75.30719,75.30167,75.326996,75.313194,75.2644
2011-10-24,75.325676,75.31299,75.33406,75.3286,75.322685,75.24806,75.29469
2011-10-25,75.32065,75.344894,75.24745,75.300835,75.25218,75.35537,75.29992
2011-10-26,75.358406,75.32875,75.31279,75.2974,75.32344,75.26826,75.29248
2011-10-27,75.28392,75.331276,75.31188,75.25295,75.29038,75.29052,75.29264
