,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD
2011-06-09,36.906586,36.820503,36.78859,36.831306,36.78791,36.640076,36.590256
2011-06-10,36.83084,36.812645,36.823692,36.783737,36.63871,36.64396,36.629585
2011-06-12,36.801598,36.77826,36.77549,36.623985,36.610077,36.564445,36.05439
2011-06-13,36.80829,36.780716,36.652412,36.604645,36.587524,36.070503,36.031334
2011-06-14,36.776154,36.702118,36.602684,36.596886,36.04396,36.02189,36.0188
2011-06-15,36.591637,36.631866,36.602646,36.05873,36.01124,35.99064,36.028656
2011-06-16,36.61918,36.587082,36.03932,36.016037,36.0142,36.012505,36.009315
2011-06-17,36.565018,36.052666,36.00776,36.032173,36.041946,36.039658,36.026985
2011-06-19,36.04329,36.007957,36.013878,36.01597,36.01091,36.000343,36.00399
2011-06-20,36.00276,36.023186,36.046906,36.032494,36.01407,35.964508,35.96347
2011-06-21,36.04371,36.01291,36.016136,36.015778,35.98645,35.98484,35.98427
2011-06-22,35.984253,36.019173,36.02104,35.989967,35.93927,35.974747,35.97255
2011-06-23,36.012993,36.029114,35.984695,36.029068,35.95835,35.989708,35.975655
2011-06-24,36.04767,35.97693,35.98018,36.01525,35.97917,35.993156,35.98346
2011-06-26,35.97946,36.001877,35.970467,35.982025,35.96924,35.970924,35.98752
2011-06-27,35.958344,35.967415,35.963387,35.954735,35.99189,35.946404,35.960304
2011-06-28,35.999504,35.94745,35.98207,36.002678,35.981644,35.98105,35.969666
2011-06-29,35.98893,35.974686,35.98427,35.947,35.93611,35.99067,36.005875
2011-06-30,35.970528,35.994507,35.979355,35.92492,35.990433,35.96942,35.975037
2011-07-01,35.993263,35.97988,35.97059,35.96402,36.019135,35.970047,35.85965
2011-07-03,35.980774,35.99656,35.964462,35.97783,35.989807,35.895233,35.85701
2011-07-04,35.941116,35.97586,35.99292,35.960533,35.893944,35.808136,35.824814
2011-07-05,35.970688,35.97017,35.985443,35.797432,35.828964,35.82994,35.860756
2011-07-06,36.025238,36.00171,35.870384,35.831467,35.807434,35.920242,35.85733
2011-07-07,36.007027,35.837547,35.807724,35.860466,35.89897,35.850945,35.796257
2011-07-08,35.920662,35.850883,35.84548,35.920982,35.890068,35.806503,35.786896
2011-07-10,35.85623,35.83509,35.821686,35.859344,35.814537,35.78076,35.83053
2011-07-11,35.83616,35.851013,35.86387,35.82286,35.772392,35.83152,35.802437
2011-07-12,35.852287,35.834892,35.789818,35.785156,35.79322,35.781197,35.822586
2011-07-13,35.83596,35.78733,35.78196,35.794075,35.83349,35.833076,35.795288
2011-07-14,35.75464,35.826363,35.780205,35.825737,35.806458,35.805466,35.834732
2011-07-15,35.755592,35.82486,35.753952,35.792603,35.799805,35.825195,35.83261
2011-07-17,35.755203,35.824646,35.88472,35.81485,35.82747,35.850998,35.80719
2011-07-18,35.82631,35.830154,35.81562,35.7919,35.857285,35.77455,35.811714
2011-07-19,35.788925,35.806145,35.8356,35.831543,35.78308,35.828407,35.786346
2011-07-20,35.81086,35.85193,35.807747,35.834274,35.787605,35.815025,35.828896
2011-07-21,35.85501,35.784393,35.800644,35.79097,35.858574,35.832443,36.006004
2011-07-22,35.798653,35.826935,35.829666,35.788437,35.829475,36.0002,36.128662
2011-07-24,35.806343,35.786392,35.859726,35.817223,36.006294,36.162247,36.2623
2011-07-25,35.854042,35.812447,35.781914,35.94229,36.16426,36.233925,36.304077
2011-07-26,35.839874,35.82923,35.96765,36.16333,36.283012,36.270996,36.334312
2011-07-27,35.784218,36.01745,36.143272,36.247253,36.275948,36.36786,36.47641
2011-07-28,35.967247,36.16172,36.240616,36.259224,36.401512,36.432823,36.59732
2011-07-29,36.08213,36.230904,36.26754,36.345993,36.447,36.618134,37.46505
2011-07-31,36.191,36.295685,36.328667,36.409653,36.570602,37.46369,38.53653
2011-08-01,36.285553,36.36927,36.400436,36.6474,37.463303,38.585823,38.649673
2011-08-02,36.344536,36.441414,36.64286,37.45646,38.525696,38.62494,38.89952
2011-08-03,36.38652,36.551613,37.454163,38.554688,38.657562,38.84307,39.330956
2011-08-04,36.560738,37.460587,38.5373,38.62152,38.8948,39.237183,39.39148
2011-08-05,37.505997,38.565666,38.654366,38.860634,39.378746,39.261406,39.380615
2011-08-07,38.5465,38.605194,38.852013,39.430748,39.342216,39.33519,39.423546
2011-08-08,38.633896,38.86364,39.418045,39.355812,39.367767,39.444695,39.32087
2011-08-09,38.903,39.39377,39.398712,39.35106,39.438774,39.423218,39.359932
2011-08-10,39.338684,39.326714,39.39975,39.39418,39.36767,39.30818,39.41594
2011-08-11,39.383392,39.415894,39.34807,39.377487,39.385155,39.43432,39.439705
2011-08-12,39.305016,39.371643,39.388985,39.36821,39.397026,39.41842,39.488106
2011-08-14,39.423668,39.394363,39.35772,39.410088,39.441414,39.447662,39.56254
2011-08-15,39.350975,39.409256,39.39306,39.40931,39.490494,39.537003,39.547928
2011-08-16,39.41456,39.39431,39.4208,39.4897,39.556015,39.56832,39.603767
2011-08-17,39.35888,39.418808,39.44538,39.560135,39.567825,39.6176,39.649315
2011-08-18,39.467216,39.468613,39.57785,39.585747,39.61283,39.645943,39.698654
2011-08-19,39.453384,39.58703,39.5879,39.628075,39.653465,39.713524,39.725967
2011-08-21,39.524055,39.58522,39.597504,39.68933,39.703842,39.743584,39.76951
2011-08-22,39.559563,39.610703,39.60753,39.74125,39.744133,39.803085,39.90355
2011-08-23,39.604355,39.64521,39.70574,39.70623,39.779465,39.90901,39.9758
2011-08-24,39.6186,39.73477,39.72512,39.790596,39.917282,39.98062,40.13217
2011-08-25,39.7144,39.742958,39.777832,39.90554,39.948776,40.134766,40.10221
2011-08-26,39.706276,39.78463,39.90229,39.988335,40.11959,40.1006,40.120605
2011-08-28,39.797913,39.899536,39.97042,40.098503,40.14218,40.14042,40.176895
2011-08-29,39.909256,39.966118,40.078163,40.145798,40.148872,40.14515,40.393257
2011-08-30,39.981125,40.13218,40.063683,40.13128,40.148735,40.426445,40.462814
2011-08-31,40.12835,40.14319,40.12165,40.167145,40.396133,40.449066,40.465538
2011-09-01,40.115448,40.15123,40.15216,40.39634,40.454285,40.470215,40.511116
2011-09-02,40.118454,40.15754,40.41645,40.448112,40.485817,40.50724,40.51512
2011-09-04,40.148827,40.40734,40.44182,40.46711,40.51544,40.474915,40.50528
2011-09-05,40.399796,40.478264,40.47377,40.495872,40.51123,40.51673,40.67646
2011-09-06,40.457047,40.46163,40.4812,40.531624,40.501587,40.73226,40.80674
2011-09-07,40.47496,40.511,40.502106,40.514145,40.725212,40.822395,40.82003
2011-09-08,40.47294,40.532104,40.49785,40.72661,40.79608,40.81977,40.80661
2011-09-09,40.505386,40.50068,40.700073,40.816757,40.832306,40.817398,40.82029
2011-09-11,40.511375,40.751595,40.816277,40.809906,40.80906,40.81034,40.784966
2011-09-12,40.71682,40.807037,40.834053,40.813324,40.8499,40.7688,40.805786
2011-09-13,40.82802,40.820198,40.82926,40.840103,40.781845,40.789436,40.777428
2011-09-14,40.79651,40.806908,40.795868,40.765045,40.752975,40.777634,40.789337
2011-09-15,40.79811,40.820457,40.816628,40.7658,40.80784,40.767754,40.788612
2011-09-16,40.824203,40.78849,40.792778,40.80172,40.800117,40.789627,40.80294
2011-09-18,40.804604,40.784004,40.755287,40.808846,40.76934,40.79541,40.76242
