,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF
2011-11-02,0.7083334,0.7065191,0.704496,0.7058103,0.708005,0.704193,0.7093303
2011-11-03,0.707524,0.70659375,0.7053182,0.7073809,0.706406,0.70583296,0.7072369
2011-11-04,0.7065807,0.7085843,0.70606506,0.7092191,0.708898,0.71025,0.70738643
2011-11-06,0.7060329,0.70515245,0.7040876,0.70785964,0.70558226,0.70475245,0.7072654
2011-11-07,0.7047279,0.70693827,0.70893764,0.7077882,0.70769536,0.70818555,0.70712894
2011-11-08,0.7052308,0.7079713,0.7076676,0.70898736,0.706433,0.7085534,0.7093632
2011-11-09,0.7060343,0.70791686,0.706874,0.706758,0.70786434,0.70737004,0.7076989
2011-11-10,0.7065311,0.70725214,0.7085026,0.7079531,0.7077064,0.7095715,0.7076355
2011-11-11,0.70829207,0.70761037,0.70856,0.70767957,0.70819175,0.7086221,0.7073897
2011-11-13,0.7092448,0.7074219,0.7084899,0.70824206,0.70791423,0.709258,0.70797706
2011-11-14,0.7075765,0.70774114,0.7071582,0.70716983,0.7076875,0.7077056,0.70840716
2011-11-15,0.7100213,0.70889056,0.7074137,0.708048,0.7075695,0.706926,0.7057073
2011-11-16,0.70664454,0.71026313,0.708042,0.7079896,0.70734316,0.70844877,0.7075447
2011-11-17,0.70834756,0.70772386,0.7069115,0.7063876,0.7080258,0.7064528,0.7063011
2011-11-18,0.70794755,0.70660114,0.70790005,0.7089598,0.7056544,0.7061734,0.70675266
2011-11-20,0.70767355,0.7068913,0.706576,0.70630157,0.7046858,0.70810306,0.70451176
2011-11-21,0.70965683,0.7065179,0.70657146,0.70643175,0.7054826,0.7073342,0.7053585
2011-11-22,0.70874655,0.706509,0.7087288,0.70676494,0.7085116,0.7088475,0.7064185
2011-11-23,0.7082779,0.70796293,0.7081231,0.70870304,0.70819986,0.70483303,0.7038254
2011-11-24,0.7078428,0.70707947,0.70718396,0.70478314,0.7041326,0.70456743,0.70405775
2011-11-25,0.7068068,0.70577466,0.7046157,0.7077162,0.70502543,0.70347244,0.7043843
2011-11-27,0.70710266,0.7069368,0.7067254,0.70559597,0.703106,0.70454454,0.7051542
2011-11-28,0.70411336,0.70374155,0.7043526,0.7037927,0.7030854,0.6999167,0.7037391
2011-11-29,0.70339394,0.7038666,0.70442075,0.70330817,0.70463854,0.7051166,0.70663077
2011-11-30,0.70606846,0.704195,0.7037677,0.70346975,0.70571476,0.7056658,0.70354736
2011-12-01,0.7043667,0.7052206,0.70477366,0.7065859,0.70576197,0.70426935,0.7055621
2011-12-02,0.7036064,0.704993,0.704134,0.7048137,0.70268875,0.70334935,0.70610595
2011-12-04,0.70224756,0.70278126,0.70349485,0.70453817,0.7040473,0.70650405,0.70344484
2011-12-05,0.7058784,0.70699036,0.7064001,0.70192206,0.70483285,0.704885,0.70658284
2011-12-06,0.70422864,0.703666,0.70308685,0.70458895,0.7047907,0.70703846,0.70563453
2011-12-07,0.7060329,0.7058718,0.70465714,0.7042002,0.70514816,0.70546424,0.7058515
2011-12-08,0.7042859,0.7040833,0.70480067,0.7037084,0.7049123,0.7035033,0.7035687
2011-12-09,0.7066085,0.7031913,0.7032313,0.70506483,0.7065222,0.70476866,0.70567423
2011-12-11,0.7070662,0.70604324,0.7065199,0.70532584,0.7061221,0.7056303,0.7074104
2011-12-12,0.7050285,0.7047341,0.70524013,0.704815,0.70631146,0.70674163,0.7084459
