,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF
2011-07-15,1.3601779,1.3611295,1.3559318,1.3564912,1.3469361,1.3475002,1.3491446
2011-07-17,1.3610518,1.3569686,1.3563038,1.3536246,1.3512654,1.3442639,1.3432093
2011-07-18,1.358447,1.3547535,1.3523934,1.3487744,1.346391,1.3440738,1.340803
2011-07-19,1.355211,1.3555075,1.3458527,1.3480897,1.3456146,1.3435538,1.3439623
2011-07-20,1.3523484,1.3449262,1.3483256,1.3450739,1.3423216,1.3440814,1.3389573
2011-07-21,1.3507923,1.3491368,1.3439028,1.3448126,1.3439698,1.3420717,1.3369166
2011-07-22,1.3463002,1.3450141,1.340269,1.3435299,1.3396963,1.3388252,1.3414882
2011-07-24,1.3418206,1.3429303,1.343585,1.3417486,1.3392315,1.3363206,1.3377066
2011-07-25,1.3437346,1.3421915,1.3429221,1.3382508,1.3379432,1.334622,1.3341534
2011-07-26,1.3423477,1.3401428,1.3386465,1.3345029,1.3298334,1.3337634,1.3362195
2011-07-27,1.3378637,1.339052,1.3353688,1.3330523,1.3355291,1.3349231,1.330134
2011-07-28,1.340213,1.3378878,1.3372569,1.3320515,1.3326263,1.3284899,1.3290768
2011-07-29,1.33671,1.3330033,1.3349441,1.3313382,1.3362545,1.3355527,1.3298546
2011-07-31,1.3353274,1.3309598,1.328907,1.3257827,1.3287745,1.3294168,1.3232144
2011-08-01,1.3322105,1.3363788,1.3296782,1.3281507,1.3305551,1.3287678,1.3239095
2011-08-02,1.334815,1.3313899,1.3235738,1.3251411,1.3266609,1.3188025,1.3222638
2011-08-03,1.3305349,1.3288829,1.3295993,1.3272315,1.3254257,1.3211025,1.3230495
2011-08-04,1.3352867,1.3289074,1.3251745,1.3232151,1.319459,1.3181224,1.3168676
2011-08-05,1.3320507,1.330057,1.3243122,1.3228241,1.3192961,1.3200214,1.3176086
2011-08-07,1.3238155,1.3232169,1.323884,1.321135,1.3197398,1.3192159,1.3191248
