,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF
2011-11-13,0.8774008,0.8792329,0.8776202,0.8777566,0.8827652,0.8812179,0.87931395
2011-11-14,0.8778572,0.8792043,0.87994534,0.8782443,0.8804155,0.8814452,0.88153857
2011-11-15,0.8791256,0.87988305,0.87975913,0.8818765,0.88113606,0.8813707,0.8814751
2011-11-16,0.8809342,0.8795055,0.8811578,0.88332444,0.8806962,0.8819892,0.8830354
2011-11-17,0.87618333,0.8796023,0.8785071,0.88153434,0.8787283,0.88051,0.8807544
2011-11-18,0.8811609,0.88148487,0.8844106,0.881933,0.8841669,0.88081086,0.8808073
2011-11-20,0.87791204,0.87755215,0.87790143,0.88011044,0.87567335,0.87891877,0.8757193
2011-11-21,0.8825369,0.88474584,0.8827284,0.883493,0.88458663,0.88178265,0.88304365
2011-11-22,0.87974465,0.87816954,0.880277,0.8780227,0.8773571,0.87766194,0.88008845
2011-11-23,0.8802231,0.88299096,0.8820144,0.8801621,0.8812888,0.881815,0.88147616
2011-11-24,0.88153166,0.8817127,0.8812784,0.8811116,0.8824928,0.8815088,0.881162
2011-11-25,0.88138086,0.88074315,0.8807112,0.8816313,0.88206506,0.8809079,0.88347864
2011-11-27,0.88158935,0.88111126,0.88160145,0.88218284,0.88427633,0.8832327,0.88304204
2011-11-28,0.88038665,0.88293517,0.88279045,0.8840312,0.8795258,0.88398314,0.8860128
2011-11-29,0.8827884,0.8824117,0.88218534,0.88429093,0.8826911,0.8837415,0.88685155
2011-11-30,0.88085157,0.8820409,0.88405204,0.88337654,0.8847877,0.88592005,0.8892382
2011-12-01,0.88314277,0.88463926,0.8850273,0.88355684,0.88335663,0.88693154,0.8867922
2011-12-02,0.88365424,0.8830638,0.8842187,0.8852006,0.88620484,0.88721347,0.88697386
2011-12-04,0.8830761,0.88575864,0.8874197,0.88785386,0.888637,0.8886953,0.88932335
2011-12-05,0.88627684,0.8892436,0.88873374,0.8869171,0.889061,0.88964564,0.8890032
2011-12-06,0.88738906,0.8862235,0.88803965,0.8872857,0.8882508,0.8875498,0.88783264
2011-12-07,0.89063513,0.88867545,0.890031,0.888099,0.8877693,0.8905396,0.89244497
2011-12-08,0.8829453,0.8871092,0.8905747,0.89183116,0.89097714,0.891061,0.8913195
2011-12-09,0.8895185,0.8851414,0.890079,0.89124644,0.8894195,0.8927295,0.89294624
2011-12-11,0.8891133,0.8872243,0.8901587,0.8901898,0.8918283,0.8926724,0.8891229
2011-12-12,0.891528,0.89115703,0.8911627,0.88993317,0.891442,0.88966537,0.8966392
2011-12-13,0.8885277,0.8910755,0.8915713,0.8913587,0.8918168,0.89342916,0.8943717
