,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP
2011-06-13,1888.654,1895.2755,1892.4224,1892.4369,1897.398,1902.5334,1905.5945
2011-06-14,1901.6978,1909.3556,1907.7516,1907.7814,1912.6045,1917.615,1919.4703
2011-06-15,1915.7776,1924.6848,1923.0961,1922.9879,1927.6863,1931.491,1934.28
2011-06-16,1931.1069,1940.029,1938.3029,1938.0697,1941.5619,1946.3008,1949.147
2011-06-17,1946.4508,1955.2357,1953.3845,1951.9452,1956.3716,1961.1677,1963.9199
2011-06-19,1961.6576,1970.3176,1967.26,1966.7551,1971.2384,1975.9403,1978.6094
2011-06-20,1976.7391,1984.1929,1982.0698,1981.6217,1986.0112,1990.6296,1993.2185
2011-06-21,1990.6145,1999.0028,1996.9368,1996.3948,2000.7003,2005.239,2006.6974
2011-06-22,2005.4246,2013.8695,2011.7095,2011.0839,2015.3093,2018.7179,2021.1128
2011-06-23,2020.2914,2028.6422,2026.3987,2025.6927,2028.7885,2033.1333,2035.6154
2011-06-24,2035.0638,2043.3317,2041.0076,2039.1719,2043.2036,2047.636,2050.0527
2011-06-26,2049.7532,2057.9407,2054.4866,2053.5872,2057.7065,2062.073,2064.436
2011-06-27,2064.3618,2071.4197,2068.9019,2068.0898,2072.1436,2076.456,2078.7688
2011-06-28,2077.841,2085.835,2083.4048,2082.527,2086.5269,2090.789,2092.0037
2011-06-29,2092.2559,2100.3376,2097.842,2096.9102,2100.8599,2104.0242,2106.1807
2011-06-30,2106.7588,2114.7747,2112.225,2111.243,2114.0947,2118.201,2120.4587
2011-07-01,2121.1956,2129.1577,2126.5576,2124.4783,2128.2712,2132.479,2134.6943
2011-07-03,2135.5789,2143.4902,2139.793,2138.6548,2142.5493,2146.7146,2148.8914
2011-07-04,2149.9111,2156.725,2153.9695,2152.9326,2156.7847,2160.9114,2163.0535
2011-07-05,2163.1462,2170.9019,2168.247,2167.1682,2170.982,2175.074,2176.1433
2011-07-06,2177.3228,2185.1797,2182.483,2181.3652,2185.144,2188.1638,2190.1748
2011-07-07,2191.6006,2199.4153,2196.6797,2195.5276,2198.2341,2202.195,2205.3433
2011-07-08,2205.8362,2213.6123,2210.842,2208.6172,2212.2656,2217.3635,2220.5286
2011-07-10,2220.0332,2227.7747,2223.9321,2222.6484,2227.434,2232.549,2235.591
