,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF
2011-11-21,1.2350267,1.2351892,1.2356479,1.2350357,1.2353338,1.2326219,1.2332026
2011-11-22,1.2356427,1.2350355,1.2354801,1.2345089,1.2343614,1.2329924,1.2332404
2011-11-23,1.2353454,1.2347232,1.2343382,1.2328546,1.2324594,1.2332318,1.2324506
2011-11-24,1.235161,1.2344211,1.2330576,1.2331384,1.2323381,1.2316622,1.23046
2011-11-25,1.234284,1.2350591,1.2334183,1.2335591,1.2317619,1.2299968,1.2295653
2011-11-27,1.235222,1.2334689,1.2333833,1.2328676,1.2304378,1.2296385,1.2299073
2011-11-28,1.2332913,1.231586,1.2331234,1.2304806,1.2298324,1.2299767,1.2291635
2011-11-29,1.2320036,1.231521,1.2312508,1.2303921,1.2301127,1.229458,1.229602
2011-11-30,1.2328912,1.230738,1.230017,1.2290378,1.2299627,1.2302438,1.2309406
2011-12-01,1.2304696,1.2291359,1.2287108,1.2290717,1.2312827,1.229103,1.2319614
2011-12-02,1.2302365,1.2298987,1.2289675,1.2306107,1.2321566,1.2330165,1.2339525
2011-12-04,1.228466,1.2298295,1.229801,1.2317538,1.2331471,1.2330097,1.2322803
2011-12-05,1.2298437,1.2302474,1.2310731,1.2321359,1.2338153,1.2338679,1.2350293
2011-12-06,1.2292194,1.2313496,1.2329943,1.233956,1.2333379,1.2342501,1.2340398
2011-12-07,1.2332169,1.2325137,1.2340245,1.2336137,1.2347274,1.2355582,1.234472
2011-12-08,1.2319946,1.2322706,1.2338097,1.2326125,1.2347691,1.2358148,1.2356008
2011-12-09,1.2324911,1.2331057,1.2351408,1.234839,1.2346152,1.234399,1.2356638
2011-12-11,1.2351645,1.2334094,1.234466,1.2356073,1.2362648,1.2356759,1.235503
2011-12-12,1.2351528,1.2347479,1.2345269,1.2354808,1.2331994,1.2350343,1.2348739
2011-12-13,1.2350575,1.2351944,1.2343031,1.2347949,1.2363875,1.2345157,1.2348846
2011-12-14,1.2343997,1.2351446,1.2349036,1.2349511,1.2348723,1.2358913,1.2343937
2011-12-15,1.2353897,1.2358227,1.2342042,1.2356405,1.2355963,1.2346056,1.2346658
2011-12-16,1.2330002,1.2348671,1.2351229,1.2348641,1.2348301,1.2347242,1.2352024
