,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR
2011-10-17,2978.5796,2977.5513,2978.4307,2978.5823,2968.909,2969.6926,2978.3218
2011-10-18,2977.4634,2978.399,2978.5767,2978.5737,2970.0308,2970.8157,2977.3271
2011-10-19,2978.4148,2978.5796,2978.5796,2978.5762,2971.193,2969.932,2978.3586
2011-10-20,2978.5762,2978.5789,2978.5757,2978.5818,2970.277,2970.8489,2980.0654
2011-10-21,2978.5784,2978.5776,2978.5762,2977.3035,2971.228,2974.2996,2982.3816
2011-10-23,2978.5757,2978.5771,2977.267,2978.404,2974.804,2979.9858,2986.5474
2011-10-24,2978.5732,2977.3508,2978.4478,2980.145,2980.4575,2984.5156,2991.226
2011-10-25,2977.2463,2978.404,2980.2747,2982.4922,2984.9094,2988.6506,2993.2273
2011-10-26,2978.4294,2980.0737,2982.6616,2986.9355,2989.1924,2990.4204,2997.837
2011-10-27,2980.26,2982.403,2987.4336,2991.923,2991.026,2994.5002,3005.4019
2011-10-28,2982.6514,2986.6655,2992.7876,2994.0583,2995.25,3001.743,3013.8235
2011-10-30,2987.4329,2991.451,2995.078,2998.9702,3002.747,3010.1572,3022.9983
2011-10-31,2992.797,2993.4956,3000.3452,3006.4636,3011.1133,3019.4307,3035.2957
2011-11-01,2995.0896,2998.212,3007.699,3015.2434,3020.4053,3030.3667,3048.0327
2011-11-02,3000.3677,3005.771,3016.5422,3024.5383,3031.7095,3041.8203,3060.7212
2011-11-03,3007.7332,3014.362,3026.3354,3037.5837,3043.532,3054.622,3076.7231
2011-11-04,3016.59,3023.544,3040.2478,3050.4426,3056.3276,3069.0452,3090.7546
2011-11-06,3026.4014,3036.1028,3053.0203,3063.622,3071.183,3084.5254,3099.4534
2011-11-07,3040.3362,3048.9167,3066.978,3080.4456,3086.2412,3095.7295,3104.7292
2011-11-08,3053.0757,3061.7317,3084.1973,3094.1853,3097.268,3102.58,3108.0803
2011-11-09,3067.0474,3078.024,3097.512,3100.158,3103.2922,3107.0525,3112.0847
