,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY
2011-08-15,111.96839,111.90036,111.917305,111.70028,111.44768,111.399155,111.341415
2011-08-16,111.88938,111.87568,111.72228,111.41569,111.40188,111.38142,111.35458
2011-08-17,111.861595,111.70114,111.47103,111.38333,111.35235,111.33121,111.29787
2011-08-18,111.67223,111.465416,111.33398,111.34747,111.33193,111.3091,111.14839
2011-08-19,111.493034,111.42597,111.352455,111.34158,111.28251,111.21362,110.81315
2011-08-21,111.43576,111.41111,111.34017,111.28925,111.14097,110.862404,110.82677
2011-08-22,111.34084,111.346054,111.25447,111.1678,110.7665,110.825455,110.82936
2011-08-23,111.343445,111.29518,111.1345,110.82539,110.80735,110.86229,110.82918
2011-08-24,111.25833,111.13959,110.82573,110.816536,110.75943,110.79459,110.8106
2011-08-25,111.13881,110.81128,110.821266,110.842896,110.79047,110.82237,110.82864
2011-08-26,110.803665,110.85366,110.76559,110.77332,110.8377,110.80051,110.73177
2011-08-28,110.84222,110.77137,110.79956,110.82871,110.732765,110.70935,110.658875
2011-08-29,110.81728,110.8101,110.8149,110.83288,110.708244,110.59094,110.517006
2011-08-30,110.8242,110.803215,110.74986,110.726364,110.59907,110.581024,110.52515
2011-08-31,110.84361,110.81836,110.65562,110.604034,110.51439,110.50717,110.522484
2011-09-01,110.77004,110.733765,110.613495,110.549904,110.50129,110.54715,110.51205
2011-09-02,110.70923,110.581276,110.49961,110.57196,110.50522,110.48079,110.45827
2011-09-04,110.59487,110.57949,110.53809,110.499176,110.470856,110.50875,110.447716
2011-09-05,110.5695,110.533356,110.52841,110.48724,110.473495,110.45737,110.41196
2011-09-06,110.51257,110.5381,110.511765,110.45507,110.45415,110.39671,110.41775
2011-09-07,110.503784,110.49386,110.48601,110.45747,110.40376,110.36748,110.325134
2011-09-08,110.45767,110.47746,110.45415,110.39217,110.337494,110.33857,110.14446
2011-09-09,110.479935,110.44748,110.47075,110.33569,110.309525,110.17966,110.14564
2011-09-11,110.45502,110.436455,110.4304,110.340416,110.149994,110.178696,109.85964
2011-09-12,110.44202,110.36697,110.231834,110.12943,110.13256,109.9628,109.88161
2011-09-13,110.34303,110.36948,110.181885,110.12867,109.946625,109.83206,109.8318
2011-09-14,110.352066,110.14042,110.17779,109.88122,109.85438,109.87072,109.75557
2011-09-15,110.19333,110.18195,109.87318,109.84355,109.88515,109.7874,109.272896
2011-09-16,110.17567,109.886,109.78805,109.82271,109.73863,109.237564,109.23895
2011-09-18,109.90899,109.80274,109.88008,109.765335,109.25003,109.25014,109.215324
2011-09-19,109.8666,109.872955,109.77336,109.23701,109.23907,109.13085,109.19261
2011-09-20,109.81983,109.81366,109.291084,109.27128,109.20649,109.179596,108.83515
2011-09-21,109.73706,109.273125,109.20389,109.19715,109.17954,108.79665,108.69215
2011-09-22,109.30863,109.24069,109.18348,109.19778,108.79385,108.69087,108.63118
2011-09-23,109.235695,109.16751,109.17321,108.768425,108.693245,108.63005,108.403206
2011-09-25,109.17601,109.24689,108.75996,108.735176,108.65478,108.36124,108.18899
2011-09-26,109.188034,108.7766,108.72494,108.59648,108.40347,108.14818,106.8892
2011-09-27,108.74595,108.71378,108.64193,108.42701,108.13162,106.81983,106.02218
2011-09-28,108.72521,108.68969,108.45498,108.20731,106.8622,106.050575,106.02067
2011-09-29,108.66448,108.42239,108.172775,106.856,106.074814,106.01058,105.29386
2011-09-30,108.42563,108.20139,106.81437,106.046265,105.9964,105.390236,105.29292
2011-10-02,108.20233,106.84697,106.05078,106.01867,105.3341,105.19074,105.156265
2011-10-03,106.90584,106.08441,106.025406,105.35851,105.2131,105.19214,105.13761
2011-10-04,106.03298,106.02231,105.33523,105.20709,105.17571,105.13838,105.01712
2011-10-05,106.03475,105.41373,105.18186,105.165794,105.14221,105.034874,104.694115
2011-10-06,105.322235,105.25904,105.18346,105.18503,105.05424,104.59542,104.603165
2011-10-07,105.200005,105.14898,105.09273,105.05842,104.5806,104.54363,104.5824
2011-10-09,105.2057,105.15208,105.06368,104.641335,104.56308,104.6573,104.596275
2011-10-10,105.11833,105.02475,104.69828,104.60202,104.55567,104.646324,104.53604
2011-10-11,105.02712,104.664085,104.55735,104.63304,104.60749,104.587006,104.58299
2011-10-12,104.67354,104.67633,104.56161,104.56858,104.58338,104.58735,104.53889
2011-10-13,104.56138,104.54855,104.65659,104.58713,104.50976,104.6428,104.64454
2011-10-14,104.587944,104.654976,104.62208,104.554306,104.646675,104.53456,104.65613
2011-10-16,104.61878,104.60661,104.51712,104.52827,104.596664,104.608986,104.49396
2011-10-17,104.59367,104.67455,104.6239,104.58055,104.53595,104.568214,104.57412
2011-10-18,104.62723,104.632095,104.51589,104.578545,104.5583,104.5523,104.59077
2011-10-19,104.57704,104.572876,104.53983,104.61903,104.627335,104.578384,104.606926
2011-10-20,104.553986,104.6128,104.539505,104.53009,104.64378,104.6093,104.59866
2011-10-21,104.58774,104.604065,104.63437,104.65751,104.603035,104.552536,104.59407
2011-10-23,104.60443,104.58061,104.510025,104.58412,104.59134,104.59542,104.53761
2011-10-24,104.55753,104.58425,104.6014,104.57933,104.553055,104.65842,104.608536
2011-10-25,104.52138,104.556854,104.656494,104.62465,104.62392,104.60832,104.60277
2011-10-26,104.55578,104.60445,104.60059,104.61776,104.534996,104.59368,104.650604
2011-10-27,104.63259,104.52074,104.60781,104.602936,104.539154,104.6183,104.609276
2011-10-28,104.57262,104.50446,104.64567,104.51364,104.602005,104.59118,105.40408
