,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK
2011-07-19,7.797333,7.827245,7.820009,7.815807,7.793086,7.783768,7.796761
2011-07-20,7.821316,7.818917,7.814239,7.781232,7.810676,7.793167,7.8334064
2011-07-21,7.8263264,7.7975197,7.8051205,7.8139887,7.807783,7.8046827,7.8125606
2011-07-22,7.8304844,7.8404202,7.839401,7.7962923,7.7624173,7.792337,7.79655
2011-07-24,7.8181314,7.832637,7.801811,7.800193,7.790514,7.794357,7.797532
2011-07-25,7.8286304,7.814073,7.795337,7.793302,7.7943344,7.7814097,7.7992105
2011-07-26,7.8073883,7.792327,7.7907734,7.8021884,7.787058,7.79484,7.7777944
2011-07-27,7.7997804,7.7829223,7.8049397,7.7905684,7.8035975,7.774489,7.788756
2011-07-28,7.784671,7.7965965,7.7934575,7.795099,7.763301,7.778866,7.7776065
2011-07-29,7.791097,7.7762375,7.7953057,7.8064866,7.7744517,7.781393,7.771974
2011-07-31,7.7798653,7.7974596,7.774136,7.768299,7.7891073,7.789609,7.7889037
2011-08-01,7.7794933,7.7669344,7.789262,7.781409,7.797437,7.7759037,7.778331
2011-08-02,7.7848673,7.7787857,7.778898,7.7832785,7.761082,7.7836676,7.775716
2011-08-03,7.7555566,7.7774587,7.779828,7.775034,7.7965927,7.7806287,7.7822604
2011-08-04,7.7890153,7.7726493,7.756653,7.7717915,7.7791557,7.788942,7.776851
2011-08-05,7.784064,7.7691035,7.7773075,7.781396,7.786633,7.7510347,7.777287
2011-08-07,7.7715287,7.769255,7.771277,7.7789264,7.7748675,7.762788,7.760498
2011-08-08,7.783972,7.7779756,7.7747607,7.7766576,7.776242,7.780512,7.791534
2011-08-09,7.77193,7.7751436,7.7807846,7.780762,7.7979465,7.781714,7.768076
2011-08-10,7.778363,7.7834506,7.774452,7.78363,7.7863135,7.7829223,7.7712207
2011-08-11,7.7714214,7.7797647,7.78098,7.7836347,7.774789,7.7851806,7.7958126
2011-08-12,7.7788863,7.7818794,7.7741966,7.777144,7.774742,7.7886977,7.79953
2011-08-14,7.7654414,7.7782464,7.79288,7.7855186,7.7947383,7.7794013,7.7826247
2011-08-15,7.787134,7.781357,7.7798142,7.7786827,7.787549,7.796133,7.7794952
2011-08-16,7.769486,7.7764983,7.775219,7.8023443,7.777789,7.799227,7.787998
2011-08-17,7.7889123,7.789126,7.796878,7.782701,7.7983494,7.8026204,7.802852
2011-08-18,7.7817435,7.796557,7.801718,7.800146,7.782739,7.804521,7.812383
2011-08-19,7.7869835,7.7900085,7.8060265,7.791303,7.803873,7.826296,7.8256907
2011-08-21,7.7903333,7.80576,7.7982755,7.7908273,7.807386,7.8191996,7.816892
2011-08-22,7.79285,7.79821,7.81052,7.8094745,7.8271217,7.818984,7.815808
2011-08-23,7.8037863,7.8050523,7.8268867,7.8242483,7.8152413,7.7947927,7.7960396
2011-08-24,7.808834,7.8050056,7.820123,7.8102307,7.8175344,7.8213816,7.7939386
2011-08-25,7.814332,7.812231,7.802656,7.8086414,7.807157,7.8005147,7.7823863
2011-08-26,7.8227277,7.822401,7.809544,7.8015676,7.7910624,7.799695,7.8078957
2011-08-28,7.8144135,7.791708,7.7951307,7.808336,7.794778,7.796997,7.789737
2011-08-29,7.826068,7.795365,7.797902,7.788064,7.793977,7.7778735,7.7769895
2011-08-30,7.8134785,7.795564,7.79579,7.797174,7.789882,7.785898,7.783102
2011-08-31,7.786169,7.7927265,7.7836947,7.7896657,7.7829814,7.7718954,7.7804294
2011-09-01,7.7856617,7.7768073,7.790083,7.7718987,7.76842,7.7763414,7.7816277
2011-09-02,7.7988667,7.7848167,7.7854066,7.7877684,7.77782,7.7746058,7.7708254
2011-09-04,7.794041,7.7717113,7.7732415,7.7808223,7.7726154,7.784328,7.7738495
2011-09-05,7.787294,7.7914753,7.7812657,7.7783737,7.7861996,7.7732964,7.7934113
2011-09-06,7.782176,7.7784147,7.778857,7.778777,7.7722487,7.7743063,7.7972083
2011-09-07,7.7824197,7.7838187,7.7727876,7.787952,7.7790613,7.7851105,7.7733774
2011-09-08,7.7782264,7.783194,7.781197,7.7695255,7.777439,7.772797,7.7939854
2011-09-09,7.7747526,7.785741,7.7871447,7.7725015,7.786026,7.77393,7.781204
2011-09-11,7.7714734,7.7716727,7.7714553,7.7846694,7.771686,7.7859125,7.7894244
2011-09-12,7.781145,7.776901,7.7789435,7.774735,7.771104,7.7722507,7.7588577
2011-09-13,7.7899675,7.7707434,7.7744083,7.777313,7.7816744,7.773527,7.7758226
2011-09-14,7.7860494,7.785257,7.7687035,7.7899218,7.7793756,7.768155,7.749855
2011-09-15,7.772484,7.7765293,7.7639184,7.804077,7.772483,7.786862,7.786543
2011-09-16,7.7841983,7.7702093,7.761209,7.774462,7.786789,7.7394505,7.7275424
2011-09-18,7.783946,7.7862577,7.7738767,7.793907,7.754812,7.7592397,7.788714
2011-09-19,7.7822986,7.757553,7.7624435,7.7533545,7.7894216,7.748054,7.7656026
2011-09-20,7.7731695,7.761386,7.793331,7.7736754,7.739669,7.7869787,7.741798
2011-09-21,7.761704,7.760414,7.8005033,7.767193,7.750169,7.758019,7.7491145
2011-09-22,7.768466,7.741179,7.77134,7.7516847,7.777849,7.7726316,7.775964
2011-09-23,7.7481213,7.7877145,7.7284775,7.757819,7.7404943,7.741632,7.764573
