,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF
2011-11-20,1514.4254,1514.4547,1514.4342,1514.4338,1518.6758,1531.3524,1543.546
2011-11-21,1514.3792,1514.519,1514.4119,1518.7438,1531.4264,1543.9548,1551.3112
2011-11-22,1514.4486,1514.4575,1518.7174,1531.3834,1544.076,1551.1387,1553.6548
2011-11-23,1514.3232,1518.7478,1530.9027,1543.884,1551.1393,1553.65,1554.7031
2011-11-24,1518.7327,1531.6274,1543.1162,1551.4346,1553.6586,1554.596,1555.4727
2011-11-25,1531.3715,1543.9534,1551.1825,1553.6536,1554.674,1555.4532,1558.7539
2011-11-27,1543.8031,1551.159,1553.691,1554.6794,1555.4192,1558.7498,1559.6831
2011-11-28,1551.284,1553.6622,1554.6207,1555.4221,1558.6758,1559.6588,1573.0798
2011-11-29,1553.6855,1554.6753,1555.415,1558.7438,1559.6798,1573.3757,1576.9559
2011-11-30,1554.6539,1555.4187,1558.7854,1559.7036,1573.2405,1576.9703,1578.3721
2011-12-01,1555.4053,1558.7502,1559.7578,1573.4417,1576.9991,1578.2849,1578.4702
2011-12-02,1558.771,1559.6982,1573.2493,1576.9503,1578.3397,1578.3519,1578.9254
2011-12-04,1559.7168,1573.0339,1576.9254,1578.3414,1578.4484,1578.9213,1579.603
2011-12-05,1573.4884,1577.0046,1578.2544,1578.3789,1578.9027,1579.5803,1582.966
2011-12-06,1576.9258,1578.3064,1578.4072,1578.9016,1579.596,1582.9669,1582.9504
2011-12-07,1578.3301,1578.3693,1578.8118,1579.5535,1582.9155,1582.903,1582.9802
2011-12-08,1578.3923,1578.879,1579.5372,1582.9434,1582.9254,1582.93,1582.8811
2011-12-09,1578.923,1579.6569,1582.9229,1582.9359,1582.9727,1582.9176,1582.9178
2011-12-11,1579.5985,1582.9453,1582.8849,1582.9851,1582.9364,1582.9519,1582.8481
2011-12-12,1582.9471,1582.9045,1582.902,1582.8768,1582.9486,1582.9258,1582.8933
2011-12-13,1582.9128,1582.9197,1582.9248,1582.9205,1582.8881,1582.9108,1582.9221
2011-12-14,1582.93,1582.8871,1582.9386,1582.912,1582.9073,1582.8988,1582.9238
2011-12-15,1582.896,1582.9471,1582.9008,1582.8723,1582.9176,1582.9209,1580.2816
2011-12-16,1582.9166,1582.912,1582.9292,1582.9087,1582.8678,1580.3278,1579.6185
2011-12-18,1582.9777,1582.9253,1582.8926,1582.9016,1580.2179,1579.5897,1578.9092
2011-12-19,1582.9336,1582.9464,1582.9595,1580.3138,1579.6063,1578.8546,1578.3823
2011-12-20,1582.8544,1582.9039,1580.2983,1579.6472,1578.8041,1578.4005,1578.2772
2011-12-21,1582.883,1580.3082,1579.5133,1578.8766,1578.3529,1578.3103,1576.9615
2011-12-22,1580.2515,1579.651,1578.869,1578.4148,1578.286,1576.9255,1561.3738
2011-12-23,1579.5858,1578.964,1578.3723,1578.2885,1576.9882,1561.5594,1559.4397
