,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD
2011-12-01,1.2741121,1.2847657,1.2808514,1.2777503,1.2898453,1.2834742,1.2831396
2011-12-02,1.2810345,1.2786527,1.282307,1.2874234,1.2860706,1.2824123,1.2841125
2011-12-04,1.2852815,1.285757,1.2853947,1.2866042,1.2881576,1.2826953,1.2911814
2011-12-05,1.2821883,1.2806597,1.2839093,1.2801065,1.282165,1.2862731,1.2913069
2011-12-06,1.2857306,1.281486,1.2795197,1.2805839,1.2828511,1.2844518,1.2840354
2011-12-07,1.2839478,1.2851541,1.2854589,1.2850013,1.2892427,1.2849295,1.2847967
2011-12-08,1.2903452,1.2849145,1.2882234,1.2908374,1.2859666,1.290796,1.2923096
2011-12-09,1.2844448,1.2852175,1.2829754,1.2897781,1.2891128,1.289,1.2923038
2011-12-11,1.2882291,1.2920291,1.2885008,1.2950681,1.2997439,1.2939049,1.2942175
2011-12-12,1.294361,1.288131,1.2913463,1.290672,1.2912316,1.2909188,1.2924373
2011-12-13,1.2853312,1.2907515,1.2889583,1.2883284,1.2945817,1.2939413,1.2953198
2011-12-14,1.2906231,1.2915817,1.2914279,1.2938566,1.2940357,1.2945193,1.2937993
2011-12-15,1.2904719,1.290911,1.2923473,1.293807,1.295085,1.2936534,1.2958925
2011-12-16,1.2921672,1.296993,1.2960583,1.2937279,1.2968318,1.297811,1.2965676
