,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD
2011-10-07,1.5843427,1.5790813,1.5652789,1.5712237,1.5721995,1.5650235,1.5645839
2011-10-09,1.5817696,1.5796363,1.5764256,1.5676221,1.5723614,1.5639472,1.5745049
2011-10-10,1.575063,1.5747603,1.5721794,1.5732298,1.5677433,1.5679911,1.5721773
2011-10-11,1.5736637,1.5730047,1.5762511,1.5693697,1.574357,1.5693502,1.5649911
2011-10-12,1.5730426,1.5676172,1.5586399,1.5663754,1.5583855,1.5623207,1.5640708
2011-10-13,1.5707986,1.5731679,1.5681528,1.5693073,1.5598824,1.5663171,1.5553406
2011-10-14,1.5686425,1.5728455,1.5682435,1.5664165,1.5778459,1.5640662,1.5805261
2011-10-16,1.5632113,1.5684141,1.5701034,1.5657055,1.575632,1.5765746,1.5676882
2011-10-17,1.5607164,1.5613732,1.5621034,1.579298,1.5669239,1.5706247,1.5830436
2011-10-18,1.5642178,1.5671978,1.5678724,1.5749772,1.5661718,1.5689366,1.571604
2011-10-19,1.5681881,1.5620422,1.5685418,1.5683973,1.5730534,1.5693891,1.5640846
2011-10-20,1.5720569,1.5731552,1.5658573,1.5644934,1.5666469,1.5680081,1.5570165
2011-10-21,1.5684916,1.5650942,1.5754601,1.5672807,1.5690069,1.572844,1.5691926
2011-10-23,1.5631452,1.5702004,1.5697688,1.5711457,1.5740216,1.5700675,1.5656248
2011-10-24,1.5628464,1.568073,1.5791788,1.5695758,1.5657061,1.572345,1.5676184
2011-10-25,1.5654556,1.569966,1.5686972,1.5685399,1.5667155,1.569709,1.5719508
2011-10-26,1.5598298,1.5719006,1.570943,1.5692331,1.5651623,1.5677731,1.5693157
2011-10-27,1.5651855,1.5681448,1.5683773,1.5696933,1.5601344,1.5697142,1.5709723
2011-10-28,1.5733991,1.5697429,1.5575645,1.5652454,1.5689454,1.5636523,1.5711266
2011-10-30,1.5597926,1.557991,1.5643821,1.5726621,1.5682257,1.569988,1.5743482
2011-10-31,1.5688123,1.5652239,1.5709411,1.567486,1.5645384,1.5695513,1.5743135
2011-11-01,1.5692177,1.5697901,1.5638244,1.5745234,1.5766965,1.5742551,1.5753195
2011-11-02,1.5698801,1.5787442,1.5726222,1.57115,1.576233,1.580231,1.5755138
2011-11-03,1.5661911,1.5521623,1.5726472,1.5725567,1.5767124,1.5770354,1.5756278
2011-11-04,1.5665551,1.5679715,1.5755054,1.5651274,1.5817685,1.5807881,1.5810963
2011-11-06,1.5705721,1.5767692,1.5752094,1.5780482,1.5766695,1.5824991,1.5788095
2011-11-07,1.5699418,1.5755824,1.5773329,1.5766977,1.5831647,1.5819162,1.5872303
2011-11-08,1.5756943,1.5774742,1.5818754,1.5794024,1.5843754,1.5871658,1.5949426
2011-11-09,1.5786941,1.5802344,1.581827,1.5814061,1.5888592,1.5912817,1.59081
2011-11-10,1.5794759,1.5804923,1.581742,1.5891305,1.5927616,1.5933585,1.5957814
2011-11-11,1.5813644,1.582149,1.5863459,1.5939163,1.5946438,1.5910147,1.5907998
2011-11-13,1.5784863,1.5858071,1.5763983,1.5829595,1.5931062,1.5946815,1.5958321
2011-11-14,1.58981,1.5925574,1.579459,1.5927422,1.5876341,1.5904741,1.5906216
2011-11-15,1.5906477,1.5876518,1.5941744,1.5924414,1.588486,1.594847,1.595943
2011-11-16,1.5863875,1.590657,1.5935408,1.5937947,1.5954536,1.5904611,1.590553
2011-11-17,1.585418,1.6003149,1.5942649,1.5996518,1.592901,1.5952083,1.5962226
2011-11-18,1.5887083,1.5962981,1.5930556,1.5884366,1.5934956,1.5905658,1.5985318
2011-11-20,1.5953463,1.5917379,1.592985,1.5962492,1.6015781,1.595514,1.5906844
2011-11-21,1.5906862,1.5928049,1.5939004,1.5950872,1.5937932,1.5905803,1.5949501
2011-11-22,1.5949293,1.5955688,1.5920837,1.5918572,1.5952077,1.5955985,1.5905421
2011-11-23,1.5935452,1.5925333,1.5929236,1.5951738,1.5923877,1.5904454,1.5950491
2011-11-24,1.5890037,1.5909321,1.5939267,1.5916827,1.5774411,1.5956535,1.5903852
2011-11-25,1.5893046,1.5964726,1.5920691,1.5953989,1.5887641,1.590523,1.5952295
2011-11-27,1.5982577,1.5920323,1.593081,1.5917454,1.5954287,1.5960248,1.5903981
2011-11-28,1.5961093,1.5932503,1.5941898,1.5955257,1.5916941,1.5904622,1.5953578
2011-11-29,1.5797502,1.5870938,1.5919559,1.5942799,1.594526,1.5960895,1.5902734
2011-11-30,1.5998281,1.6031877,1.5930574,1.5928924,1.5908949,1.5904261,1.5887365
2011-12-01,1.5850221,1.593354,1.5942954,1.5942788,1.5940444,1.5940206,1.5810926
2011-12-02,1.5904882,1.5940666,1.5919516,1.5956669,1.588906,1.5822489,1.585212
2011-12-04,1.5943681,1.5956537,1.5930457,1.5820565,1.5841258,1.5792551,1.5783052
2011-12-05,1.5984406,1.5847987,1.5997138,1.5839906,1.5802524,1.5723083,1.5740132
2011-12-06,1.592556,1.5928203,1.5847527,1.5716221,1.5779374,1.566287,1.5690011
2011-12-07,1.5917001,1.5835469,1.5798576,1.5774221,1.5662777,1.5685513,1.5624802
2011-12-08,1.5818553,1.5833296,1.5823789,1.5760481,1.5722036,1.587435,1.5644555
2011-12-09,1.5805954,1.5731827,1.5744693,1.5576575,1.5938382,1.5702816,1.5608552
2011-12-11,1.5811565,1.5770557,1.5630326,1.5738149,1.5776427,1.5737821,1.5677361
2011-12-12,1.5745169,1.5766011,1.5689294,1.5646975,1.5773611,1.5779717,1.5654914
2011-12-13,1.5804653,1.580099,1.5597789,1.5595573,1.5607578,1.560681,1.5727965
2011-12-14,1.5878137,1.5628499,1.5622317,1.5732608,1.5604757,1.5688694,1.5592026
2011-12-15,1.5699623,1.5693791,1.5674154,1.5778451,1.5674193,1.5638846,1.5589361
