,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF
2011-07-22,0.83921427,0.8389912,0.83891237,0.838648,0.8377672,0.8376726,0.8357243
2011-07-24,0.83973765,0.83847255,0.83800894,0.83717936,0.8377746,0.83675814,0.83527
2011-07-25,0.83814263,0.838098,0.8365622,0.83697784,0.83563447,0.8358184,0.8355076
2011-07-26,0.83836263,0.8371935,0.8370009,0.8358657,0.8356189,0.83487904,0.83362025
2011-07-27,0.83654004,0.83588225,0.8359374,0.8358454,0.83479285,0.8339229,0.83254087
2011-07-28,0.8373345,0.8356446,0.83649963,0.8344794,0.83306104,0.83325744,0.8317659
2011-07-29,0.8361956,0.8353868,0.8349202,0.83361506,0.8311867,0.8327506,0.8232994
2011-07-31,0.83567953,0.8354503,0.83242154,0.83186185,0.83266467,0.8218302,0.82135963
2011-08-01,0.83485425,0.8327671,0.83369964,0.83149797,0.8225364,0.8219054,0.8208836
2011-08-02,0.83311045,0.8335177,0.8315807,0.8217169,0.8203854,0.82179,0.81905633
2011-08-03,0.83322334,0.83186203,0.8227381,0.8206186,0.82085997,0.817162,0.8194455
2011-08-04,0.83206546,0.8225284,0.8208504,0.8205336,0.8177987,0.8166152,0.81799954
2011-08-05,0.8208902,0.8229968,0.8207765,0.8202159,0.81876034,0.8164891,0.8147681
2011-08-07,0.8215491,0.8196133,0.8213473,0.81799847,0.81536096,0.8154363,0.8157842
2011-08-08,0.8199881,0.8193294,0.81773007,0.81698424,0.81654096,0.81228125,0.8139035
2011-08-09,0.8190777,0.81900424,0.81612074,0.8156468,0.8145426,0.8129112,0.81139785
2011-08-10,0.81766087,0.8181859,0.8155855,0.8150245,0.8135225,0.8103508,0.8043651
2011-08-11,0.8159109,0.81606317,0.8150461,0.8130088,0.81099594,0.80534345,0.80256176
2011-08-12,0.8162153,0.8160461,0.8132152,0.81082076,0.8048926,0.80283153,0.8014819
2011-08-14,0.8153122,0.81276965,0.8097468,0.806803,0.8009772,0.8015056,0.79991806
