,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP
2011-08-31,0.8772528,0.87801766,0.87681615,0.87831247,0.87867045,0.8770833,0.8742883
2011-09-01,0.8765973,0.8786764,0.8755275,0.878248,0.87793136,0.87780035,0.8757001
2011-09-02,0.8773396,0.8769112,0.8763188,0.87654644,0.8775356,0.87825716,0.8759927
2011-09-04,0.87582916,0.87766993,0.8775478,0.876438,0.8758422,0.8774055,0.8768792
2011-09-05,0.8760488,0.8790304,0.87990427,0.8800383,0.8735105,0.87892205,0.8792615
2011-09-06,0.8759268,0.8778916,0.87789285,0.87672895,0.87746227,0.875579,0.8755715
2011-09-07,0.8742825,0.8752472,0.8738612,0.87082994,0.8770619,0.8745925,0.87413776
2011-09-08,0.87626266,0.87603366,0.8753912,0.8751547,0.8751254,0.8755597,0.87542725
2011-09-09,0.878652,0.87704206,0.8753695,0.8774047,0.8741823,0.87545806,0.8756054
2011-09-11,0.8806411,0.87416136,0.8770331,0.8782321,0.87555623,0.87881476,0.87722945
2011-09-12,0.8754597,0.87491965,0.8740796,0.8753736,0.8755208,0.8768866,0.8740245
2011-09-13,0.87200785,0.87365943,0.87455285,0.8757515,0.87250906,0.8737822,0.8750485
2011-09-14,0.8757366,0.87545943,0.874627,0.87354267,0.8747046,0.8750721,0.8767862
2011-09-15,0.8762194,0.8748865,0.8731624,0.87462145,0.8729348,0.8739792,0.87391216
2011-09-16,0.8745308,0.8752648,0.8734904,0.8755138,0.87589765,0.87899673,0.876863
2011-09-18,0.8769023,0.87528455,0.87503725,0.87587255,0.87798834,0.875503,0.87517273
2011-09-19,0.8735558,0.8760734,0.8726423,0.8721839,0.8738067,0.8719789,0.87465423
2011-09-20,0.88169444,0.8732125,0.87531465,0.8781886,0.8779814,0.8808693,0.87269807
2011-09-21,0.8740884,0.8740321,0.873161,0.87013185,0.87099826,0.8725743,0.87246823
2011-09-22,0.8741205,0.87371767,0.8739091,0.8778925,0.877162,0.8725458,0.8737086
2011-09-23,0.8712069,0.87500775,0.87751245,0.8731155,0.87121344,0.87167007,0.87220824
2011-09-25,0.873701,0.8720299,0.87202024,0.87313485,0.8728671,0.87392324,0.8717557
2011-09-26,0.8725779,0.87309396,0.8727187,0.87378573,0.8723358,0.87328184,0.87023735
2011-09-27,0.8711722,0.87240565,0.8713592,0.8700712,0.8725803,0.8726285,0.8731482
2011-09-28,0.8741493,0.87168956,0.87183475,0.87325794,0.87431276,0.87473154,0.8738146
2011-09-29,0.87494326,0.874655,0.8764024,0.87291586,0.87202984,0.8714818,0.8738607
2011-09-30,0.8741176,0.8741987,0.87340295,0.87538254,0.8730781,0.8758284,0.87467396
2011-10-02,0.87239385,0.87218404,0.8747364,0.8748623,0.87509894,0.8732667,0.8711058
2011-10-03,0.87430704,0.87436444,0.8713734,0.8745173,0.87297785,0.8736161,0.87219214
2011-10-04,0.8721745,0.8718475,0.87035465,0.87460506,0.8698313,0.8713974,0.87312853
2011-10-05,0.87192917,0.87600696,0.8735018,0.87012863,0.87215126,0.8708459,0.86722493
2011-10-06,0.87322444,0.8727037,0.8717634,0.8704426,0.87090373,0.8722955,0.87002695
2011-10-07,0.8736806,0.87376213,0.87385154,0.8717634,0.871343,0.86817265,0.86995864
2011-10-09,0.8705048,0.87292284,0.87314856,0.8692863,0.86932266,0.8717428,0.86621743
2011-10-10,0.87360305,0.87108535,0.8649013,0.87190115,0.8683198,0.8703786,0.87202805
2011-10-11,0.86997235,0.872175,0.8721456,0.8718928,0.8700172,0.87378395,0.8692499
2011-10-12,0.87155247,0.87008786,0.8700913,0.87195265,0.8729073,0.87036735,0.8758444
2011-10-13,0.87028015,0.86968446,0.87409544,0.8676758,0.86970556,0.8695805,0.8687547
2011-10-14,0.86990607,0.8699701,0.8697949,0.87122935,0.870178,0.87254584,0.86467785
2011-10-16,0.86937153,0.8683369,0.87001055,0.8693115,0.86994267,0.8704498,0.86939496
2011-10-17,0.87064666,0.8696437,0.8701983,0.8692612,0.8687818,0.8691485,0.8675245
2011-10-18,0.86954176,0.86882114,0.8710287,0.86886054,0.8724927,0.8705908,0.8668439
2011-10-19,0.8753768,0.8739555,0.8735064,0.8739954,0.8745912,0.87468684,0.87533844
2011-10-20,0.87145275,0.86881983,0.86790544,0.8663322,0.86721665,0.8686321,0.87073874
2011-10-21,0.8722412,0.87046134,0.8675915,0.8705337,0.8733865,0.86969876,0.8717271
2011-10-23,0.8695406,0.8674712,0.8690193,0.870507,0.87317836,0.8712717,0.8742306
2011-10-24,0.8696059,0.86985564,0.8704145,0.8696081,0.8676827,0.8713305,0.86816895
2011-10-25,0.8697274,0.86489594,0.8632409,0.8665154,0.86906517,0.8691282,0.86729187
2011-10-26,0.8692049,0.8654038,0.8702238,0.867756,0.870316,0.8717141,0.870309
2011-10-27,0.8699809,0.8680093,0.8703698,0.87129927,0.8657312,0.87209654,0.8724816
2011-10-28,0.87172943,0.872519,0.8694496,0.8710191,0.87198603,0.8687782,0.87218535
2011-10-30,0.8730494,0.8708109,0.873632,0.870272,0.8697869,0.87026083,0.8733871
2011-10-31,0.8689418,0.87106884,0.8710149,0.87283397,0.8683894,0.86825514,0.8684563
2011-11-01,0.8708875,0.8695485,0.8702805,0.8708838,0.87134624,0.8693964,0.8690402
2011-11-02,0.86896574,0.8735367,0.87186766,0.8710077,0.86952907,0.8705587,0.8700484
2011-11-03,0.86873436,0.87236214,0.8700605,0.8694949,0.8667692,0.86935407,0.8642216
2011-11-04,0.87143946,0.8719248,0.8664001,0.86858827,0.8707568,0.86830515,0.8700188
2011-11-06,0.8714996,0.8706378,0.86845,0.87089074,0.8687855,0.86947656,0.8712648
2011-11-07,0.87021816,0.8675224,0.8703307,0.8696413,0.8673459,0.86692995,0.868067
2011-11-08,0.86877596,0.8694829,0.86874855,0.8687902,0.86901015,0.8679482,0.86943126
2011-11-09,0.8686674,0.86939955,0.868902,0.86753494,0.86840385,0.8687839,0.8705709
2011-11-10,0.86940527,0.8664896,0.8686854,0.8673459,0.8681859,0.86611557,0.86828554
2011-11-11,0.8697743,0.86731744,0.8666903,0.867727,0.8688655,0.8680648,0.8690536
2011-11-13,0.86879927,0.8690691,0.86810976,0.86885965,0.8679767,0.86800873,0.8686428
2011-11-14,0.8681016,0.8679085,0.86735827,0.8672997,0.86766165,0.8671382,0.86792696
2011-11-15,0.8669396,0.86748767,0.8668359,0.86768025,0.8661017,0.865556,0.867805
2011-11-16,0.86751246,0.8678874,0.8681958,0.86950475,0.86824644,0.86769,0.86747766
2011-11-17,0.86788815,0.8672322,0.8658008,0.8679281,0.8680751,0.8648424,0.8634597
2011-11-18,0.8665596,0.86598957,0.8683852,0.86785614,0.86733556,0.86339355,0.8639449
2011-11-20,0.8647829,0.8636104,0.8641505,0.8675095,0.86478174,0.862967,0.8644419
2011-11-21,0.8644811,0.86569047,0.86702436,0.8634244,0.85921514,0.860072,0.8579201
2011-11-22,0.86638796,0.8685394,0.86419344,0.86432666,0.8591278,0.86433226,0.8569131
2011-11-23,0.8688353,0.86498904,0.86499417,0.86311877,0.8614797,0.86173046,0.862484
2011-11-24,0.8650185,0.8650427,0.8596654,0.8641049,0.85980296,0.8620355,0.86140895
2011-11-25,0.8648145,0.8620006,0.8619906,0.8631348,0.8595693,0.8569821,0.8585717
2011-11-27,0.86145926,0.8623842,0.8613008,0.860482,0.8601742,0.8602197,0.86027324
2011-11-28,0.8588443,0.8582945,0.8591537,0.8618355,0.8594832,0.85853934,0.85965276
2011-11-29,0.8612715,0.8655787,0.8572466,0.8585577,0.8600826,0.86008185,0.8549223
2011-11-30,0.8614348,0.85772467,0.860324,0.85753477,0.859149,0.8631733,0.8563825
2011-12-01,0.8586734,0.8589195,0.8590612,0.8589703,0.8598842,0.85825455,0.856915
2011-12-02,0.8559058,0.8599183,0.85830355,0.8586328,0.85913336,0.85772264,0.8564048
2011-12-04,0.85879433,0.8576659,0.85663825,0.8572812,0.85818756,0.85722125,0.8560647
2011-12-05,0.8571875,0.85750926,0.8583887,0.8572575,0.8569224,0.8563322,0.8548249
2011-12-06,0.85973525,0.85828996,0.85925525,0.85873324,0.8567711,0.857409,0.8584248
2011-12-07,0.85667896,0.85864055,0.85680324,0.8579558,0.8565122,0.85827947,0.8588289
2011-12-08,0.8588804,0.8572498,0.8581858,0.8563524,0.85569084,0.8554619,0.8550812
2011-12-09,0.85903835,0.8584155,0.8571377,0.85729593,0.85786295,0.8569461,0.85593593
2011-12-11,0.85956895,0.8581755,0.85860336,0.85790086,0.8553018,0.85610723,0.85606563
2011-12-12,0.8568615,0.85635674,0.8567846,0.85774356,0.85728514,0.85628366,0.8577436
2011-12-13,0.8557942,0.85552084,0.8560157,0.85410756,0.8548392,0.85360986,0.85420465
