,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD
2011-10-27,1.3678592,1.3662869,1.3641781,1.3650057,1.3669842,1.3614563,1.3689113
2011-10-28,1.3666568,1.3566123,1.3646748,1.3636187,1.3691152,1.3689215,1.3720586
2011-10-30,1.3627031,1.3660213,1.3691536,1.3639195,1.368396,1.3696035,1.3698189
2011-10-31,1.3687537,1.3696098,1.3686482,1.3688087,1.3711286,1.3701062,1.3761005
2011-11-01,1.3641851,1.3707592,1.3683507,1.3804622,1.3791978,1.3696163,1.3688577
2011-11-02,1.3673339,1.3694379,1.375082,1.372323,1.373883,1.3711084,1.3672031
2011-11-03,1.3721001,1.3689392,1.3760062,1.3654299,1.362439,1.3753687,1.3806329
2011-11-04,1.367562,1.3569967,1.3654959,1.3733759,1.3761411,1.3769748,1.3749856
2011-11-06,1.3720831,1.3758602,1.383488,1.3713335,1.3693585,1.3740686,1.3774351
2011-11-07,1.3721944,1.3645345,1.3756793,1.383586,1.3727255,1.3794296,1.380988
2011-11-08,1.3721585,1.3698356,1.3744514,1.3732111,1.3788272,1.3788291,1.3787184
2011-11-09,1.3562917,1.3727647,1.3722411,1.3746741,1.3825192,1.370836,1.3765467
2011-11-10,1.3658177,1.3763704,1.3735876,1.3797563,1.3839493,1.3793736,1.3692689
2011-11-11,1.3800721,1.3760465,1.3765326,1.3645062,1.3827574,1.3628122,1.369693
2011-11-13,1.3755168,1.3744061,1.3883473,1.3708171,1.3710306,1.3791296,1.3776724
2011-11-14,1.3807122,1.3668786,1.3867699,1.3747878,1.3684088,1.3779722,1.3736401
2011-11-15,1.3816383,1.3616514,1.3744508,1.3745763,1.3773956,1.3772805,1.3639928
2011-11-16,1.368461,1.379135,1.3695178,1.374165,1.3587561,1.3746058,1.387073
2011-11-17,1.384834,1.3616376,1.3847507,1.3630648,1.3772619,1.3818718,1.3719068
2011-11-18,1.3627989,1.3685281,1.3763448,1.3670739,1.3745732,1.3753932,1.3724625
2011-11-20,1.3695834,1.3769815,1.3778832,1.3676249,1.3768336,1.3758537,1.3765235
2011-11-21,1.3789746,1.3758897,1.3792027,1.3763964,1.3768873,1.3748375,1.3742089
2011-11-22,1.3766798,1.3781288,1.3752414,1.3721794,1.3775359,1.3763956,1.3781273
2011-11-23,1.3732879,1.3757532,1.3792151,1.3753397,1.3744406,1.366592,1.3740033
2011-11-24,1.3810706,1.3749344,1.3737279,1.3731794,1.372146,1.3790193,1.3741295
2011-11-25,1.375077,1.3764424,1.3768443,1.3763331,1.3733968,1.3720601,1.3705704
2011-11-27,1.3766353,1.3759089,1.3712618,1.3734667,1.3723832,1.3709527,1.3688108
2011-11-28,1.3726599,1.3746029,1.3738085,1.3725016,1.3720441,1.3662487,1.368063
2011-11-29,1.3766657,1.3770884,1.3709211,1.3694756,1.369213,1.3666148,1.3626757
2011-11-30,1.3751103,1.3730654,1.3705021,1.3691812,1.3646562,1.3619035,1.3605728
2011-12-01,1.3731077,1.3691834,1.370844,1.365771,1.3601263,1.3584082,1.3593127
2011-12-02,1.3706654,1.3684084,1.3660989,1.3630364,1.3589973,1.3550429,1.3554045
2011-12-04,1.3677819,1.3645962,1.3627768,1.3601992,1.3536987,1.3578092,1.3483707
2011-12-05,1.3646553,1.3619752,1.3552257,1.3552974,1.3514324,1.3519312,1.3504345
2011-12-06,1.3629625,1.3570698,1.3504474,1.3517351,1.3482956,1.3511965,1.3471376
2011-12-07,1.3585253,1.355401,1.3519044,1.350044,1.3546218,1.344482,1.3475873
2011-12-08,1.353946,1.3510203,1.349119,1.3511522,1.3477758,1.3490545,1.3467813
2011-12-09,1.3542843,1.3485627,1.3447416,1.3504059,1.3497746,1.3452823,1.3375698
2011-12-11,1.3517282,1.3469322,1.3513176,1.3489395,1.3498994,1.3516998,1.3437748
2011-12-12,1.3525597,1.3547003,1.3433094,1.3387866,1.3386215,1.347541,1.3408368
2011-12-13,1.3534682,1.3504956,1.353725,1.3500823,1.3424689,1.3496935,1.3513633
2011-12-14,1.3404506,1.347709,1.3439193,1.3445293,1.3453711,1.3308082,1.3409054
2011-12-15,1.3440647,1.3452232,1.3454459,1.346247,1.3413131,1.3475161,1.3385158
2011-12-16,1.3477226,1.3421125,1.3436,1.3384464,1.3433166,1.3351811,1.3343964
