,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY
2011-11-15,85.9279,85.838875,85.89856,85.89017,85.897766,85.8665,85.85112
2011-11-16,85.85248,85.83734,85.90178,85.82628,85.866104,85.83063,85.86517
2011-11-17,85.837364,85.87872,85.94799,85.82051,85.79919,85.88994,85.82973
2011-11-18,85.91395,85.86996,85.856964,85.90472,85.831566,85.89177,85.89679
2011-11-20,85.92962,85.86283,85.859116,85.926674,85.89975,85.85085,85.87943
2011-11-21,85.85249,85.89998,85.865746,85.854805,85.86722,85.85989,85.85582
2011-11-22,85.83691,85.839005,85.91299,85.84345,85.798416,85.86725,85.7813
2011-11-23,85.9149,85.83751,85.83006,85.87717,85.8315,85.77318,85.672615
2011-11-24,85.93069,85.87982,85.8801,85.86164,85.77258,85.650734,85.58916
2011-11-25,85.85223,85.87071,85.8429,85.82761,85.69412,85.61121,85.60118
2011-11-27,85.83635,85.86312,85.80067,85.6841,85.56928,85.6215,85.6239
2011-11-28,85.91561,85.82409,85.68236,85.57921,85.6449,85.595215,85.567986
2011-11-29,85.76256,85.743576,85.65949,85.6379,85.66039,85.53905,85.50908
2011-11-30,85.73027,85.65093,85.633965,85.62041,85.648636,85.52214,85.08349
2011-12-01,85.563896,85.63729,85.64793,85.55902,85.501015,85.06465,84.84972
2011-12-02,85.58686,85.58448,85.54621,85.518,85.219635,84.950516,84.834114
2011-12-04,85.57541,85.5887,85.495605,85.07818,85.02747,84.829544,84.79997
2011-12-05,85.65823,85.559074,85.16525,85.0326,84.83746,84.79849,84.60306
2011-12-06,85.52264,85.092285,84.90908,84.829475,84.83736,84.7021,84.553474
2011-12-07,84.995804,84.858,84.89132,84.816986,84.63782,84.66821,84.56199
2011-12-08,85.03433,84.820946,84.84942,84.6363,84.584755,84.53557,84.40824
2011-12-09,84.835785,84.77,84.656525,84.59786,84.52207,84.43297,84.1834
2011-12-11,84.770805,84.67634,84.61078,84.54631,84.48734,84.192154,84.06478
2011-12-12,84.65134,84.63687,84.53667,84.41336,84.19441,84.03957,84.04616
2011-12-13,84.621414,84.580215,84.42698,84.23154,84.090485,84.0245,83.94739
2011-12-14,84.5825,84.39661,84.1874,84.09032,84.022644,84.0574,84.00909
2011-12-15,84.38839,84.15342,84.08373,84.10722,84.03397,83.980736,83.962364
2011-12-16,84.21028,84.03369,84.05213,84.05364,83.9586,83.94741,83.85334
2011-12-18,84.13043,83.97937,84.03792,83.87825,83.96828,83.85635,83.8545
2011-12-19,84.0433,84.0105,83.97538,83.902275,83.85136,83.83542,83.80465
2011-12-20,83.97824,83.918274,83.946236,83.87529,83.837265,83.88156,83.82587
2011-12-21,83.98417,83.93358,83.900536,83.845825,83.83752,83.80287,83.80703
2011-12-22,83.91595,83.88916,83.82187,83.83503,83.809616,83.78231,83.7388
2011-12-23,83.86524,83.86578,83.81217,83.845604,83.80045,83.74744,83.73397
2011-12-27,83.90193,83.86798,83.806335,83.80769,83.77893,83.747215,83.65406
2011-12-28,83.83113,83.834595,83.75236,83.769905,83.735214,83.6587,83.66617
2011-12-29,83.80298,83.81466,83.76758,83.693344,83.67082,83.616875,83.6112
2011-12-30,83.78364,83.72689,83.69073,83.70475,83.65103,83.580086,83.568634
2012-01-02,83.75495,83.73907,83.668884,83.632126,83.60829,83.55859,83.49611
2012-01-03,83.75591,83.64796,83.67667,83.62201,83.53898,83.53636,83.460556
2012-01-04,83.65166,83.61288,83.582596,83.57896,83.51775,83.48551,83.3271
2012-01-05,83.6638,83.6727,83.58812,83.52148,83.44509,83.38033,83.32664
2012-01-06,83.614746,83.5443,83.50082,83.46092,83.37312,83.360054,83.341125
2012-01-08,83.56294,83.464386,83.43163,83.36804,83.38668,83.31685,83.215485
2012-01-09,83.520424,83.391884,83.32272,83.38631,83.29686,83.236374,83.07747
2012-01-10,83.47235,83.36381,83.27866,83.28982,83.20984,83.07459,82.969666
2012-01-11,83.36722,83.4112,83.30421,83.21979,83.06553,83.00414,82.84007
2012-01-12,83.35608,83.304565,83.220215,83.07227,82.94249,82.85914,82.76386
2012-01-13,83.26948,83.209496,83.05425,82.91676,82.859955,82.76321,82.6772
2012-01-15,83.2212,83.07727,82.9458,82.87935,82.7812,82.642395,82.4517
2012-01-16,83.084755,82.92034,82.853584,82.76389,82.65994,82.44723,82.4581
2012-01-17,82.97067,82.87216,82.77396,82.6466,82.459854,82.428535,82.34924
2012-01-18,82.90137,82.77253,82.6661,82.419136,82.40744,82.293236,82.307884
2012-01-19,82.76862,82.6465,82.4501,82.47822,82.33088,82.3207,82.3376
2012-01-20,82.61694,82.45359,82.41945,82.316734,82.29292,82.32002,82.3333
2012-01-22,82.485016,82.4191,82.288994,82.29671,82.35633,82.278305,82.26785
2012-01-23,82.40053,82.30719,82.28839,82.31396,82.30935,82.30387,82.25853
2012-01-24,82.26464,82.28195,82.31764,82.29252,82.28203,82.29855,82.2663
2012-01-25,82.29966,82.324066,82.27852,82.30988,82.32852,82.298485,82.4276
2012-01-26,82.32983,82.32568,82.27988,82.29615,82.3308,82.43241,82.4274
