,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF
2011-09-01,0.831813,0.83129823,0.8311785,0.8339923,0.83143395,0.83126575,0.8304137
2011-09-02,0.83112043,0.8302211,0.8300605,0.83077866,0.83022004,0.8299463,0.8286145
2011-09-04,0.8306531,0.82983655,0.83115435,0.829555,0.82940376,0.82733595,0.8315706
2011-09-05,0.83016086,0.8304378,0.82908654,0.82964885,0.83040804,0.8281501,0.8316057
2011-09-06,0.8317683,0.8298311,0.832897,0.82997715,0.83112943,0.8307125,0.82900923
2011-09-07,0.8302045,0.82992667,0.82907534,0.83034813,0.8284907,0.8295022,0.8290913
2011-09-08,0.8307147,0.8298966,0.8304479,0.8304035,0.83130616,0.8301964,0.83017194
2011-09-09,0.83036286,0.8299564,0.8303988,0.83036125,0.8302041,0.83140624,0.8302299
2011-09-11,0.83082676,0.8299132,0.8302758,0.8304188,0.8294006,0.8302757,0.83136666
2011-09-12,0.83127487,0.82997495,0.8297844,0.8303759,0.83038926,0.8295041,0.83242553
2011-09-13,0.8286729,0.8299313,0.8312092,0.8304356,0.8318406,0.8317125,0.8354197
2011-09-14,0.8306055,0.8299953,0.8305453,0.8298009,0.8314991,0.8373073,0.83903015
2011-09-15,0.82967985,0.8299514,0.8309229,0.8319795,0.8359129,0.8385036,0.8406249
2011-09-16,0.8308449,0.8290038,0.8318929,0.8362191,0.8394853,0.83878726,0.8535315
2011-09-18,0.83181214,0.8316861,0.8353174,0.83900565,0.84066767,0.8537998,0.8572648
2011-09-19,0.834143,0.8359883,0.8385538,0.8406973,0.8556453,0.85846466,0.86414695
2011-09-20,0.83527756,0.8389164,0.83911234,0.8542995,0.8562704,0.86298156,0.86677444
2011-09-21,0.83875483,0.84061015,0.85513866,0.8563373,0.863242,0.8680358,0.8730514
2011-09-22,0.8400261,0.85023737,0.8560883,0.86094767,0.8673563,0.87355167,0.8833607
2011-09-23,0.8542518,0.85694957,0.8627061,0.8675205,0.87518704,0.8840448,0.88434315
2011-09-25,0.8571352,0.86403936,0.8671902,0.8723655,0.88459575,0.8834048,0.8842018
2011-09-26,0.8644136,0.86758304,0.87258697,0.8838324,0.8845443,0.8837255,0.8839902
2011-09-27,0.86875236,0.87389714,0.883579,0.8848829,0.8832195,0.88517827,0.8838194
2011-09-28,0.8725451,0.8850659,0.88406116,0.8834532,0.883097,0.8845156,0.8836407
2011-09-29,0.88215816,0.88405854,0.8845265,0.88301784,0.88416857,0.8837228,0.8835125
2011-09-30,0.8846228,0.88405097,0.88494945,0.88473934,0.8853673,0.8829142,0.88583463
2011-10-02,0.8850098,0.88405484,0.8841673,0.8840644,0.88398606,0.8867681,0.8846158
2011-10-03,0.8831177,0.88405883,0.88343567,0.8841357,0.884938,0.8865088,0.8883368
2011-10-04,0.8833508,0.8840625,0.88391966,0.88492477,0.88568956,0.88764143,0.889428
2011-10-05,0.8836708,0.8840664,0.8857926,0.88590306,0.8873077,0.88915664,0.8896936
2011-10-06,0.88512266,0.88530946,0.8846577,0.88712686,0.8873579,0.8901418,0.89155406
2011-10-07,0.88462716,0.88789517,0.88844144,0.889798,0.88928896,0.8906924,0.89620817
2011-10-09,0.8857171,0.88828474,0.89125,0.89192885,0.89192843,0.8957815,0.8980772
2011-10-10,0.88715464,0.8900102,0.8890974,0.8911702,0.89682275,0.8980375,0.8988552
2011-10-11,0.8895625,0.89020485,0.8914411,0.8966727,0.8973947,0.899423,0.9025634
2011-10-12,0.89117277,0.8919405,0.89659286,0.89835525,0.8997677,0.9006975,0.90034646
2011-10-13,0.89192885,0.89587474,0.8963497,0.8997051,0.8970776,0.9026539,0.9030099
2011-10-14,0.8953369,0.8972795,0.899537,0.90107393,0.9009863,0.90531254,0.903606
2011-10-16,0.899594,0.90026057,0.90076464,0.90299463,0.90366364,0.9051069,0.9026959
2011-10-17,0.8986539,0.904011,0.9009093,0.90454113,0.9029443,0.9012023,0.90360403
2011-10-18,0.90170467,0.9037345,0.90264446,0.9001189,0.90136254,0.9011975,0.9026617
2011-10-19,0.9026025,0.902235,0.90153164,0.9034102,0.90373075,0.90301716,0.9035974
2011-10-20,0.9027853,0.9041804,0.9023218,0.9027127,0.90486103,0.90344226,0.9026271
2011-10-21,0.90595424,0.9046827,0.9040608,0.9011626,0.9028187,0.90198666,0.90358865
2011-10-23,0.9035734,0.90393186,0.9052615,0.90456,0.9046079,0.9039829,0.90564585
2011-10-24,0.9029923,0.90581656,0.90209556,0.90186125,0.90375215,0.9037231,0.90544546
2011-10-25,0.90280664,0.9028963,0.90464133,0.90438455,0.9044005,0.90521413,0.9059747
2011-10-26,0.9038832,0.90293586,0.9026394,0.9049991,0.90707153,0.9056031,0.9083165
2011-10-27,0.90320003,0.90288943,0.90339756,0.9057556,0.90548795,0.90708286,0.90802294
2011-10-28,0.90319633,0.9024574,0.9054245,0.90758884,0.9081697,0.90982807,0.91056466
2011-10-30,0.9052964,0.9059707,0.9053671,0.9082811,0.9102263,0.90914,0.91130835
2011-10-31,0.90554637,0.9070178,0.9075397,0.90976185,0.90949184,0.9089479,0.9125448
2011-11-01,0.9076861,0.907502,0.910372,0.9091778,0.9112822,0.91385984,0.9133296
2011-11-02,0.9060372,0.9094402,0.90995455,0.909632,0.91166675,0.91365385,0.9117263
2011-11-03,0.9084092,0.9092713,0.9104934,0.91107535,0.9129715,0.91321164,0.9163236
2011-11-04,0.91008186,0.9122464,0.9124331,0.91055,0.9129702,0.9131019,0.9137351
2011-11-06,0.9094478,0.9116479,0.911877,0.91323894,0.9123808,0.9151734,0.91614234
2011-11-07,0.9123603,0.9139827,0.9142909,0.9121807,0.9142685,0.916305,0.9183731
2011-11-08,0.91335475,0.9118781,0.9131363,0.91464937,0.91324896,0.91543734,0.9168863
2011-11-09,0.91359764,0.9158322,0.9152155,0.916201,0.916638,0.91735154,0.9187924
2011-11-10,0.91289014,0.9151487,0.9146005,0.91528606,0.9177917,0.9179592,0.9185443
2011-11-11,0.9141449,0.9168858,0.9165981,0.91620684,0.91669583,0.9183763,0.9203619
2011-11-13,0.9164905,0.91747123,0.91805565,0.91702646,0.9209593,0.91749233,0.91871905
2011-11-14,0.917184,0.91729337,0.91733694,0.91822904,0.9193777,0.9194803,0.91858655
2011-11-15,0.91820985,0.91769457,0.91658723,0.9195301,0.9186512,0.91922647,0.9192332
2011-11-16,0.9171431,0.9192078,0.9186153,0.91837615,0.918966,0.91927874,0.9186732
2011-11-17,0.9178978,0.91880757,0.91916955,0.9188543,0.9196716,0.920876,0.9187976
2011-11-18,0.9191196,0.91933143,0.9188863,0.9196983,0.91847634,0.91882336,0.9194699
2011-11-20,0.919104,0.91927105,0.9191802,0.9183438,0.91971064,0.91970015,0.919481
2011-11-21,0.9193034,0.91902506,0.91887677,0.91885704,0.91916996,0.9182946,0.91833824
2011-11-22,0.9188535,0.9188122,0.91919076,0.9197597,0.9187294,0.918827,0.91923434
2011-11-23,0.9191083,0.9192918,0.9188662,0.9183138,0.91859096,0.9173701,0.9196729
2011-11-24,0.91932863,0.91902006,0.91920155,0.9188619,0.9197776,0.91940045,0.9177482
2011-11-25,0.91883147,0.9187854,0.91885483,0.9184052,0.91897285,0.9180141,0.91920257
