,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY
2011-07-12,65.2794,65.2868,65.23152,65.24349,65.16415,65.13179,65.138824
2011-07-13,65.319725,65.2802,65.21896,65.15051,65.14212,65.13837,65.146835
2011-07-14,65.23503,65.195946,65.15061,65.14479,65.123825,65.12105,65.07043
2011-07-15,65.18698,65.206314,65.11829,65.113144,65.04792,65.06111,65.05116
2011-07-17,65.15359,65.12023,65.140884,65.10433,65.07956,65.020836,65.048134
2011-07-18,65.15352,65.14864,65.146385,65.09025,65.062546,65.085754,65.03906
2011-07-19,65.14639,65.12637,65.06937,65.06973,65.046326,65.0271,65.01095
2011-07-20,65.09996,65.05174,65.03417,65.01754,65.0163,65.00633,65.02307
2011-07-21,65.06847,65.09718,65.009964,65.00712,65.05109,64.99233,65.021355
2011-07-22,65.071434,65.005135,65.05492,65.03439,65.01805,65.02174,64.99651
2011-07-24,65.06136,65.04635,65.02442,65.055145,64.985596,64.99785,64.99993
2011-07-25,65.03415,65.02802,65.017075,65.0204,64.996254,65.0125,64.96064
2011-07-26,65.009575,65.00031,65.038315,64.98406,64.99724,64.97765,64.961
2011-07-27,64.978264,65.0461,65.02679,64.97945,64.99971,64.95649,64.97145
2011-07-28,64.986946,64.98517,64.99168,64.97797,64.94915,64.984146,64.96157
2011-07-29,65.00406,64.97883,64.994484,64.98414,64.97541,64.96127,64.95441
2011-07-31,64.96851,64.999916,64.965904,64.9692,64.976585,64.93252,64.95737
2011-08-01,64.996994,64.96518,64.96586,64.96367,64.92889,64.96409,64.929504
2011-08-02,64.96439,64.9957,64.94884,64.93051,64.92908,64.94929,64.900665
2011-08-03,64.95555,64.97452,64.95239,64.965836,64.94362,64.940025,64.99533
2011-08-04,64.98403,64.921875,64.95359,64.94934,64.91723,64.89929,64.91416
2011-08-05,64.984924,64.96486,64.92898,64.939835,64.92678,64.912186,64.90307
2011-08-07,64.951485,64.96658,64.92713,64.926346,64.9129,64.8762,64.86913
2011-08-08,64.95706,64.94786,64.938354,64.904854,64.90568,64.86083,64.825645
2011-08-09,64.92856,64.92516,64.91336,64.89525,64.85286,64.839714,64.82926
2011-08-10,64.92415,64.90642,64.8892,64.892204,64.83721,64.78664,64.84125
2011-08-11,64.91271,64.88996,64.85968,64.828606,64.81936,64.77081,64.81802
2011-08-12,64.88566,64.83637,64.81332,64.804,64.82456,64.81466,64.780594
2011-08-14,64.86779,64.813896,64.824875,64.82889,64.78236,64.78576,64.72086
