,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR
2011-09-02,1216.9635,1217.4327,1225.1731,1228.4117,1236.1522,1237.7676,1239.4132
2011-09-04,1217.4244,1225.1497,1228.2054,1236.3734,1237.9349,1239.5911,1240.8798
2011-09-05,1225.0267,1228.2744,1236.1398,1238.0583,1239.5809,1240.9827,1243.7096
2011-09-06,1228.1642,1236.0569,1238.0667,1239.534,1241.0522,1243.739,1245.6619
2011-09-07,1236.0813,1238.065,1239.5839,1240.907,1243.6306,1245.8434,1245.8308
2011-09-08,1238.1113,1239.5721,1241.082,1243.6417,1245.8628,1245.9215,1256.4167
2011-09-09,1239.6018,1240.8064,1243.6794,1245.8237,1245.8934,1256.1184,1258.5105
2011-09-11,1240.9598,1243.8157,1245.828,1245.9376,1256.0345,1258.5195,1264.967
2011-09-12,1243.5939,1245.8846,1245.8855,1256.4111,1258.3895,1264.8651,1268.8394
2011-09-13,1245.7778,1245.9156,1256.0696,1258.5115,1265.0083,1268.6978,1276.6791
2011-09-14,1245.9186,1256.3275,1258.3514,1265.0067,1268.6799,1276.754,1290.6313
2011-09-15,1256.0074,1258.4012,1265.097,1268.7329,1276.7819,1290.4554,1292.1669
2011-09-16,1258.3698,1265.1786,1268.7285,1276.6831,1290.2764,1292.1029,1295.6672
2011-09-18,1265.0857,1268.5833,1276.7285,1290.5822,1292.1049,1295.7255,1295.9161
2011-09-19,1268.8694,1276.7119,1290.5403,1292.2694,1295.4836,1295.9739,1295.9081
2011-09-20,1276.7542,1290.614,1292.143,1295.6077,1295.8851,1295.9567,1295.9698
2011-09-21,1290.4036,1292.1581,1295.6471,1296.0568,1295.9246,1295.9425,1295.9524
2011-09-22,1292.2898,1295.6443,1295.953,1295.9767,1295.9578,1296.014,1296.039
2011-09-23,1295.6777,1295.868,1295.9723,1295.8295,1295.9751,1295.8965,1295.9318
2011-09-25,1295.9462,1295.8533,1295.9902,1295.8823,1296.0076,1295.8934,1295.9324
2011-09-26,1295.9169,1296.0133,1295.9109,1296.0088,1295.9438,1295.9751,1296.0095
2011-09-27,1295.9807,1296.0529,1295.9321,1295.9364,1295.958,1295.9567,1295.8837
2011-09-28,1295.9594,1295.9121,1295.947,1295.9701,1295.9854,1295.9424,1295.6858
2011-09-29,1295.8191,1295.8887,1295.9739,1295.9048,1295.933,1295.6974,1292.1025
2011-09-30,1295.8613,1296.0453,1295.9923,1295.9448,1295.6917,1292.2753,1276.4618
2011-10-02,1296.0283,1296.0808,1295.911,1295.6975,1292.2101,1276.5577,1276.6779
2011-10-03,1296.018,1295.932,1295.6594,1292.2024,1276.752,1276.8007,1276.6329
2011-10-04,1295.889,1295.7029,1292.2014,1276.5225,1276.9263,1276.7782,1276.778
2011-10-05,1295.6375,1292.298,1276.5706,1276.7588,1276.7905,1276.7635,1276.7948
2011-10-06,1292.2175,1276.6317,1276.7743,1276.7982,1276.7056,1276.7358,1276.8582
2011-10-07,1276.8865,1276.7086,1276.7006,1276.819,1276.7104,1276.7172,1276.8138
