,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD
2011-07-29,1311.1497,1311.1461,1311.1892,1311.1895,1311.1077,1311.1417,1311.0289
2011-07-31,1311.0935,1311.1418,1311.0819,1311.2229,1311.124,1311.1251,1311.1395
2011-08-01,1311.1517,1311.2279,1311.203,1311.1794,1311.1154,1311.1578,1311.2626
2011-08-02,1311.1123,1311.1812,1311.1088,1311.1083,1311.084,1311.19,1311.0828
2011-08-03,1311.1832,1311.195,1311.1294,1311.1226,1311.1533,1311.1238,1311.0454
2011-08-04,1311.1804,1311.1351,1311.1932,1311.1702,1311.1865,1311.1564,1311.2518
2011-08-05,1311.1276,1311.128,1311.0767,1311.1338,1311.1475,1311.1359,1311.2072
2011-08-07,1311.155,1311.1199,1311.2073,1311.1442,1311.1421,1311.1526,1311.0153
2011-08-08,1311.1443,1311.0773,1311.1053,1311.1898,1311.2356,1311.1742,1311.1388
2011-08-09,1311.1309,1311.1876,1311.1276,1311.1487,1311.185,1311.1588,1310.9392
2011-08-10,1311.1603,1311.179,1311.1958,1311.0763,1311.1794,1310.9161,1308.8335
2011-08-11,1311.1504,1311.1487,1311.0723,1311.0975,1310.9645,1308.8403,1307.7561
2011-08-12,1311.124,1311.1266,1311.2108,1311.0024,1308.828,1307.6945,1306.4431
2011-08-14,1311.1415,1311.1906,1310.8611,1308.8517,1307.6957,1306.4379,1302.1316
2011-08-15,1311.1302,1310.955,1308.8033,1307.7417,1306.4567,1302.2971,1300.7338
2011-08-16,1310.8992,1308.8417,1307.7032,1306.4641,1302.2123,1300.7365,1290.775
2011-08-17,1308.8881,1307.7253,1306.5017,1302.1927,1300.6776,1290.8586,1288.7881
2011-08-18,1307.6976,1306.5034,1302.1538,1300.6414,1290.937,1288.7952,1274.1798
2011-08-19,1306.4968,1302.1464,1300.7261,1290.6318,1288.827,1274.1932,1251.4476
2011-08-21,1302.145,1300.6532,1290.8273,1288.7457,1273.9214,1251.3148,1238.2454
2011-08-22,1300.6849,1290.9359,1288.8035,1274.0388,1251.31,1238.0338,1213.1095
2011-08-23,1290.5427,1288.8285,1273.9476,1251.4165,1237.9326,1213.1361,1191.1359
2011-08-24,1288.7893,1273.5791,1251.5753,1238.008,1212.8771,1191.0677,1190.8557
2011-08-25,1273.4052,1251.5038,1238.2572,1212.6841,1191.0444,1190.7761,1190.6532
2011-08-26,1251.7119,1238.2816,1212.8802,1191.0536,1190.733,1190.769,1190.6971
2011-08-28,1237.9587,1212.881,1191.1788,1190.7576,1190.7369,1190.7638,1190.8848
2011-08-29,1212.2402,1191.0726,1190.75,1190.7665,1190.743,1190.7603,1189.5663
2011-08-30,1190.8333,1190.7291,1190.7548,1190.7214,1190.7451,1189.5889,1187.8075
2011-08-31,1190.7443,1190.7502,1190.7594,1190.743,1189.6265,1187.858,1186.1389
2011-09-01,1190.74,1190.8151,1190.7589,1189.6139,1187.8458,1186.1626,1182.305
2011-09-02,1190.7778,1190.6975,1189.6012,1187.819,1186.1565,1182.2466,1182.2836
2011-09-04,1190.7695,1189.5801,1187.7473,1186.1296,1182.3713,1182.2738,1182.3055
2011-09-05,1189.5475,1187.7653,1186.1177,1182.243,1182.2943,1182.2507,1179.7498
2011-09-06,1187.7883,1186.1019,1182.3057,1182.2899,1182.1897,1179.6793,1173.4982
2011-09-07,1186.2174,1182.217,1182.3224,1182.321,1179.7307,1173.3594,1172.3783
2011-09-08,1182.3538,1182.2588,1182.2744,1179.6929,1173.3447,1172.4122,1170.0969
2011-09-09,1182.2778,1182.303,1179.677,1173.3611,1172.4314,1170.1252,1170.063
2011-09-11,1182.3228,1179.743,1173.364,1172.4548,1170.0562,1170.139,1170.1256
2011-09-12,1179.757,1173.3936,1172.4525,1170.0344,1170.0975,1170.2007,1170.1045
2011-09-13,1173.2213,1172.4865,1170.0494,1170.1077,1170.0891,1169.9929,1170.0343
2011-09-14,1172.4135,1170.028,1170.1034,1169.9883,1170.0437,1170.0221,1170.1145
2011-09-15,1170.1154,1170.1848,1170.0974,1170.0914,1170.1375,1170.1134,1172.3843
2011-09-16,1170.0931,1170.0458,1170.1125,1170.1042,1170.0135,1172.4465,1175.8638
2011-09-18,1170.0581,1170.091,1170.0741,1170.1022,1172.4386,1175.8401,1175.8839
2011-09-19,1169.9906,1170.0636,1170.0477,1172.4924,1175.7618,1175.8153,1175.8134
2011-09-20,1170.0542,1170.1179,1172.4907,1175.7439,1175.8691,1175.8218,1175.875
2011-09-21,1170.0825,1172.3359,1175.8213,1175.7837,1175.7817,1175.7694,1172.4304
2011-09-22,1172.4683,1175.7853,1175.8126,1175.7739,1175.867,1172.3495,1172.3923
2011-09-23,1175.7668,1175.8916,1175.7997,1175.8516,1172.4158,1172.4204,1166.3993
2011-09-25,1175.8248,1175.8457,1175.7505,1172.3582,1172.3687,1166.4661,1163.7445
2011-09-26,1175.9049,1175.8689,1172.3849,1172.4508,1166.4828,1163.6622,1163.7646
2011-09-27,1175.7026,1172.5149,1172.3276,1166.4204,1163.6892,1163.8153,1163.6974
2011-09-28,1172.3196,1172.427,1166.3628,1163.7615,1163.7622,1163.7593,1163.8654
2011-09-29,1172.1168,1166.2896,1163.7214,1163.6738,1163.9039,1163.679,1163.7578
2011-09-30,1166.3251,1163.6147,1163.7086,1163.7688,1163.6475,1163.7185,1163.6488
2011-10-02,1163.7292,1163.6913,1163.7107,1163.8666,1163.7094,1163.7722,1163.7262
2011-10-03,1163.7902,1163.7655,1163.7699,1163.7422,1163.8197,1163.7473,1163.436
2011-10-04,1163.6827,1163.7743,1163.587,1163.6833,1163.6038,1163.2277,1163.4863
2011-10-05,1163.8342,1163.733,1163.7926,1163.6959,1163.2521,1163.6975,1163.7866
2011-10-06,1163.7552,1163.8163,1163.7689,1163.3833,1163.8179,1163.6776,1163.8333
2011-10-07,1163.8046,1163.7341,1163.5422,1163.3958,1163.8743,1163.9083,1163.8711
2011-10-09,1163.69,1163.335,1163.7672,1163.6907,1163.7482,1163.7136,1163.7607
2011-10-10,1163.2347,1163.6611,1163.7196,1163.7439,1163.7407,1163.6997,1163.7162
2011-10-11,1163.6968,1163.7656,1163.7998,1163.7131,1163.879,1163.7616,1163.8091
2011-10-12,1163.735,1163.7009,1163.7646,1163.6805,1163.7654,1163.6926,1163.8433
2011-10-13,1163.7869,1163.7521,1163.8381,1163.7959,1163.6576,1163.8007,1172.3661
2011-10-14,1163.7628,1163.7578,1163.8109,1163.7675,1163.8378,1172.228,1172.407
2011-10-16,1163.7504,1163.792,1163.7258,1163.8153,1172.1381,1172.414,1172.5616
2011-10-17,1163.7588,1163.756,1163.8612,1172.4089,1172.4696,1172.3799,1172.4312
2011-10-18,1163.7556,1163.8811,1172.4161,1172.4637,1172.4312,1172.4827,1175.7914
2011-10-19,1163.8271,1172.4417,1172.4451,1172.4551,1172.4569,1175.8372,1177.7605
2011-10-20,1172.3208,1172.4814,1172.4794,1172.5192,1175.742,1177.8097,1182.533
2011-10-21,1172.4192,1172.4265,1172.4431,1175.8517,1177.8337,1182.5859,1186.6433
2011-10-23,1172.4646,1172.4441,1175.8423,1177.8251,1182.6179,1186.5955,1190.3357
2011-10-24,1172.4019,1175.8419,1177.8469,1182.6365,1186.6698,1190.3237,1190.3802
2011-10-25,1175.8275,1177.761,1182.7087,1186.6697,1190.3458,1190.4169,1190.3766
2011-10-26,1177.7771,1182.6215,1186.5533,1190.3491,1190.3823,1190.3901,1190.4148
2011-10-27,1182.5978,1186.6156,1190.3326,1190.3815,1190.3898,1190.3645,1194.8522
2011-10-28,1186.7095,1190.3595,1190.3793,1190.4073,1190.385,1194.8542,1194.8926
2011-10-30,1190.462,1190.451,1190.4569,1190.3877,1194.9087,1194.8507,1199.6608
2011-10-31,1190.4232,1190.3729,1190.3857,1194.8236,1194.8671,1199.6853,1203.278
2011-11-01,1190.3712,1190.3827,1194.8883,1194.812,1199.6824,1203.318,1207.6779
2011-11-02,1190.4434,1194.8973,1194.8734,1199.7158,1203.335,1207.7195,1207.6989
2011-11-03,1194.9066,1194.8395,1199.8358,1203.2719,1207.805,1207.7902,1208.9082
2011-11-04,1194.8412,1199.7114,1203.2848,1207.7295,1207.7977,1208.8807,1215.7828
2011-11-06,1199.7546,1203.3458,1207.6156,1207.7527,1208.8713,1215.5659,1221.0662
2011-11-07,1203.2654,1207.6521,1207.7606,1208.878,1215.5564,1221.1029,1223.5747
2011-11-08,1207.6217,1207.7578,1208.9237,1215.5227,1221.0867,1223.5972,1224.5465
2011-11-09,1207.7568,1208.9054,1215.6058,1221.0443,1223.6196,1224.5756,1229.4315
2011-11-10,1208.9102,1215.6641,1221.2141,1223.6008,1224.5975,1229.4906,1231.8438
2011-11-11,1215.629,1221.0973,1223.6299,1224.5422,1229.4142,1231.8568,1234.4874
2011-11-13,1221.1581,1223.6038,1224.6211,1229.494,1231.9924,1234.4031,1234.5367
