,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF
2011-07-31,187.45372,187.47324,187.35167,187.3012,187.32202,187.35208,187.46407
2011-08-01,187.43797,187.38089,187.28117,187.34485,187.33615,187.38945,187.43451
2011-08-02,187.3956,187.31903,187.27072,187.39069,187.45221,187.42308,187.44145
2011-08-03,187.32501,187.3172,187.39214,187.46408,187.41632,187.44116,187.42108
2011-08-04,187.3464,187.3822,187.41301,187.47525,187.44672,187.44221,187.44159
2011-08-05,187.41597,187.49039,187.39896,187.42035,187.43968,187.42514,187.4661
2011-08-07,187.49994,187.39452,187.4587,187.4093,187.43393,187.45892,188.15945
2011-08-08,187.44878,187.3925,187.4554,187.46466,187.46278,188.13847,189.31726
2011-08-09,187.47806,187.42786,187.4414,187.47583,188.18365,189.318,189.544
2011-08-10,187.43,187.44025,187.41434,188.09415,189.23207,189.53207,189.56787
2011-08-11,187.42018,187.43623,188.14592,189.29459,189.55374,189.55292,189.56895
2011-08-12,187.46942,188.13286,189.32489,189.54579,189.55374,189.54462,189.51224
2011-08-14,188.10391,189.33925,189.55675,189.52798,189.55374,189.57355,189.69598
2011-08-15,189.30539,189.56787,189.51782,189.57579,189.55374,189.68509,189.84268
2011-08-16,189.54898,189.55078,189.54567,189.51929,189.69733,189.7552,189.81424
2011-08-17,189.5229,189.52798,189.5975,189.69467,189.80238,189.81924,189.82346
2011-08-18,189.54485,189.56502,189.67752,189.75778,189.73334,189.8667,189.80185
2011-08-19,189.54094,189.73645,189.83902,189.8512,189.84583,189.78815,189.72615
2011-08-21,189.62946,189.82004,189.83572,189.81638,189.83115,189.69781,189.60068
2011-08-22,189.81282,189.78694,189.80327,189.7968,189.71484,189.56741,189.52864
2011-08-23,189.816,189.8209,189.83952,189.7135,189.57672,189.54129,189.46234
2011-08-24,189.84756,189.87566,189.63712,189.54095,189.51096,189.45105,188.94525
2011-08-25,189.81213,189.68555,189.55579,189.57736,189.39429,188.95445,188.7588
2011-08-26,189.66571,189.52936,189.48232,189.46637,188.99765,188.72772,188.59567
2011-08-28,189.57237,189.51056,189.3963,189.06195,188.74881,188.60059,188.54536
2011-08-29,189.49063,189.4386,188.9361,188.76918,188.56088,188.5758,188.7869
2011-08-30,189.41028,188.92468,188.74176,188.58835,188.59364,188.67183,188.93396
2011-08-31,188.97337,188.74033,188.61838,188.5792,188.72275,188.94264,189.40643
2011-09-01,188.74203,188.57388,188.59883,188.72583,188.9677,189.44919,189.53125
2011-09-02,188.57455,188.58682,188.74203,188.98288,189.4335,189.49738,189.71695
2011-09-04,188.59512,188.71411,188.9581,189.40802,189.49664,189.66792,190.00267
2011-09-05,188.79065,188.95099,189.4424,189.4776,189.6879,189.99777,190.2471
2011-09-06,188.96552,189.42188,189.52858,189.6915,189.95319,190.26518,190.30038
2011-09-07,189.41925,189.52237,189.65059,189.98364,190.29768,190.2479,191.09332
2011-09-08,189.47507,189.70877,189.97302,190.21635,190.25189,191.04254,191.14026
2011-09-09,189.73843,189.97987,190.2526,190.3659,191.0509,191.1872,191.44656
2011-09-11,189.9477,190.09102,190.29495,191.06705,191.15092,191.4717,192.10251
2011-09-12,190.20105,190.28357,191.0498,191.1695,191.41788,192.09549,192.086
2011-09-13,190.27951,191.08282,191.11176,191.43411,192.09235,192.14273,192.10251
2011-09-14,191.09323,191.15637,191.47954,192.06963,192.1117,192.11331,192.2099
2011-09-15,191.19098,191.43954,192.11766,192.04608,192.10175,192.21497,192.20076
2011-09-16,191.47946,192.13496,192.16318,192.09694,192.22371,192.17953,192.87415
2011-09-18,192.09619,192.118,192.11661,192.1669,192.25957,192.89725,193.26086
2011-09-19,192.10175,192.07135,192.20114,192.25368,192.93764,193.25555,193.26685
2011-09-20,192.10498,192.18839,192.21057,192.9267,193.28589,193.22849,194.23383
2011-09-21,192.1624,192.20145,192.90848,193.29819,193.28088,194.15866,196.02087
2011-09-22,192.21672,192.9219,193.26672,193.26251,194.24773,196.05437,196.61899
2011-09-23,192.91943,193.26064,193.24731,194.20493,195.99898,196.61969,197.24252
2011-09-25,193.28891,193.27094,194.24536,195.97914,196.6781,197.27325,197.90088
2011-09-26,193.25537,194.22427,195.99402,196.67499,197.24484,197.8389,202.60626
2011-09-27,194.24283,195.93298,196.66072,197.25539,197.88394,202.67117,206.75659
2011-09-28,196.02786,196.65599,197.2663,197.8942,202.64879,206.72964,206.8169
2011-09-29,196.65015,197.2298,197.88843,202.62137,206.7651,206.78271,207.10922
2011-09-30,197.24208,197.93065,202.52719,206.70439,206.81908,207.08185,207.1367
2011-10-02,197.8233,202.62933,206.79906,206.79968,207.09406,207.15044,207.53235
2011-10-03,202.62326,206.74078,206.80518,207.06941,207.113,207.54953,209.28485
2011-10-04,206.75928,206.79117,207.07172,207.15808,207.51227,209.28473,209.77036
2011-10-05,206.73735,207.07864,207.1062,207.5911,209.32968,209.67593,211.22348
2011-10-06,207.07446,207.19577,207.56389,209.28923,209.6622,211.15521,211.5201
2011-10-07,207.17482,207.50058,209.25769,209.65536,211.23283,211.50557,211.7204
2011-10-09,207.5484,209.3292,209.7167,211.20204,211.50627,211.71263,212.2637
2011-10-10,209.31577,209.68341,211.22665,211.54721,211.71936,212.31305,212.25912
2011-10-11,209.67361,211.28319,211.52316,211.7167,212.22275,212.20285,212.29851
2011-10-12,211.26718,211.57243,211.67032,212.25327,212.21898,212.28789,212.50415
2011-10-13,211.53372,211.72287,212.26257,212.2363,212.25043,212.5226,212.97589
2011-10-14,211.70352,212.2594,212.24149,212.25333,212.51453,212.98067,213.26422
2011-10-16,212.25592,212.25894,212.25165,212.49081,212.99115,213.19447,213.55415
2011-10-17,212.25168,212.2485,212.52887,213.00995,213.25302,213.53436,213.70132
2011-10-18,212.24786,212.5014,213.00873,213.21628,213.52777,213.64764,214.28667
2011-10-19,212.50247,213.01175,213.22916,213.52242,213.70831,214.3255,214.32846
2011-10-20,212.98706,213.20032,213.5798,213.68427,214.35593,214.32556,214.32834
2011-10-21,213.20569,213.56847,213.67656,214.28036,214.34186,214.32556,214.72203
2011-10-23,213.53241,213.69978,214.33276,214.33734,214.35722,214.74078,214.72726
2011-10-24,213.72488,214.32074,214.29529,214.34851,214.63986,214.71182,214.71198
2011-10-25,214.30376,214.35791,214.32877,214.7135,214.70511,214.69507,214.7213
2011-10-26,214.30136,214.32272,214.6489,214.7201,214.79051,214.7266,214.87653
2011-10-27,214.33078,214.70457,214.68237,214.72743,214.79233,214.86206,214.93707
2011-10-28,214.65424,214.7183,214.77637,214.70117,214.90471,214.92938,215.14568
2011-10-30,214.65262,214.70714,214.81767,214.8083,214.90903,215.18912,215.25244
2011-10-31,214.71802,214.73936,214.84189,214.96454,215.19507,215.24988,215.2409
2011-11-01,214.8028,214.83035,214.93204,215.2341,215.23524,215.30731,215.74017
2011-11-02,214.86685,214.97449,215.2185,215.2651,215.28738,215.7897,216.19553
2011-11-03,214.92084,215.2136,215.28232,215.25955,215.73338,216.2071,216.43082
2011-11-04,215.15637,215.28816,215.29355,215.71783,216.18745,216.38875,216.46902
2011-11-06,215.26988,215.2623,215.74231,216.20844,216.30571,216.49695,217.07942
2011-11-07,215.2182,215.76938,216.2297,216.37186,216.47171,217.13486,217.39987
2011-11-08,215.7906,216.1843,216.29861,216.45377,217.04443,217.34457,217.991
2011-11-09,216.2016,216.3486,216.40518,217.18857,217.37442,217.93884,217.97217
2011-11-10,216.34216,216.47977,217.07529,217.3997,217.9738,217.95663,217.91531
2011-11-11,216.4921,217.09167,217.35101,218.00351,217.92172,217.93884,218.01765
2011-11-13,217.1608,217.36188,217.9347,217.96298,217.93103,217.95665,217.90356
2011-11-14,217.38235,217.96794,217.93475,217.93555,217.93561,217.93866,217.99115
2011-11-15,217.96771,217.94199,217.9656,217.95331,217.9363,217.95665,217.97217
2011-11-16,217.9183,217.95224,217.92406,217.9634,217.93942,217.93866,217.91418
2011-11-17,217.94437,217.92957,217.9249,217.98775,217.9412,217.95667,220.61418
2011-11-18,217.96011,217.96469,217.95879,217.97162,217.9732,220.56558,221.13661
2011-11-20,217.95172,217.9512,217.95346,217.98041,220.53607,221.13947,221.68936
2011-11-21,217.9695,217.98523,217.96216,220.51405,221.10062,221.6843,222.51271
2011-11-22,217.87723,217.95721,220.59387,221.15302,221.70425,222.41646,222.60104
2011-11-23,217.94556,220.49261,221.11542,221.65857,222.51328,222.59976,223.02863
2011-11-24,220.55405,221.12482,221.71332,222.49547,222.59396,222.97964,224.15019
